SUA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
2000,2091,2252,2628,1827,460,78,10794,152,1346,2242,2534,2983,1607,302,41,11194,2042,9141,11347,9531,10415,6902,2081,553,52016,1906,6052,8247,10137,10544,7720,2597,741,47947,9357,18192,19288,23409,21053,13018,4943,1351,110603,1277,1282,1249,1260,1182,637,126,41,7055,685,1234,1670,2034,2329,1854,577,203,10586,11323,20705,22211,26701,24559,15501,5645,1593,128245,155,326,377,544,733,833,395,164,3534,8607,6882,8229,10686,12612,13062,8764,4387,73232,24331,45776,54747,62391,64480,47445,20236,7557,326960
2001,94,80,57,30,8,0,356,7,57,83,60,74,34,3,0,311,79,382,399,274,193,124,35,13,1507,100,302,324,288,259,142,46,16,1471,358,760,665,688,452,279,96,16,3317,34,45,30,31,21,11,3,0,183,34,52,61,55,57,55,10,3,322,429,857,753,772,537,347,103,20,3821,4,12,13,15,14,11,5,8,91,167,158,201,197,198,230,150,98,1401,795,1850,1870,1682,1335,922,356,149,8964
2002,32,22,31,27,3,0,154,0,26,26,44,43,24,7,0,179,42,209,175,152,179,122,57,17,955,56,143,154,189,185,173,69,34,993,248,473,387,421,366,250,129,38,2311,33,31,31,29,22,9,7,0,154,15,39,38,33,49,31,19,15,243,293,546,450,478,438,290,155,57,2707,10,10,13,9,11,16,11,4,84,237,195,173,197,243,314,281,201,1832,644,1160,1019,1096,1116,963,590,317,6904
2003,628,597,512,269,85,10,2708,30,367,510,547,491,230,55,6,2236,785,2868,2509,1685,1335,859,307,83,10432,445,1229,1349,1425,1183,815,342,81,6871,1869,3340,2597,2512,2023,1253,577,173,14344,296,229,176,133,133,62,12,6,1035,112,197,217,233,211,156,85,31,1238,2279,3767,2989,2874,2364,1460,680,206,16623,30,58,63,75,85,87,49,26,475,1103,929,866,979,1059,1208,1024,557,7730,4729,9781,8911,8180,7033,4930,2534,967,47065
2004,423,403,339,215,46,10,1915,37,344,472,407,395,214,53,10,1928,669,2581,2115,1343,1178,670,254,79,8895,360,1081,1163,1198,1167,801,303,120,6189,1813,3329,2578,2546,2179,1270,591,167,14469,233,231,169,156,132,60,0,7,987,130,231,235,231,257,175,73,35,1362,2176,3791,2980,2925,2566,1497,668,206,16821,36,70,56,59,76,93,52,25,470,1097,940,871,966,1094,1171,1089,744,7976,4436,9216,8083,7305,6823,4670,2470,1193,44195
2005,14,26,21,19,8,3,113,3,13,21,22,27,21,6,0,121,36,169,152,85,122,81,29,12,685,34,116,128,150,156,89,42,14,737,243,450,356,343,299,162,83,25,1953,27,30,22,16,16,4,0,0,118,24,36,38,31,28,16,8,8,186,294,512,412,388,348,180,92,25,2257,4,9,7,14,9,7,4,0,47,129,123,82,157,168,180,170,101,1115,508,962,830,833,855,571,342,162,5069
2006,53,38,30,16,3,0,198,4,72,69,50,42,29,8,0,282,64,372,384,247,236,120,50,5,1476,60,222,232,242,248,180,74,17,1262,287,652,591,682,534,407,171,53,3370,35,33,36,27,18,11,3,4,165,23,31,42,50,55,53,21,8,285,346,713,666,759,606,473,192,62,3819,0,14,9,4,12,16,14,11,84,215,188,179,217,305,372,372,189,2032,689,1630,1590,1562,1472,1198,708,286,9146
2007,1829,1356,1076,670,174,34,6870,87,929,1135,1068,1058,539,128,28,4978,1999,7447,6896,4555,3835,2308,812,223,28074,1218,3455,3918,3817,3510,2449,960,362,19694,4005,7589,6565,6840,5515,3453,1641,521,36127,482,417,359,333,276,158,38,11,2080,279,466,562,623,661,538,226,98,3450,4765,8465,7486,7795,6455,4154,1908,621,41657,72,175,190,171,218,216,165,69,1273,2477,2424,2293,2532,2627,2873,2476,1567,19260,10751,24498,23748,21292,18775,13210,6616,2906,121799
2008,177,177,127,82,18,3,652,3,55,132,156,126,66,18,3,563,135,435,710,543,413,241,53,17,2549,86,207,363,407,344,252,89,23,1772,256,499,593,664,490,299,122,20,2948,32,25,25,23,19,8,7,0,144,15,35,58,77,72,67,20,7,346,304,561,680,767,583,368,153,32,3443,8,10,16,18,26,29,9,7,120,142,108,176,205,186,231,111,73,1242,682,1454,2261,2275,1806,1267,448,144,10340
2009,77,45,35,17,5,0,241,5,61,53,50,46,12,3,3,241,91,340,259,200,186,105,35,16,1235,52,179,220,201,250,128,55,20,1105,314,633,455,438,410,193,81,29,2550,43,47,31,21,25,19,7,5,193,21,29,37,37,43,33,10,3,214,377,711,525,501,479,246,98,38,2955,6,12,3,14,12,11,16,6,82,163,152,128,153,183,215,186,108,1279,693,1497,1263,1161,1187,741,391,196,7128
2010,64933,39509,25577,13320,3767,904,230980,2015,19749,23025,20812,16705,7562,1877,396,92134,61575,214427,161763,103743,68890,36392,13507,4406,664700,28426,79044,72769,64064,46235,28493,11893,4158,335083,46365,96997,84888,88656,64124,37689,19273,6369,444356,5857,5646,5426,4897,3500,1917,538,158,27938,4430,8513,10293,11749,10065,7114,3141,1430,56731,56648,111149,100605,105299,77686,46720,22953,7963,529030,2335,5699,5109,4554,4229,3761,2124,966,28769,41296,54058,42142,39448,36380,35041,28670,18429,295467,197468,561907,470339,377439,275701,171287,84789,37220,2176158
2011,291,111,91,33,7,3,842,17,138,136,92,94,30,7,0,524,238,1199,1031,468,341,165,33,9,3480,357,1155,964,634,505,227,50,14,3905,1092,2536,1946,1494,1216,674,199,49,9202,158,162,142,84,63,29,3,0,650,110,199,218,169,160,90,18,3,969,1368,2893,2299,1748,1439,795,223,52,10826,20,63,54,54,47,44,16,7,298,726,814,683,631,648,572,291,97,4465,2747,6549,5462,3735,3164,1876,619,176,24330
2012,137,92,78,39,7,0,475,25,99,131,161,113,46,10,4,586,200,866,811,591,473,238,96,15,3293,163,512,592,639,564,323,110,19,2924,818,1630,1283,1431,1115,599,255,68,7194,188,124,101,84,59,25,5,4,591,81,105,119,157,131,89,28,4,711,1085,1860,1506,1670,1305,716,289,79,8499,29,26,33,26,29,43,22,10,220,770,719,553,685,798,865,637,355,5386,2276,4185,3766,3865,3357,2274,1175,485,21385
2013,24,12,20,19,6,3,122,7,26,23,26,31,18,3,0,147,61,183,130,120,141,89,36,16,771,56,145,143,197,219,115,51,16,935,355,622,498,599,524,335,156,40,3123,53,46,38,16,30,4,4,0,195,25,34,45,52,47,47,18,3,265,430,699,576,664,597,387,176,46,3589,0,7,11,12,13,12,11,3,73,223,172,165,221,273,308,251,137,1746,785,1269,1080,1247,1297,939,530,219,7377
2014,18,19,18,8,8,0,82,3,14,30,29,30,21,6,0,133,19,137,152,102,117,68,19,5,632,35,74,114,123,143,79,30,12,611,168,333,349,387,349,175,65,16,1845,29,20,22,21,19,7,0,0,125,13,25,26,36,31,22,6,6,171,216,381,398,439,395,210,74,23,2137,5,0,3,9,9,7,9,3,52,143,99,115,138,195,184,141,83,1104,432,728,832,858,906,574,292,127,4750
