LGA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA20110,3,0,0,0,0,0,0,0,0,8,0,16,4,0,0,0,0,0,0,3,0,6,0,18,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,4,0,4,0,14,7,4,0,0,0,3,0,11,0,61,0,92,0,5,0,0,0,3,0,12,3,20,0,48,5,10,3,11,0,4,0,13,0,203,9,260,4,10,0,8,3,11,0,27,10,83,0,164,16,20,0,24,3,21,4,23,4,71,3,189,21,15,5,30,4,14,3,15,3,57,0,158,26,6,0,29,5,13,4,13,0,16,0,107,30,8,3,31,0,10,0,3,0,18,0,113,64,6,3,37,7,5,0,8,5,15,0,147,32,4,0,17,0,5,3,3,0,6,0,74,16,0,0,10,3,0,0,0,0,4,0,39,8,0,0,3,0,0,0,0,0,3,0,17,13,0,0,5,0,6,0,4
LGA20260,0,0,0,0,0,0,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,3,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,3,0,6,3,54,3,83,3,0,0,0,0,4,0,9,0,30,0,42,8,9,0,7,0,12,0,23,0,165,6,225,10,6,0,16,0,12,3,20,0,74,0,141,15,5,0,26,0,23,0,20,3,67,0,154,21,13,4,35,0,13,0,5,0,30,0,128,11,0,0,10,0,7,4,3,0,3,4,52,28,3,0,24,0,9,0,0,0,10,0,80,44,4,0,28,0,11,5,4,3,11,0,113,41,0,3,16,0,6,3,7,0,5,0,84,23,0,0,7,0,0,0,0,0,0,0,38,12,0,3,0,0,3,0,0,0,0,0,19,14,0,0,5,3,3,0,0
LGA20570,3,0,0,0,0,3,0,4,0,86,7,106,0,0,0,0,0,0,0,7,0,54,0,62,0,4,0,0,0,0,0,18,0,35,0,61,0,0,0,0,0,4,0,10,3,27,0,47,4,12,3,5,0,9,0,45,3,319,3,401,4,12,0,11,0,18,4,63,6,140,4,261,5,41,4,21,3,56,0,118,15,1187,19,1472,12,56,0,50,4,109,4,120,13,447,3,828,46,82,6,118,13,147,5,125,18,433,4,998,130,67,3,223,8,122,8,93,7,274,9,940,140,29,4,198,8,110,8,37,4,79,0,622,204,22,6,175,18,92,9,28,9,65,0,622,532,55,15,266,33,122,8,24,14,94,3,1162,328,16,8,162,18,28,5,7,3,34,3,618,189,3,6,72,12,4,0,0,0,18,0,308,102,3,5,18,3,19,0,5,0,12,0,173,132,20,9,92,11,33,3,12
LGA20660,0,0,0,3,0,3,0,3,0,172,3,186,0,8,0,3,0,0,0,3,0,78,3,90,0,0,0,3,0,3,0,16,0,44,0,70,0,0,0,0,0,0,0,13,0,22,0,45,0,10,0,3,0,3,0,35,5,326,6,391,3,4,0,8,0,20,3,49,0,110,4,202,0,30,3,11,0,41,3,91,9,953,15,1151,15,44,0,27,4,96,3,122,12,507,6,835,19,78,3,86,5,132,3,121,11,616,10,1074,47,82,7,155,13,117,5,98,6,359,12,894,84,39,6,146,10,111,14,66,10,148,0,629,161,44,4,138,19,118,11,53,4,154,0,710,588,73,7,275,32,197,16,62,10,178,0,1439,579,33,12,229,32,73,3,33,7,60,3,1055,413,11,7,130,12,35,8,8,3,41,0,664,243,3,6,42,12,66,0,15,0,28,0,412,380,21,8,134,24,87,8,36
LGA20740,3,0,0,0,0,4,0,0,0,50,4,62,0,0,0,0,0,0,0,3,0,28,0,43,0,0,0,0,0,0,0,12,0,19,0,37,0,0,0,0,0,0,0,9,0,19,0,30,0,3,0,7,0,6,0,28,6,200,3,251,0,13,0,4,0,10,3,50,3,64,0,147,9,34,6,14,0,16,0,72,11,628,9,795,14,18,0,21,3,31,4,62,8,256,9,427,26,45,3,62,6,48,3,42,7,250,5,515,43,44,5,82,9,41,8,30,9,140,3,400,43,17,3,57,3,22,3,13,3,38,0,201,46,24,4,61,3,19,0,8,5,41,3,214,91,20,5,83,9,30,4,14,7,55,4,323,74,10,3,35,12,7,3,3,3,12,0,166,31,9,4,20,3,3,0,3,0,13,0,93,18,0,3,4,3,9,0,0,0,3,0,45,25,4,0,17,0,7,0,4
LGA20830,11,0,0,0,0,3,0,0,3,67,0,85,4,5,3,0,0,0,0,0,0,39,3,54,0,0,0,3,0,3,0,5,0,31,0,43,0,0,0,0,0,0,0,7,0,16,0,21,10,12,0,9,0,10,3,21,0,228,7,292,0,8,0,11,0,22,0,40,3,71,3,151,15,25,0,23,0,39,6,66,11,677,10,858,20,38,4,24,0,56,0,79,11,277,3,517,43,53,0,65,5,79,4,62,6,273,6,602,77,34,3,103,11,61,10,39,5,136,0,470,69,21,0,75,7,52,3,28,6,41,0,304,112,17,7,79,12,37,3,18,3,40,3,340,214,23,10,146,25,69,7,15,8,53,0,578,144,13,3,87,11,22,8,17,3,29,0,324,82,3,0,38,3,12,3,0,0,3,0,152,42,0,3,19,3,23,0,3,0,7,0,108,76,11,7,53,9,19,3,7
LGA20910,4,0,0,0,0,3,0,5,3,101,0,119,0,0,0,0,0,3,0,6,0,45,0,60,0,0,0,0,0,0,0,14,0,22,0,38,0,0,0,0,0,0,0,10,3,6,0,18,6,10,0,4,0,3,0,18,3,178,0,219,0,5,0,0,0,6,0,32,3,81,0,138,3,22,0,11,0,17,0,59,4,422,3,544,7,29,0,13,3,35,0,69,3,269,5,429,18,45,3,50,0,57,0,90,6,389,5,662,36,33,5,74,4,50,3,99,5,319,3,635,46,23,0,59,3,71,0,60,3,153,3,427,74,36,4,68,4,64,8,59,4,151,4,469,282,58,8,178,22,140,5,88,15,267,0,1074,269,43,5,170,18,56,12,58,8,134,3,781,228,18,8,98,8,26,3,25,3,89,0,507,223,19,3,45,13,122,0,32,9,64,0,521,654,97,12,249,26,198,12,121
LGA21010,0,0,0,0,0,0,0,0,0,14,0,18,3,0,0,0,0,0,0,0,0,18,0,19,0,0,0,0,0,0,0,3,0,5,0,11,0,0,0,0,0,0,0,0,0,5,0,10,3,3,0,0,0,0,0,16,0,87,0,107,4,0,0,0,0,3,0,8,0,18,0,43,13,4,0,3,0,19,0,12,3,275,4,337,12,9,3,17,4,19,3,31,6,90,0,196,10,16,0,28,5,22,5,18,3,84,3,188,25,13,5,53,3,13,0,12,4,44,0,171,21,10,0,30,0,12,0,6,3,16,0,106,37,8,0,30,3,9,0,3,0,18,0,104,66,6,3,47,3,16,0,7,3,24,0,171,49,3,0,14,0,3,0,0,0,3,0,79,26,3,0,4,0,0,0,0,0,0,0,38,4,0,0,3,0,0,0,0,0,3,0,13,13,0,0,14,0,0,0,3
LGA21110,4,0,0,0,0,3,0,3,3,275,4,295,4,0,0,0,0,0,0,11,0,101,0,121,0,5,0,0,0,5,0,30,3,51,0,91,0,0,0,0,0,4,0,18,0,22,0,45,0,7,3,4,0,8,0,39,3,232,3,301,4,15,0,6,0,16,0,68,5,121,0,244,5,46,0,13,3,53,3,64,3,513,8,710,17,53,4,27,4,86,5,92,12,382,8,681,22,102,0,107,3,109,4,113,7,468,3,944,80,73,4,128,10,126,7,139,8,445,5,1029,83,27,3,126,9,122,4,73,5,203,3,661,155,50,7,118,19,103,6,79,7,247,3,797,662,87,16,328,14,227,7,127,23,387,4,1872,654,53,11,248,35,105,12,125,23,238,0,1491,495,45,3,185,25,64,11,52,4,140,0,1023,366,24,0,70,12,126,0,30,3,106,0,744,989,133,20,367,39,260,17,194
LGA21180,6,0,0,0,0,9,0,9,3,448,12,479,0,3,0,0,0,6,0,22,0,180,0,207,0,6,0,0,0,6,0,33,0,125,0,171,0,0,0,0,0,10,0,37,5,48,0,104,0,15,4,0,0,14,0,94,8,925,17,1087,4,21,3,11,0,78,0,123,20,248,7,511,7,48,0,21,0,198,16,148,22,2016,30,2508,17,86,3,45,6,288,6,178,23,475,10,1136,54,95,8,170,7,352,11,123,31,460,12,1311,175,71,11,255,30,236,16,68,19,277,10,1158,163,38,10,227,16,159,5,39,10,73,7,731,298,44,12,185,23,133,5,31,12,65,11,808,704,43,12,294,34,165,16,23,5,73,5,1369,488,14,7,154,21,39,7,19,3,29,3,778,272,8,10,63,6,15,0,0,0,4,0,371,136,0,0,21,4,26,0,3,6,5,0,203,137,12,8,39,5,27,0,3
LGA21270,3,0,0,9,0,3,0,0,0,7,0,23,3,0,0,0,0,0,0,0,0,8,0,19,3,0,0,4,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,3,0,46,0,61,0,3,0,4,0,3,0,8,0,7,0,24,6,0,0,8,0,10,0,7,3,114,3,158,8,3,0,7,0,6,3,12,3,38,0,81,14,3,0,25,3,10,0,6,3,33,0,89,12,8,0,14,4,10,0,5,0,15,0,69,14,0,0,13,0,0,0,0,0,3,0,29,16,0,0,14,0,5,0,3,0,0,3,42,29,0,0,26,5,0,0,3,0,3,0,62,12,0,0,3,0,3,0,0,0,0,0,27,8,0,0,10,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,0,0
LGA21370,14,0,0,3,4,4,0,3,0,45,0,79,5,0,0,0,0,3,0,0,0,26,0,46,0,0,0,0,0,0,0,7,0,21,0,34,0,0,0,0,0,3,0,7,0,11,0,23,12,8,0,10,0,3,0,20,3,190,3,241,4,4,3,3,0,8,0,35,4,41,0,109,8,23,0,13,0,24,4,61,10,619,16,778,12,31,4,25,0,57,5,60,5,188,3,393,29,33,8,65,3,66,3,47,4,217,7,499,73,47,3,109,8,47,3,16,8,134,3,455,59,18,3,83,8,33,5,11,6,16,0,239,92,20,7,80,4,21,3,10,4,37,4,281,199,23,5,105,14,40,10,12,3,28,6,447,109,7,3,54,10,14,0,3,0,13,0,202,60,3,0,16,0,3,0,0,0,3,0,89,22,0,0,7,0,7,0,0,0,3,0,36,40,7,0,24,0,6,0,4
LGA21450,7,3,0,3,0,8,0,3,0,116,0,139,3,3,0,3,0,0,0,6,0,47,3,61,0,0,0,0,0,0,0,15,0,30,0,47,0,0,0,0,0,0,0,8,0,20,0,28,4,14,0,9,0,8,0,22,3,235,8,298,0,0,0,9,0,14,0,47,7,92,0,171,8,32,3,12,0,61,5,76,4,783,25,1010,16,33,3,27,3,116,7,91,7,295,4,606,38,43,6,104,7,154,6,73,16,277,4,720,118,51,4,188,14,125,14,49,8,174,5,754,133,27,4,178,5,90,7,24,3,33,0,516,225,31,6,187,18,89,3,23,3,44,3,626,649,36,9,255,34,101,9,26,4,42,5,1168,380,14,3,161,23,26,3,11,5,23,3,645,190,11,8,69,6,17,3,3,0,3,0,308,88,0,4,11,4,33,0,0,4,3,0,151,106,10,5,55,12,31,0,9
LGA21610,10,3,3,3,0,11,0,13,8,540,10,598,0,6,3,0,0,3,0,30,3,166,8,215,4,3,0,0,0,3,0,48,4,118,3,186,0,0,0,0,0,13,0,24,6,61,0,103,5,20,0,11,0,27,3,97,9,716,15,903,5,15,0,10,0,69,0,151,13,273,6,549,16,54,7,35,0,217,8,209,31,2144,35,2760,19,65,8,87,4,398,8,244,37,715,9,1596,88,121,14,263,21,478,14,230,28,721,15,1994,324,123,7,497,30,415,15,131,34,420,19,2013,385,64,9,405,24,300,18,53,14,97,6,1366,596,39,15,397,37,200,9,53,16,117,8,1491,1771,88,19,637,81,308,20,51,17,120,7,3127,1045,29,15,327,49,82,9,11,5,42,3,1617,488,11,9,153,18,26,4,3,0,24,0,749,225,10,3,45,9,50,3,5,7,13,3,378,279,33,7,119,11,49,4,14
LGA21670,0,0,0,3,0,0,0,0,0,22,0,33,0,0,0,0,0,0,0,3,0,12,0,14,0,0,0,0,0,0,0,0,0,7,3,17,0,0,0,0,0,0,0,0,0,6,0,6,0,7,3,3,0,0,0,9,0,108,0,130,0,3,0,3,0,12,0,17,0,39,0,70,3,5,0,4,0,23,3,29,3,335,5,415,0,18,3,10,0,21,0,23,3,101,0,181,10,14,6,28,0,31,0,20,3,71,4,187,18,12,3,29,0,17,3,10,0,40,0,138,19,0,0,27,3,9,0,3,0,7,0,64,25,3,0,22,3,7,0,0,0,15,0,72,44,10,0,13,0,11,4,0,0,7,0,92,15,5,0,7,0,3,0,0,0,6,0,38,14,0,0,0,0,3,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,0
LGA21750,6,0,0,0,0,3,0,0,0,16,3,28,3,3,0,0,0,3,0,0,0,16,0,28,0,0,0,0,0,0,0,7,0,9,0,20,0,0,0,0,0,0,0,0,0,11,0,15,11,3,0,6,0,3,0,10,0,78,0,115,0,6,0,3,0,9,0,19,0,27,3,66,3,9,3,8,0,12,0,36,0,240,3,330,9,25,4,25,9,21,4,31,4,97,0,226,20,28,3,47,4,36,0,27,5,111,4,296,31,27,0,64,7,27,3,9,3,54,7,229,26,10,8,44,0,15,4,4,3,11,0,121,45,12,0,47,4,14,3,9,0,16,3,154,108,14,8,59,7,16,3,9,3,28,3,249,42,9,0,28,5,3,0,7,0,3,0,101,32,4,3,11,4,3,0,0,0,4,0,61,13,0,0,0,0,3,0,4,0,3,0,24,11,4,0,14,0,0,0,0
LGA21830,10,0,0,3,0,0,0,0,0,20,0,36,3,3,0,0,0,0,0,4,0,12,0,28,0,0,0,3,0,0,0,5,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,4,12,12,0,5,0,3,0,9,3,76,0,115,3,3,0,4,0,8,0,9,3,19,0,49,14,8,0,3,0,11,0,22,3,211,7,281,23,16,0,17,0,23,0,23,4,63,0,172,32,17,8,40,0,21,4,19,3,76,0,215,27,11,3,49,0,20,0,10,0,47,0,172,13,4,3,30,3,19,0,8,0,9,0,90,43,5,4,23,0,10,0,0,0,4,0,99,79,4,0,51,5,5,0,0,3,9,0,173,40,8,0,22,0,7,0,3,0,3,0,85,20,0,3,6,3,0,0,0,0,4,0,44,13,0,0,3,0,3,0,0,0,0,0,22,32,12,0,12,0,4,0,0
LGA21890,0,0,3,4,0,3,0,3,0,269,6,289,0,10,0,0,0,0,0,17,6,119,3,154,0,5,0,3,0,6,0,32,3,59,0,105,0,0,0,0,0,5,0,17,3,20,0,54,3,17,0,7,0,11,0,44,8,587,7,684,0,26,0,5,0,30,0,61,11,131,0,269,9,63,8,19,5,83,7,104,5,1299,15,1611,20,74,0,45,0,162,3,117,12,305,7,743,39,131,3,177,10,172,8,91,5,293,9,930,134,98,7,248,14,140,13,73,11,225,11,971,135,47,8,236,12,129,5,39,9,47,3,663,236,55,11,218,17,110,3,24,8,68,0,737,826,54,16,381,31,157,15,34,5,72,3,1595,798,35,8,229,31,81,7,17,7,36,0,1238,513,22,11,123,18,23,10,3,0,15,0,742,357,5,4,39,13,58,3,4,3,5,0,488,583,20,13,113,26,53,0,21
LGA22110,7,3,3,0,0,0,0,0,0,66,3,86,5,0,0,0,0,0,0,3,0,50,0,59,0,10,0,0,0,0,0,4,0,34,0,54,0,0,0,0,0,0,0,9,0,24,0,38,6,12,0,4,0,8,0,32,3,302,3,369,4,12,0,3,0,6,0,51,5,126,0,215,14,30,12,17,3,25,5,87,13,916,21,1154,24,34,0,40,3,53,7,96,13,348,3,621,50,62,13,80,8,74,8,78,12,339,9,742,72,44,7,151,5,49,4,37,13,217,7,618,54,23,10,81,9,42,4,19,3,56,0,294,68,24,3,72,8,30,6,12,3,67,3,295,169,35,9,99,14,36,7,17,7,84,5,477,84,9,7,55,12,13,7,0,3,23,0,220,55,5,0,18,5,5,0,3,0,9,0,117,20,0,3,10,0,11,0,3,0,8,0,54,38,3,0,26,0,7,3,7
LGA22170,3,0,0,0,0,0,0,0,0,151,4,159,0,3,0,0,0,5,0,10,0,61,3,80,0,4,0,3,0,0,0,12,3,50,0,75,0,0,0,0,0,8,0,21,0,19,0,46,0,14,0,3,0,11,0,36,7,384,7,453,0,7,0,3,0,29,0,70,8,159,3,295,11,34,7,24,0,71,0,110,16,1151,17,1446,8,39,4,56,0,158,8,146,29,441,7,901,26,85,6,142,8,209,11,118,21,481,5,1123,155,80,11,232,17,152,16,77,15,295,11,1054,180,34,5,207,15,149,9,43,8,87,0,742,263,32,8,204,22,102,11,21,8,85,0,754,937,48,18,367,51,152,16,38,12,87,10,1738,645,18,17,208,30,47,7,19,5,35,0,1036,315,8,3,96,21,21,8,3,4,16,0,493,161,0,0,27,7,50,0,0,3,10,0,268,185,13,3,82,5,34,0,4
LGA22250,5,0,0,7,0,0,0,0,0,9,0,19,3,3,0,0,0,0,0,0,0,7,0,20,0,0,0,0,0,0,0,6,0,8,0,13,0,0,0,0,0,0,0,0,0,7,0,12,3,0,0,6,0,0,0,5,3,75,3,99,3,0,0,0,0,5,0,12,0,23,0,47,5,9,5,3,0,16,3,16,0,190,3,258,10,20,0,15,0,17,0,19,4,69,3,161,17,17,0,31,0,18,5,10,3,60,3,169,31,10,0,37,0,15,0,14,4,49,3,160,17,3,0,23,4,3,0,3,4,3,0,55,35,3,4,22,3,11,3,4,0,13,0,95,43,9,3,30,0,4,3,0,0,6,3,102,14,0,0,11,4,0,0,0,0,3,0,37,5,3,0,3,0,0,0,3,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,7,11,0,0,4,0,0,0,0
LGA22310,3,0,0,3,0,3,0,8,3,263,4,285,0,0,0,3,0,0,0,9,3,107,3,128,0,4,0,3,0,0,0,26,0,48,0,89,0,0,0,0,0,4,0,25,3,26,0,55,3,16,0,0,0,17,0,47,0,318,3,404,3,22,0,4,0,23,0,64,5,121,0,252,11,59,0,19,0,63,7,107,5,822,11,1101,4,73,3,42,7,132,3,111,7,316,7,704,37,104,7,125,13,184,5,117,10,363,9,961,119,105,3,220,9,154,7,95,5,292,8,1006,103,39,4,184,5,144,3,57,3,107,0,655,202,59,0,181,18,122,7,43,4,106,3,756,699,66,12,353,16,198,15,77,12,144,3,1595,660,45,8,244,30,99,10,55,13,92,7,1250,474,32,8,129,20,39,0,26,7,54,0,782,367,8,3,65,22,76,0,21,0,38,0,606,662,56,17,226,28,133,9,62
LGA22410,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,20,0,26,0,0,0,0,0,0,0,4,0,15,0,29,0,0,0,0,0,0,0,3,0,9,0,18,3,4,0,3,0,0,0,14,0,83,6,108,0,3,0,3,0,8,0,23,0,31,0,70,10,9,0,10,0,17,0,38,3,290,3,381,11,9,3,13,0,24,0,27,6,92,3,204,11,18,3,39,3,48,4,25,6,95,3,252,47,12,4,37,0,32,0,15,0,56,5,214,25,6,0,37,4,30,0,14,3,13,0,133,32,14,0,37,11,27,3,7,0,11,3,151,84,12,10,62,5,34,4,8,0,15,3,238,51,10,0,50,5,8,4,3,0,4,0,136,40,3,3,19,3,3,0,0,0,0,0,74,19,0,0,9,0,10,0,3,0,0,0,45,30,4,0,26,3,4,0,0
LGA22490,0,4,0,0,0,0,0,0,0,17,0,25,0,0,0,0,0,0,0,3,0,13,0,19,0,3,0,0,0,0,0,3,0,12,0,19,0,0,0,0,0,0,0,3,0,3,0,8,6,4,0,0,0,3,0,5,0,84,0,100,0,3,0,4,0,6,0,17,0,42,0,78,3,13,0,10,0,13,0,33,3,234,0,317,7,8,3,10,0,26,4,42,0,68,0,181,14,26,0,36,4,39,3,21,6,85,0,233,38,10,3,63,4,32,3,20,3,45,0,225,31,11,0,45,0,27,0,10,0,7,0,128,31,9,0,42,3,25,0,4,3,12,0,137,117,12,7,68,6,32,6,12,3,19,0,282,87,4,0,41,7,7,0,3,3,0,0,158,40,0,0,16,4,3,0,0,0,0,0,67,20,0,0,5,0,6,0,0,4,0,0,35,20,0,0,15,0,12,0,5
LGA22620,4,4,0,0,0,3,0,4,0,82,3,98,3,3,0,0,0,0,0,12,3,68,0,94,0,3,0,3,0,4,0,15,0,33,0,60,0,0,0,0,0,0,0,5,0,19,0,26,10,11,0,5,0,9,5,45,13,387,6,489,3,13,0,4,0,15,3,82,10,139,4,275,13,45,3,30,0,69,6,130,16,1331,18,1675,20,67,8,62,3,125,7,162,28,515,7,1002,44,90,12,166,9,165,16,134,18,582,18,1248,177,91,4,283,14,133,7,86,20,354,0,1185,148,29,6,211,17,117,10,41,10,79,0,679,225,43,15,179,11,74,8,30,5,95,0,684,538,46,12,332,46,130,17,49,10,100,5,1278,343,23,15,181,31,33,3,16,3,39,3,691,228,14,5,85,10,10,5,13,4,17,0,394,88,7,3,32,4,21,0,7,0,5,0,167,111,10,8,85,6,36,3,9
LGA22670,0,0,0,0,0,7,0,3,0,405,10,423,0,5,0,0,0,3,0,12,0,122,0,152,0,10,0,3,0,3,0,35,0,102,3,160,0,0,0,0,0,3,0,36,3,41,0,88,0,14,0,3,0,18,3,62,8,692,3,805,3,26,3,6,0,81,0,100,18,204,0,444,13,39,8,21,5,177,3,133,19,1524,25,1959,11,80,3,53,3,280,0,119,19,372,4,946,59,109,7,168,7,291,4,107,17,389,7,1174,185,67,15,226,17,171,18,59,18,210,9,991,188,40,4,146,14,147,4,32,8,48,0,632,233,27,3,166,23,105,3,14,5,54,3,652,578,32,5,199,22,120,6,23,12,54,4,1053,309,9,4,95,13,36,6,6,3,19,0,490,176,3,0,31,3,7,3,0,0,6,3,232,87,3,0,9,3,11,0,4,0,3,0,125,84,6,3,19,3,11,0,3
