SED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED20106,3,42,425,757,396,87,14,29,1755,3,244,1969,1624,340,67,3,88,4343,8,156,1055,2243,641,97,24,80,4316,10,403,3023,3864,983,171,31,170,8658,147,730,977,196,16,4,3,73,2149,81,1613,1836,308,12,3,6,139,4006,104,4800,8800,2147,133,17,12,343,16355,0,13,8,8,0,0,0,0,27,338,7156,11618,2665,158,20,18,554,22533,4,143,156,32,6,0,0,10,362,5,20,51,21,6,0,0,15,110,354,7766,15275,7334,1552,275,71,778,33414
SED20207,19,66,1187,10403,10122,1047,128,420,23396,10,70,1404,1204,748,35,6,72,3558,6,16,285,1166,543,80,8,39,2145,16,90,1689,2371,1287,118,12,112,5702,3,76,446,226,28,11,0,25,824,0,46,10,0,0,0,0,8,64,0,25,114,14,0,0,0,6,158,0,0,0,0,0,0,0,0,0,7,154,565,242,35,11,0,34,1042,0,3,9,10,6,0,0,0,27,0,0,9,18,9,3,0,10,40,49,313,3460,13047,11451,1179,137,573,30207
SED20302,35,234,2872,11222,7978,918,165,527,23954,4,191,678,317,56,6,0,69,1339,0,11,93,252,51,0,0,8,415,3,203,774,576,106,8,0,76,1755,4,25,99,48,6,0,0,9,196,0,9,3,3,0,0,0,0,13,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,37,100,54,6,0,0,15,220,14,89,95,3,8,0,0,22,235,0,3,17,30,18,0,0,15,85,64,568,3865,11882,8114,930,170,652,26244
SED20401,15,146,1949,9693,4605,862,166,330,17761,4,174,1611,972,231,40,3,91,3126,3,17,436,431,35,3,0,21,948,4,190,2049,1406,268,45,3,112,4072,10,116,343,203,22,6,0,40,741,0,38,81,9,0,0,0,3,130,0,8,23,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,10,168,446,210,22,6,0,45,903,0,0,3,8,3,0,0,0,13,0,9,10,14,14,0,0,11,64,33,513,4457,11326,4905,915,169,493,22812
SED20508,18,137,1775,10665,6193,837,149,361,20127,10,80,593,288,19,3,3,33,1024,0,4,90,194,47,6,4,10,361,10,90,679,478,74,10,4,41,1389,3,20,136,68,7,3,0,11,255,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,136,70,7,3,0,11,258,8,54,42,22,10,0,0,8,134,0,4,20,46,17,3,3,13,100,29,305,2641,11279,6303,861,154,441,22012
SED20604,26,213,2196,10986,6407,791,149,409,21172,0,208,968,253,16,0,0,60,1504,0,3,54,41,0,0,0,9,108,0,210,1021,291,22,3,0,62,1608,0,118,362,69,4,0,3,30,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,362,69,4,0,3,30,583,13,43,30,20,14,5,3,10,143,0,7,26,67,38,14,3,8,163,39,599,3626,11441,6479,813,157,528,23681
SED20704,20,187,2156,10664,6694,845,144,405,21105,11,220,1030,355,35,3,0,80,1728,0,10,52,132,17,0,0,3,221,11,236,1084,487,50,3,0,81,1949,0,6,86,49,3,0,0,12,159,0,0,6,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95,52,8,0,0,12,174,11,17,25,11,4,0,0,8,88,0,4,17,22,18,6,3,15,83,41,458,3377,11234,6770,854,149,512,23396
SED20804,42,417,3490,11179,4655,610,127,509,21030,14,258,747,226,13,3,0,78,1345,0,22,77,58,3,3,0,21,186,16,276,817,287,19,6,3,102,1526,8,106,171,54,3,0,0,21,369,0,24,12,0,0,0,0,8,44,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,144,185,56,3,0,0,26,429,21,67,37,21,4,0,0,12,158,0,11,36,48,36,0,3,10,148,89,920,4563,11586,4725,621,132,662,23289
SED20906,10,75,1864,7585,3987,885,147,263,14816,6,110,1071,809,65,5,0,64,2130,0,46,211,882,511,38,0,26,1714,6,157,1287,1684,579,39,3,89,3847,6,234,1208,596,123,5,0,53,2229,0,71,227,14,0,0,0,9,322,0,152,271,16,0,0,3,26,470,0,0,0,0,0,0,0,0,0,12,456,1705,633,123,5,3,89,3018,0,6,31,15,4,0,0,0,58,0,8,8,23,19,0,0,3,63,29,704,4898,9938,4710,933,152,448,21805
SED21001,11,78,1483,6851,4737,1247,210,245,14860,3,244,2641,1568,130,19,4,91,4701,8,32,503,1160,365,38,4,40,2157,14,279,3146,2725,487,57,12,136,6855,4,189,1067,177,17,3,0,39,1503,29,306,548,47,0,0,0,26,957,42,461,363,16,0,0,3,31,915,0,0,0,0,0,0,0,0,3,71,949,1980,241,24,5,4,100,3369,0,0,15,12,5,0,0,0,39,0,8,14,26,9,7,0,10,67,99,1317,6629,9859,5260,1314,227,492,25197
SED21106,11,68,1143,4512,4111,1241,171,167,11425,12,157,1281,936,117,17,3,45,2569,0,56,536,1275,390,55,9,38,2359,12,216,1824,2212,504,66,12,84,4928,51,560,1742,380,29,0,5,65,2841,27,1013,1957,277,24,3,5,79,3384,7,272,449,128,4,0,0,22,882,0,3,0,0,0,0,0,0,4,84,1853,4155,780,63,7,11,159,7102,0,11,48,23,3,0,0,0,85,0,18,26,32,15,3,3,7,108,107,2153,7187,7568,4693,1320,189,423,23651
SED21203,35,180,1367,11861,2975,502,117,637,17674,4,147,556,679,62,4,4,63,1529,0,10,490,508,49,4,0,43,1109,10,161,1042,1182,113,13,4,106,2636,8,135,366,383,22,8,0,50,967,0,0,0,0,0,0,0,0,3,5,29,31,19,0,0,0,5,100,0,0,3,0,0,0,0,0,9,17,171,407,399,24,8,0,54,1078,11,78,31,89,20,4,3,20,248,0,11,19,37,3,3,0,34,108,77,603,2861,13565,3132,527,128,854,21741
SED21303,7,134,2536,6069,2332,382,90,267,11824,13,300,2183,901,159,22,10,79,3653,12,165,1512,1625,312,70,14,79,3784,20,460,3699,2527,467,94,26,151,7446,40,1369,1952,233,32,0,9,96,3736,48,499,922,74,10,0,0,48,1613,70,1483,2051,148,5,5,0,69,3844,0,0,3,3,0,0,0,0,5,163,3357,4925,461,49,6,18,213,9194,4,38,78,41,14,6,3,10,177,3,24,34,24,10,3,0,17,114,202,4011,11266,9123,2873,491,136,661,28750
SED21401,8,92,806,6807,6685,1457,288,332,16466,0,45,611,571,88,11,4,41,1377,3,13,268,1183,740,95,0,32,2334,4,58,879,1756,830,111,3,74,3711,7,33,193,139,16,0,0,5,391,0,59,188,38,3,0,0,6,296,9,228,601,118,3,0,0,29,995,0,0,0,0,0,0,0,0,0,18,323,978,296,22,0,0,39,1679,0,0,10,0,3,0,0,0,17,0,3,10,6,8,3,0,34,64,37,469,2683,8871,7547,1564,299,477,21938
SED21503,21,72,965,9455,4916,901,190,314,16830,0,119,833,477,82,12,0,29,1558,0,32,473,679,203,20,7,31,1458,4,153,1307,1160,288,33,9,66,3015,0,47,366,113,22,3,0,18,573,19,192,210,17,0,0,0,18,463,25,144,96,9,38,0,0,6,319,0,0,0,0,0,0,0,0,3,40,388,674,139,61,3,0,42,1355,0,3,3,3,0,0,0,0,12,0,3,3,18,0,0,0,11,34,66,619,2950,10769,5269,938,209,425,21255
SED21608,30,253,2296,9721,5044,767,158,382,18653,3,244,918,801,238,16,8,67,2287,0,0,38,42,10,0,3,4,95,3,244,956,839,252,16,9,72,2384,3,58,185,78,5,0,7,25,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,185,78,5,0,7,25,362,7,12,17,42,15,0,0,6,107,3,12,28,32,20,3,0,22,119,46,583,3478,10715,5340,786,168,504,21621
SED21706,16,103,1731,6813,5048,1223,260,277,15477,8,291,1720,855,106,24,9,76,3090,10,17,250,1169,415,51,5,35,1940,14,302,1969,2027,519,70,18,110,5028,18,196,685,534,78,12,8,45,1574,36,232,214,40,0,0,0,7,538,0,155,103,10,0,0,0,8,276,0,0,0,0,0,0,0,0,0,59,578,1010,587,76,12,11,56,2384,0,7,25,12,3,0,0,0,47,0,16,13,18,20,4,0,8,83,92,1013,4751,9456,5668,1311,285,452,23027
SED21805,26,149,1379,9557,5257,726,121,349,17553,17,303,1902,1394,242,7,4,162,4029,6,19,563,1347,274,34,0,35,2283,20,315,2466,2748,519,41,9,203,6313,8,125,305,201,7,0,0,36,683,0,4,142,30,0,0,0,0,181,0,8,34,26,0,0,0,3,65,0,0,0,0,0,0,0,0,0,8,140,482,252,8,3,0,38,927,25,161,169,20,4,0,0,27,411,0,11,13,11,3,0,0,6,37,74,780,4501,12586,5789,767,129,622,25244
SED21906,3,81,1224,3736,3104,873,255,156,9434,8,177,1870,1618,179,14,6,82,3951,3,59,644,1379,444,62,14,44,2642,6,232,2515,2999,622,78,24,128,6597,29,1811,2987,558,49,6,12,155,5594,8,667,1679,171,11,0,0,42,2572,0,175,384,29,0,0,0,9,605,0,4,4,5,0,0,0,0,20,33,2661,5059,760,59,6,12,201,8790,3,44,77,39,4,4,0,7,175,0,25,28,34,12,0,0,18,112,49,3047,8901,7566,3802,960,290,505,25117
SED22005,31,123,1560,9668,4053,799,195,423,16856,8,238,2086,1265,108,12,3,89,3809,9,23,411,1227,400,49,13,45,2178,24,264,2494,2493,509,55,15,137,5986,4,203,1000,212,22,5,0,126,1577,0,103,301,26,0,0,0,10,445,0,35,77,7,0,0,0,3,122,0,0,3,0,0,0,0,0,3,6,339,1389,241,24,7,0,139,2142,0,3,8,6,3,0,0,0,26,0,11,18,24,11,0,4,26,90,64,736,5464,12424,4601,864,214,723,25095
SED22105,30,88,843,11337,11835,1217,138,573,26058,0,38,1079,1075,471,30,0,84,2786,3,16,109,220,62,9,0,8,422,0,54,1194,1292,529,39,3,93,3209,0,24,256,64,3,3,0,21,374,0,8,8,0,0,0,0,3,21,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,35,265,72,5,3,0,25,396,0,0,0,3,5,0,0,0,8,0,3,4,14,11,0,0,5,43,36,172,2301,12714,12385,1257,138,703,29711
SED22201,22,216,3062,9598,5216,878,134,364,19485,0,119,605,334,33,6,3,51,1159,0,31,159,335,27,3,0,8,571,0,154,767,673,62,9,3,64,1730,3,18,63,26,0,0,0,10,123,0,22,139,12,0,0,0,3,171,0,8,63,5,0,0,0,3,84,0,0,0,0,0,0,0,0,0,4,43,267,49,7,0,0,11,377,0,0,0,8,0,0,0,0,6,0,6,14,22,5,0,0,10,57,24,420,4107,10344,5282,895,138,452,21658
SED22305,46,130,1316,9887,3394,658,148,509,16083,22,308,2321,884,155,16,12,172,3888,5,8,445,545,127,23,3,41,1195,23,319,2764,1427,284,37,12,215,5084,11,278,1514,238,25,0,11,101,2184,0,33,184,8,0,0,0,8,241,0,112,131,8,0,0,0,6,260,0,0,0,0,0,0,0,0,0,13,428,1829,260,28,0,11,117,2686,30,56,49,120,36,9,3,32,338,0,12,22,19,3,0,0,26,73,111,947,5983,11710,3746,701,168,893,24267
SED22404,48,523,2970,9729,4985,928,206,525,19912,10,64,241,177,11,3,0,39,550,0,0,7,18,0,0,0,0,29,10,64,250,191,15,3,0,39,579,0,30,71,23,0,0,3,8,137,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,0,0,10,0,3,0,0,0,0,0,0,3,0,30,77,27,6,0,3,10,152,34,127,94,34,5,0,3,63,363,0,6,31,52,23,7,3,14,140,98,755,3417,10039,5039,941,212,646,21144
SED22501,11,96,1056,8411,6612,1335,177,231,17930,4,142,568,270,22,0,0,27,1027,0,25,185,374,47,3,0,12,657,4,166,751,641,63,7,0,41,1682,0,45,267,219,18,0,0,14,565,0,3,17,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,284,219,18,0,0,13,589,0,3,8,9,6,0,0,0,19,0,0,10,9,5,0,0,3,30,16,316,2098,9293,6710,1343,179,290,20255
SED22607,9,77,1710,5604,3422,790,157,216,11986,7,107,1280,806,129,11,3,55,2400,3,180,788,1342,255,19,6,46,2638,9,285,2068,2152,382,33,8,104,5040,10,577,1687,385,16,0,0,74,2742,60,1028,1581,105,9,0,0,152,2928,20,510,1688,338,10,0,0,107,2672,0,0,0,0,0,0,0,0,0,90,2117,4952,824,31,0,3,326,8341,5,26,46,21,7,4,0,3,105,0,16,30,29,12,0,0,15,100,109,2515,8801,8629,3855,832,165,664,25571
SED22704,66,363,3054,11738,5665,808,163,585,22429,3,136,239,80,8,0,0,32,501,0,0,11,28,0,0,0,0,40,3,134,249,109,5,0,0,32,541,3,161,469,60,10,0,0,35,746,0,0,32,3,0,0,0,0,38,0,17,20,0,0,0,0,3,43,0,0,0,0,0,0,0,0,0,3,178,519,72,10,0,0,42,817,27,102,51,31,6,3,0,24,255,0,14,22,62,27,3,3,10,141,101,786,3898,12009,5709,817,176,695,24191
SED22802,15,153,1021,9182,5816,1235,279,295,17986,0,214,577,187,9,0,0,40,1022,0,6,147,108,11,0,0,7,279,0,216,719,293,18,0,0,43,1300,0,9,10,8,0,0,0,0,21,0,0,24,25,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,25,35,0,0,0,5,75,11,46,11,3,4,0,0,3,80,0,7,10,29,15,3,0,8,69,28,435,1791,9544,5852,1237,279,350,19510
SED22901,12,99,1092,8414,5865,1246,252,264,17240,3,156,933,370,122,19,3,68,1669,0,12,146,461,120,29,8,14,789,3,169,1077,833,242,48,6,77,2454,9,54,63,12,3,0,0,16,149,0,22,55,5,0,0,0,7,83,0,47,52,4,0,0,0,4,112,0,0,0,0,0,0,0,0,0,5,120,168,17,3,0,0,25,342,8,57,53,15,3,0,0,4,142,0,3,10,14,4,0,4,7,42,33,452,2399,9289,6118,1294,263,370,20211
SED23007,41,171,2512,8641,2940,573,113,473,15477,16,433,1119,725,125,14,3,103,2542,9,72,983,2426,765,120,30,89,4498,24,501,2099,3155,897,134,27,193,7036,27,826,1425,243,19,0,8,94,2643,28,304,777,130,4,0,0,34,1275,76,822,1187,101,4,0,23,64,2278,0,9,20,7,0,0,0,3,32,127,1955,3412,477,34,0,33,190,6228,3,14,33,27,10,0,0,6,98,7,11,37,31,3,6,3,22,112,200,2660,8095,12337,3882,717,182,881,28953
SED23101,10,80,855,8123,6353,1186,227,264,17101,0,184,1012,913,155,20,4,53,2344,0,9,79,512,213,34,8,14,869,0,198,1094,1429,368,57,7,62,3213,90,124,112,58,9,0,0,24,420,0,19,27,8,0,0,0,3,62,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,8,90,146,138,71,11,0,0,25,485,0,0,15,10,0,0,0,0,17,0,4,5,15,6,0,0,5,31,109,429,2102,9642,6734,1249,234,360,20852
SED23205,25,141,1604,10743,4676,789,140,441,18553,17,454,1974,582,23,4,5,152,3206,4,37,308,412,42,0,0,18,815,22,489,2280,986,68,5,5,161,4026,48,212,448,60,4,0,4,37,809,0,5,40,5,0,0,0,3,56,5,19,35,3,0,0,0,6,66,0,3,0,0,0,0,0,0,8,51,242,522,68,4,3,4,46,938,8,16,17,15,9,0,0,3,74,4,4,14,16,3,0,0,6,49,116,889,4439,11831,4760,794,150,663,23637
SED23308,21,295,3258,11160,3644,593,105,422,19510,15,710,1767,576,39,3,3,101,3213,5,66,346,409,68,4,0,12,908,19,773,2112,984,102,5,3,114,4120,12,450,618,150,8,0,0,51,1295,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,0,0,0,0,0,0,4,18,531,776,185,13,7,4,57,1597,11,79,84,26,6,0,3,18,230,0,7,16,32,8,3,0,11,73,77,1683,6248,12398,3782,607,113,625,25531
SED23402,16,119,1184,8810,8027,1300,249,304,20010,7,112,891,725,158,9,0,71,1969,0,3,68,388,87,10,0,10,573,8,110,961,1118,248,20,0,77,2546,23,32,89,15,4,0,0,15,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,32,89,18,6,0,0,15,186,0,33,17,8,8,3,0,4,74,0,3,13,20,14,3,0,14,61,50,301,2257,9962,8303,1329,253,413,22868
SED23502,36,479,3307,10995,4991,734,129,563,21243,0,99,343,110,18,3,3,36,613,0,13,21,27,4,0,0,4,62,0,111,364,140,18,4,3,39,674,0,78,203,58,3,0,0,18,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,74,203,58,3,0,0,22,365,22,114,114,48,9,3,3,23,334,0,13,44,67,43,6,3,70,251,64,799,4031,11301,5067,743,139,717,22866
SED23602,34,276,2417,10387,5276,729,151,461,19727,3,125,418,84,3,3,0,43,674,0,35,26,12,0,0,0,8,89,3,160,445,95,3,3,0,47,763,0,111,339,85,5,0,0,21,563,0,0,24,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,115,360,83,4,0,0,29,597,18,76,43,35,3,0,3,11,193,3,9,23,29,15,5,3,9,93,61,630,3290,10632,5309,736,158,556,21368
SED23702,38,139,1505,9960,6745,1253,283,375,20293,3,137,1452,1077,57,8,0,84,2811,0,9,112,185,13,6,0,7,333,3,147,1561,1258,73,11,0,89,3141,0,8,57,57,3,0,0,4,131,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,57,59,3,0,0,4,131,25,111,60,15,6,0,0,10,230,3,8,5,12,3,0,0,3,35,61,408,3186,11306,6835,1270,284,488,23837
SED23806,8,62,1019,3604,3800,1330,243,131,10204,10,122,1609,1194,251,45,5,69,3303,0,44,300,875,263,38,5,19,1546,12,165,1913,2073,517,81,8,90,4846,81,804,1940,393,43,10,3,156,3427,52,1073,1999,226,20,0,4,70,3449,111,1238,1404,148,9,0,3,71,2980,0,0,0,0,0,0,0,0,0,241,3109,5338,762,70,11,15,301,9850,3,6,25,31,10,4,0,0,78,0,16,32,28,13,3,0,6,106,272,3364,8325,6500,4404,1429,267,535,25086
SED23901,11,113,2242,8194,4464,901,161,336,16426,3,303,1500,823,69,14,0,111,2820,3,31,500,985,143,17,8,27,1718,9,327,2000,1813,214,31,6,136,4535,8,329,1207,321,41,0,3,43,1950,0,24,157,15,0,0,0,4,209,0,109,184,8,3,0,0,7,318,0,0,0,0,0,0,0,0,4,12,457,1552,355,45,3,7,59,2474,0,6,15,12,3,0,0,0,34,0,8,30,28,11,0,0,20,94,28,914,5837,10398,4740,938,172,546,23564
SED24006,6,70,1121,5132,5571,1805,360,250,14321,0,56,1118,956,104,9,0,34,2285,3,24,355,1176,382,44,7,23,2027,8,83,1475,2137,491,54,11,59,4315,3,129,1102,218,26,0,4,45,1527,0,80,597,104,4,0,0,14,805,0,83,287,74,4,3,3,8,465,0,0,0,0,0,0,0,0,0,3,293,1983,402,36,6,6,65,2799,0,3,22,17,3,0,0,3,47,0,4,14,13,17,6,0,7,66,19,460,4613,7699,6114,1868,377,384,21535
SED24105,35,91,1005,9238,5862,1181,216,443,18062,3,179,958,512,65,7,3,74,1800,0,0,223,475,156,30,5,24,910,6,178,1176,983,224,41,7,94,2712,7,146,529,193,23,3,4,43,944,10,36,23,15,0,0,0,3,84,0,7,44,0,0,0,0,3,53,0,0,3,3,0,0,0,0,3,14,181,600,210,21,3,4,41,1076,11,56,6,7,4,0,0,10,91,3,6,21,14,7,0,0,3,53,64,510,2807,10459,6114,1224,223,596,21997
SED24207,50,74,688,11458,7896,1135,152,576,22026,3,13,376,469,107,8,4,29,1000,3,8,130,696,177,22,8,27,1065,3,24,501,1163,284,28,10,53,2063,0,37,56,27,4,0,0,8,131,0,0,27,0,0,0,0,0,27,0,0,80,3,0,0,0,0,88,0,0,0,3,0,0,0,0,8,0,39,163,36,4,0,0,7,252,20,79,6,12,6,0,0,5,122,0,0,0,16,11,0,0,3,25,72,220,1354,12676,8197,1161,161,647,24491
SED24308,39,217,2362,12218,4563,552,139,534,20621,8,487,875,530,86,6,0,95,2095,0,46,94,114,28,0,0,10,296,13,533,966,648,113,12,3,103,2382,0,78,277,105,4,0,0,29,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,78,281,105,4,0,0,29,499,9,17,31,20,24,7,0,0,110,0,11,26,24,12,0,0,8,71,66,855,3661,13014,4711,564,138,670,23684
SED24408,43,297,2771,11255,4923,679,163,500,20633,9,179,346,147,35,3,0,38,762,0,0,3,11,4,0,0,0,28,9,182,355,159,39,4,0,38,782,7,176,367,66,8,3,3,27,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,177,367,66,8,3,3,27,652,13,24,15,46,14,7,6,6,138,4,19,41,72,33,6,10,16,202,71,702,3559,11595,5015,699,182,591,22404
SED24504,30,324,2156,8596,6249,1110,222,394,19073,3,123,341,207,23,0,0,21,723,0,0,10,15,0,0,0,0,21,3,121,350,217,23,0,3,21,744,0,30,102,43,3,0,0,6,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,106,48,5,0,0,6,198,8,39,32,27,11,3,4,14,141,0,8,32,43,21,3,3,25,130,39,527,2670,8936,6313,1113,235,458,20288
SED24606,3,48,922,3700,3510,1208,249,142,9781,3,137,1214,941,111,4,3,38,2461,4,37,552,1172,338,34,9,37,2177,6,172,1759,2107,455,41,13,79,4632,45,850,2227,606,36,10,3,88,3856,29,903,1794,251,9,17,0,62,3067,12,360,466,129,7,0,0,31,1008,0,0,0,0,0,0,0,0,3,88,2117,4483,990,53,23,3,181,7936,19,90,68,22,3,0,0,5,209,3,7,22,23,14,3,3,5,81,116,2439,7258,6842,4032,1277,268,415,22641
SED24703,6,68,471,734,292,81,28,57,1723,12,305,1976,1257,271,46,9,90,3963,16,193,1434,2217,714,164,36,114,4898,26,501,3407,3467,990,216,45,205,8861,45,418,654,266,45,3,26,41,1507,130,1160,1942,436,30,4,5,84,3797,1502,10681,15406,2560,169,15,34,900,31282,0,9,10,3,0,0,0,0,19,1688,12264,18013,3263,248,21,74,1035,36604,11,26,51,32,11,0,0,51,189,12,100,165,37,16,3,5,38,378,1739,12959,22104,7536,1557,328,155,1381,47756
SED24808,29,122,995,11577,8630,943,202,560,23053,7,185,898,1088,432,23,8,105,2739,0,6,68,220,51,9,3,4,369,11,195,962,1309,479,32,4,105,3106,0,54,33,29,3,0,0,5,131,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,58,33,35,6,0,0,8,137,4,15,9,14,0,0,0,0,49,0,8,8,19,14,0,0,12,63,39,406,2009,12947,9129,983,211,685,26407
SED24904,39,250,2204,11180,4895,605,110,560,19853,8,130,894,543,21,0,0,85,1678,0,0,22,37,3,0,0,0,66,8,133,916,581,22,0,0,81,1737,17,278,721,100,4,0,3,93,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,17,283,721,100,4,0,3,93,1220,35,118,69,38,4,0,0,27,296,0,6,28,51,23,3,3,20,133,106,797,3927,11949,4958,611,117,780,23241
