SOSR_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SOSR201,15,42,207,673,690,867,1317,1062,308,305,357,370,476,288,210,7189,46,261,800,680,2497,16377,28303,34998,7199,8642,10268,13768,15922,8650,6940,155340,15,222,2252,5994,563,1294,1546,134,36,37,45,43,47,10,387,12616,16,820,1976,2280,666,1878,1529,1238,277,307,422,229,270,130,361,12394,14,36,84,283,929,2952,2376,1500,229,255,269,215,220,113,237,9720,179,4969,3693,1851,1438,1052,1805,1298,284,268,277,334,388,231,629,18711,86,3319,18715,15106,1821,1014,582,303,312,696,557,389,287,116,1747,45053,31,56,270,861,2588,6102,4127,2172,447,625,716,827,863,451,572,20699,44,365,367,4838,3007,8628,25394,55474,6066,7229,9129,12324,12014,8768,4498,158148,20,136,159,336,779,1642,5011,2787,589,718,827,955,1341,1069,376,16759,3,16,16,162,598,1342,1634,2710,1456,1918,3178,855,894,452,392,15641,0,3,12,98,346,2190,5129,3742,998,638,1571,897,726,754,421,17522,29,334,857,1708,966,1646,1335,2086
SOSR203,0,0,7,22,14,16,55,34,7,9,3,14,7,15,10,198,3,0,75,5,15,66,169,359,72,80,68,127,142,91,57,1332,0,25,260,527,45,114,112,11,3,0,3,0,0,0,45,1152,0,3,4,15,0,7,22,18,0,3,3,8,0,3,5,86,0,0,0,7,3,17,11,18,5,3,6,6,7,0,0,91,4,438,178,54,37,29,35,29,3,4,3,3,5,7,42,876,4,27,118,94,12,12,6,0,0,0,0,0,0,0,22,289,0,0,3,8,17,31,24,24,3,12,6,18,15,5,9,160,4,12,4,33,14,34,117,813,82,77,141,198,275,197,59,2066,0,3,9,3,5,20,49,30,7,3,10,26,10,4,3,184,0,0,0,3,9,23,36,52,23,84,107,39,42,8,5,439,0,0,0,0,0,0,27,14,6,20,24,5,45,52,9,209,0,17,40,61,17,42,25,49
SOSR211,0,0,14,36,14,23,71,29,8,6,10,9,17,5,9,247,0,0,8,5,11,66,223,319,64,65,74,108,111,127,65,1245,0,9,105,191,21,28,31,3,0,0,0,0,3,0,15,406,0,11,35,23,12,27,59,39,3,0,18,4,6,0,12,247,0,3,4,4,14,54,54,74,17,18,10,11,0,15,7,287,7,420,208,107,54,34,49,40,4,6,6,0,4,4,30,958,0,26,77,76,16,9,5,0,0,0,0,0,0,0,17,223,0,0,6,14,16,18,22,16,5,3,8,0,6,7,10,121,3,13,16,80,28,57,437,1438,119,137,166,193,182,116,102,3074,0,7,5,4,11,20,58,51,9,8,11,5,6,3,3,194,0,0,0,3,4,14,18,34,20,28,28,11,3,9,0,165,0,0,0,0,0,6,34,28,6,0,6,3,3,4,0,96,5,29,41,92,27,56,38,38
SOSR212,0,4,9,22,8,17,32,29,8,0,3,4,3,0,0,137,0,3,7,9,7,30,99,172,34,26,35,44,48,33,42,590,5,8,35,70,10,11,5,3,0,0,0,0,0,0,7,161,0,12,19,11,3,8,21,21,3,0,0,4,0,4,0,103,0,0,0,8,21,42,45,26,3,4,4,3,8,4,3,170,0,228,107,41,28,16,19,19,7,3,3,3,3,10,16,510,3,56,144,55,17,11,0,0,0,9,0,0,0,0,27,332,0,0,3,5,10,11,22,17,0,7,4,22,18,8,19,151,0,8,8,51,19,62,243,908,86,92,86,122,120,92,66,1981,0,9,9,9,4,3,29,23,0,3,0,4,12,11,3,118,0,0,0,0,6,0,18,34,8,10,49,19,4,14,7,175,0,0,0,0,3,53,245,88,19,26,23,25,24,8,18,532,0,19,38,46,34,55,46,32
SOSR213,3,6,20,30,33,30,55,35,12,9,10,8,9,12,15,275,0,7,10,3,3,44,100,179,12,29,19,20,29,15,32,508,0,12,49,136,7,20,7,3,0,0,0,0,0,0,3,243,0,16,21,17,4,4,7,13,4,5,7,3,3,0,0,106,3,3,3,7,12,29,37,34,0,10,8,0,3,0,7,157,4,541,263,91,78,34,48,35,3,4,3,4,6,3,39,1167,3,29,91,74,14,3,3,4,3,3,0,0,0,0,10,236,0,6,9,12,16,18,20,23,0,3,4,9,8,3,11,131,6,20,11,72,20,25,97,568,61,51,73,80,76,45,51,1264,0,8,8,6,6,17,27,35,6,16,3,10,4,3,0,143,0,0,3,0,0,11,7,20,6,4,13,6,0,0,0,71,0,0,0,0,0,7,12,3,0,0,3,0,0,0,0,25,0,28,58,97,42,58,51,53
SOSR214,0,3,10,18,13,24,27,14,3,6,3,3,3,7,8,144,0,0,6,0,3,29,63,67,17,19,25,22,60,58,102,469,0,4,34,59,4,4,3,0,0,0,0,0,0,0,3,118,4,16,19,17,3,3,3,4,0,0,4,0,0,0,3,75,0,0,0,0,5,15,14,13,0,0,0,5,0,0,3,66,0,242,169,64,38,26,27,13,3,12,6,4,0,0,25,633,0,30,72,60,5,3,3,0,0,0,0,0,0,0,8,182,3,0,0,3,0,14,6,12,6,4,3,8,7,4,13,81,0,13,18,31,13,11,58,330,28,37,39,53,37,36,43,734,0,13,0,0,3,4,16,11,6,0,0,3,3,3,7,77,0,0,0,0,0,0,5,3,3,4,0,3,0,0,0,23,0,0,0,0,0,7,37,29,3,5,0,0,0,0,5,89,0,14,34,56,27,43,29,18
SOSR215,3,3,6,43,35,30,44,27,4,3,6,12,0,6,3,221,8,7,12,3,5,29,50,92,15,7,30,22,39,12,31,355,0,10,59,86,4,7,7,3,0,0,0,0,0,0,7,186,0,12,20,20,0,5,12,11,0,0,0,4,3,0,7,95,0,3,5,10,16,29,21,23,3,3,0,0,0,6,5,123,4,378,235,119,73,42,45,28,3,8,3,7,3,3,51,991,0,33,68,65,9,9,0,5,0,0,0,0,0,0,3,191,0,0,8,6,11,10,14,8,3,4,0,4,3,3,8,84,0,17,21,63,23,26,63,317,25,48,53,33,53,16,24,787,4,11,12,4,6,14,20,3,3,0,3,3,4,0,3,88,0,0,0,3,3,5,0,14,3,5,4,3,3,3,0,44,0,0,0,0,0,4,10,4,6,3,0,0,0,0,0,31,0,37,62,101,42,46,38,39
SOSR221,0,0,4,14,7,7,12,3,3,0,5,0,0,0,0,60,0,3,6,0,0,9,9,3,0,0,0,4,0,3,4,43,0,0,14,20,4,3,0,0,0,0,0,0,0,0,3,51,0,6,9,3,0,0,0,3,0,0,0,3,0,0,0,23,0,3,4,3,4,4,0,0,0,0,0,0,0,0,0,18,0,127,96,56,29,16,6,9,0,0,0,0,3,0,13,354,0,17,25,19,3,0,0,0,3,0,0,0,0,0,0,72,0,0,0,3,6,0,0,0,0,0,0,0,0,3,0,12,3,5,3,10,0,5,9,51,0,11,11,12,10,3,13,156,0,3,0,0,3,3,5,0,0,0,3,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,26,5,19,9,6
SOSR222,0,0,0,8,3,7,7,4,0,0,3,0,0,0,3,38,0,0,0,0,0,3,8,13,0,3,0,10,0,15,4,60,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,25,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11,0,56,49,16,9,12,11,0,3,0,8,4,0,0,8,175,0,5,9,7,3,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,3,0,0,0,0,0,0,3,3,0,14,0,0,4,14,0,7,11,32,0,9,11,3,0,0,0,94,0,0,3,4,0,0,3,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,6,21,9,5,5,9
SOSR231,3,5,26,70,63,56,93,51,14,9,5,5,8,3,22,435,3,11,32,4,17,47,81,114,19,23,17,24,35,57,61,568,6,13,123,275,30,12,14,0,0,0,3,0,0,0,42,524,0,24,31,24,9,3,6,10,0,0,0,0,0,0,4,125,0,0,4,14,21,40,26,22,7,7,10,5,0,0,20,183,7,585,484,238,187,85,117,67,16,12,13,11,12,10,69,1907,3,113,243,154,16,6,6,5,0,3,0,0,3,0,43,613,0,0,0,14,21,15,11,19,6,0,4,4,10,4,32,144,4,29,23,88,48,80,199,522,42,47,59,58,44,42,103,1372,4,22,14,11,7,12,30,41,3,6,4,6,3,3,16,188,0,0,0,5,6,11,4,7,0,3,0,0,0,0,5,50,0,0,0,3,3,16,39,8,0,3,0,0,0,0,24,99,0,28,84,144,65,100,64,67
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,4,0,0,3,9,0,0,0,0,3,3,4,31,0,0,0,0,0,5,4,23,3,3,25,11,13,31,19,140,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,3,0,3,0,0,0,3,0,6,3,8,33,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,3,3,0,0,0,5,3,12,0,36,0,0,0,0,0,7,7,21,3,3,7,7,8,57,15,130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,17,0,0,0,0,0,0,0,5,3,0,0,0,0,20,9,27,0,0,0,0,0,0,0,0
