SOSR_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOSR201,6331,8375,11218,16525,40062,62187,36762,78141,2532,262130,17230,38904,44658,53297,92115,123967,55029,77843,4501,507545,5472,13466,16268,19176,56102,66774,28062,33449,4334,243094,7647,44090,35281,35265,30591,22102,10890,12176,3565,201608,8799,29059,33710,34571,70853,55185,20581,18403,2811,273979,5772,54383,29480,23117,27687,23136,11000,15160,2890,192635,2736,6599,8144,9659,28539,22866,11757,15006,2372,107672,4173,33765,24923,19176,31481,21977,8687,9785,3483,157451,1313,2683,2072,2142,5118,5274,1666,3071,10796,34140,59484,231310,205760,212936,382559,403468,184434,263038,37293,1980273
SOSR203,231,277,316,470,1122,1524,1033,2144,67,7180,658,1263,1686,1882,2673,3033,1670,2097,111,15071,287,576,562,778,2249,2810,1229,1404,157,10048,448,1950,1573,1703,1254,1026,489,501,156,9099,354,1015,1160,1178,2154,1369,593,521,79,8422,279,2443,1177,1006,974,670,365,502,111,7532,151,300,301,317,899,926,513,739,80,4230,262,1895,999,975,1237,1102,361,487,156,7482,59,87,51,70,142,165,47,93,339,1065,2737,9810,7826,8386,12698,12628,6292,8492,1264,70130
SOSR211,348,423,493,837,1992,2384,1777,3443,112,11809,1051,1694,2363,3101,4341,4304,2305,2956,163,22261,472,874,826,1316,4182,4783,2299,2594,272,17623,816,3033,2387,3007,2323,1684,805,927,237,15220,648,1607,1909,2313,4173,2556,1173,909,158,15454,536,4008,1923,1710,1893,1152,700,778,193,12887,295,464,463,651,1884,1733,1169,1740,171,8569,520,3087,1679,1744,2666,1803,982,862,255,13599,93,175,101,155,273,249,111,191,591,1936,4777,15370,12146,14825,23725,20650,11313,14402,2155,119360
SOSR212,228,292,283,508,1321,1725,1207,2428,86,8073,603,863,1414,1805,2697,2650,1384,1812,103,13331,323,527,502,730,2652,3057,1397,1681,153,11018,440,1609,1392,1798,1527,971,502,499,155,8903,367,1033,1304,1491,2592,1734,647,544,79,9795,289,2674,1146,1223,1265,735,415,589,127,8462,197,256,258,301,993,992,722,1086,97,4900,319,1971,1032,1150,1659,1319,718,610,176,8957,73,87,42,82,161,156,65,96,406,1167,2833,9300,7381,9098,14868,13337,7060,9352,1380,74610
SOSR213,361,501,497,801,1704,2461,1609,3571,123,11630,873,1523,2289,2713,3350,3726,1902,2654,166,19203,500,901,849,1227,3779,4493,2106,2640,268,16769,725,2670,2316,2653,2053,1451,716,818,224,13626,563,1571,1813,1995,3017,2063,839,793,125,12768,499,3421,1689,1506,1560,1112,652,754,159,11354,273,390,409,496,1373,1326,1007,1655,148,7074,511,3085,1582,1733,2115,1575,804,1001,259,12660,108,149,93,127,215,248,87,154,594,1785,4422,14210,11540,13249,19170,18457,9725,14041,2062,106877
SOSR214,230,284,313,462,802,1209,887,1859,75,6125,436,736,1043,1291,1393,1554,875,1201,65,8597,306,523,530,688,1929,2295,985,1272,155,8681,420,1344,1143,1375,1005,787,398,408,117,6988,283,793,920,1014,1464,947,391,365,60,6239,269,1567,866,830,727,529,320,332,88,5526,132,199,241,277,701,671,478,794,69,3561,368,1663,893,1038,1216,1126,550,507,166,7532,82,69,54,53,107,114,32,92,319,927,2517,7186,6003,7022,9351,9232,4915,6833,1112,54179
SOSR215,407,535,524,787,1412,2087,1384,3397,137,10679,772,1255,1818,2070,2267,2467,1329,1972,134,14075,583,913,942,1163,3042,4069,1844,2341,266,15162,650,2079,1809,2212,1506,1115,567,648,197,10783,480,1357,1517,1675,2217,1628,661,617,109,10264,328,2390,1313,1227,1219,819,475,568,168,8512,307,346,354,431,1280,1295,922,1514,131,6587,483,2598,1360,1509,1908,1661,882,779,283,11466,123,107,102,95,169,204,86,142,547,1586,4141,11578,9748,11169,15025,15346,8161,11990,1975,89120
SOSR221,126,153,151,254,349,614,330,1010,40,3033,220,348,512,618,583,593,359,509,32,3781,157,289,257,376,871,1090,476,656,64,4236,205,540,552,568,345,272,137,208,63,2888,134,401,443,435,573,387,136,167,22,2692,91,667,324,310,305,192,113,154,30,2184,90,93,101,141,381,364,238,442,42,1888,169,742,403,373,475,495,215,263,64,3197,37,32,24,26,45,53,19,40,148,422,1224,3262,2764,3099,3932,4058,2033,3445,506,24320
SOSR222,76,110,113,142,224,385,255,807,27,2140,141,224,305,339,360,381,244,306,22,2319,99,192,192,215,529,679,291,432,52,2677,132,368,310,353,267,206,93,135,54,1914,79,239,267,271,372,253,112,111,16,1717,60,369,230,196,186,134,91,93,19,1384,69,59,67,83,219,264,167,346,30,1299,93,483,243,294,351,362,180,207,61,2281,21,21,16,18,41,24,13,27,89,276,765,2067,1742,1924,2540,2685,1437,2461,372,16005
SOSR231,1620,2841,2582,3584,3490,7590,4067,20192,980,46932,1536,2865,4153,4585,4155,5023,2566,4391,359,29621,985,1896,1870,2433,5325,7591,3112,5318,592,29124,1061,3673,3174,3316,2223,1964,1038,1227,358,18031,956,3359,3512,3627,4097,3222,1229,1425,271,21702,574,4555,2109,1910,1763,1376,794,1194,268,14545,632,764,833,1015,2109,2538,1585,3455,287,13209,996,4875,2664,2638,3278,3385,1552,2565,557,22505,264,282,192,252,347,453,149,428,1184,3548,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,23
SOSR299,7,3,12,11,31,40,17,52,7,178,34,34,33,40,54,108,31,64,7,405,6,10,26,18,59,70,35,55,5,297,13,59,40,55,28,32,21,19,8,277,15,14,23,21,45,33,9,10,7,182,3,29,16,16,30,13,7,11,6,134,14,11,11,14,42,35,15,48,13,200,6,46,42,46,51,47,19,31,12,307,8,10,7,0,0,3,3,3,23,57,111,212,205,226,348,385,170,296,84,2033
