SOSR_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SOSR201,1834,127351,8319,137494,9952,230068,12582,252600,3443,116872,6525,126834,2614,146637,10369,159623,4301,313534,24684,342522,5367,271881,19305,296548,7805,241097,16460,265362,10722,187113,13281,211120,13904,125773,9917,149599,16598,59795,6339,82732,13274,15392,2993,31661,89817,1835513,130761,2056095,1018,121483,7981,130480,4581,223587,11822,239991,2042,114723,6344,123105,1978,144803,9725,156508,3981,325208,23990,353181,5726,280799,18063,304594,9591,254620,16019,280226,13472,200947,13632,228049,16638,140206,11083,167930,26820,67786,7836,102445,28537,19596,5455,53590,114395,1893759,131948,2140106,2855,248828,16295,267976,14538,453651,24406,492595,5485,231589,12870,249943,4601,291436,20090,316127,8282,638745,48669,695698,11087,552685,37370,601145,17400,495712,32475,545587,24202,388060,26915,439174,30546,265984,21003,317529,43413,127581,14179,185177,41819,34990,8443,85254,204214,3729270,262712,4196198
SOSR203,99,4635,303,5029,613,8211,494,9312,219,4493,279,4990,148,5476,372,6002,268,9652,720,10640,275,8593,605,9472,388,8427,666,9480,510,7604,578,8701,685,5492,495,6667,692,2715,339,3744,605,812,186,1596,4497,66108,5033,75635,43,4389,305,4732,256,8051,491,8797,142,4542,285,4969,127,5390,413,5934,215,10125,696,11039,300,9168,610,10084,484,9267,652,10403,628,8491,651,9767,670,6506,546,7721,1102,3467,451,5024,1487,1153,354,2996,5459,70550,5450,81462,139,9017,608,9762,867,16262,981,18114,359,9036,561,9959,278,10868,784,11931,479,19785,1417,21680,579,17756,1217,19552,872,17697,1323,19884,1141,16096,1230,18465,1356,11998,1037,14388,1792,6188,790,8763,2089,1962,541,4593,9953,136658,10484,157104
SOSR211,177,9092,707,9977,1293,15966,1173,18430,446,8010,540,8994,332,8940,704,9981,518,16613,1334,18467,573,14801,1162,16545,833,14070,1144,16043,1038,12884,1088,15011,1272,9445,926,11647,1049,4326,545,5919,778,1021,256,2053,8318,115165,9588,133073,96,8776,681,9558,538,15883,1088,17504,253,7836,572,8670,240,9176,708,10117,466,17945,1446,19862,628,15954,1160,17743,864,15527,1198,17586,1179,14728,1204,17108,1224,10878,1012,13112,1548,5251,706,7502,1903,1596,408,3895,8941,123538,10179,142654,272,17868,1391,19530,1832,31845,2260,35934,699,15845,1120,17664,572,18115,1415,20098,992,34555,2783,38326,1207,30752,2326,34284,1697,29596,2340,33634,2217,27611,2294,32117,2495,20316,1938,24759,2601,9573,1252,13422,2681,2612,661,5952,17254,238707,19771,275731
SOSR212,118,5166,422,5702,666,9753,755,11176,240,5090,364,5699,193,4810,429,5431,247,9750,900,10891,348,8902,731,9983,459,9275,850,10588,615,8318,833,9766,767,6046,670,7481,762,2881,395,4035,573,766,173,1507,4984,70763,6515,82267,47,4998,384,5430,313,9637,636,10593,154,4909,379,5441,122,4942,401,5468,245,10348,904,11499,316,9741,768,10828,553,10184,813,11557,664,9255,824,10739,735,6873,773,8380,1136,3611,577,5321,1316,1043,375,2739,5616,75545,6835,87993,162,10163,805,11137,980,19395,1397,21771,394,10001,744,11145,314,9759,828,10899,489,20094,1804,22389,671,18644,1495,20807,1018,19462,1659,22142,1276,17568,1652,20504,1496,12916,1444,15863,1901,6490,970,9362,1893,1811,545,4248,10596,146304,13348,170256
SOSR213,149,7585,550,8283,959,14421,996,16369,374,6885,470,7722,252,6194,517,6968,406,12637,1029,14067,461,12941,1056,14460,679,13370,1088,15136,860,13186,1098,15150,1171,10534,1086,12792,1139,5375,679,7194,961,1370,319,2649,7392,104498,8887,120784,71,7201,549,7823,454,14143,921,15523,214,6588,457,7258,199,6061,507,6773,358,13875,1027,15262,518,14170,1041,15728,767,14885,1146,16799,1066,14608,1235,16904,1112,12015,1130,14263,1697,6478,874,9051,2292,1998,561,4849,8755,112027,9450,130231,215,14789,1106,16108,1412,28564,1909,31887,588,13479,923,14987,449,12255,1030,13737,759,26509,2051,29330,983,27104,2102,30191,1447,28253,2232,31934,1923,27796,2339,32056,2283,22553,2214,27053,2842,11852,1550,16238,3246,3367,878,7501,16147,216527,18341,251012
SOSR214,59,3684,306,4058,389,7363,526,8283,184,3807,263,4253,132,3172,296,3596,210,5701,760,6673,245,6231,723,7206,411,7352,782,8544,610,7670,760,9042,754,7156,784,8690,751,3782,495,5023,611,1023,231,1869,4358,56950,5938,67240,41,3386,278,3702,197,7209,535,7941,111,3430,257,3795,101,2850,220,3164,154,6236,541,6928,247,7022,621,7888,463,8119,682,9259,643,8496,749,9885,761,8132,881,9777,1082,4305,644,6026,1410,1382,468,3261,5201,60565,5867,71633,97,7075,586,7760,588,14571,1061,16221,289,7233,518,8049,233,6021,514,6762,356,11938,1302,13599,493,13252,1346,15094,876,15467,1464,17803,1255,16165,1513,18934,1517,15289,1667,18475,1831,8089,1138,11053,2024,2408,704,5132,9564,117510,11803,138874
SOSR215,112,5952,465,6537,688,12201,871,13764,237,5536,384,6155,178,4673,409,5253,253,9548,812,10613,327,10551,906,11785,575,11818,1059,13448,838,12531,1185,14555,1199,10972,1093,13263,1177,5400,684,7255,1087,1358,296,2740,6672,90533,8163,105368,48,5711,411,6175,300,11846,821,12977,129,5168,366,5665,103,4442,384,4929,227,10457,888,11573,353,11433,969,12757,613,12901,1031,14549,886,13602,1217,15700,1048,11765,1151,13961,1646,6076,779,8507,2363,1921,542,4820,7715,95323,8575,111612,167,11661,881,12710,989,24050,1698,26735,366,10704,752,11821,278,9118,796,10185,479,20008,1698,22188,684,21983,1875,24539,1189,24720,2091,27995,1724,26127,2399,30257,2251,22730,2250,27228,2820,11477,1460,15760,3448,3276,833,7560,14384,185860,16731,216976
SOSR221,27,1505,118,1650,193,3362,267,3825,61,1511,100,1673,45,1104,100,1249,69,2299,225,2596,98,2858,271,3227,177,3624,332,4133,286,4106,428,4821,358,3601,401,4362,305,1530,190,2023,209,327,93,633,1845,25833,2518,30195,7,1417,106,1535,75,3212,235,3521,38,1411,103,1546,33,1055,69,1161,62,2494,216,2769,103,3100,293,3503,197,3806,328,4336,286,4122,422,4824,293,3474,381,4146,369,1531,208,2111,423,387,160,972,1894,26001,2529,30425,42,2923,224,3187,273,6576,499,7348,98,2919,200,3218,81,2159,173,2410,129,4793,436,5364,204,5955,565,6731,378,7431,656,8472,575,8221,845,9647,648,7075,783,8504,675,3060,404,4133,633,710,254,1603,3740,51830,5056,60620
SOSR222,13,966,81,1060,119,2083,217,2420,35,1021,93,1150,29,715,73,816,37,1528,166,1726,67,1795,186,2050,106,2356,275,2737,219,2744,261,3228,240,2178,227,2638,148,808,87,1043,125,180,36,344,1139,16362,1697,19200,4,883,73,961,43,2109,203,2364,24,906,83,1012,15,662,74,751,40,1582,167,1788,76,1938,225,2236,99,2476,251,2826,188,2731,249,3161,172,1954,214,2340,176,787,90,1052,251,203,45,502,1092,16232,1679,19003,17,1849,155,2021,164,4191,420,4781,60,1924,180,2156,42,1379,143,1563,79,3109,335,3521,136,3730,415,4284,210,4825,530,5565,410,5471,506,6392,407,4132,442,4978,327,1598,177,2095,374,387,84,847,2227,32592,3383,38204
SOSR231,138,9585,861,10584,965,24684,1976,27624,419,12777,987,14188,271,9081,1019,10371,429,14942,2545,17911,476,20463,2955,23893,919,29046,3304,33275,1482,31027,3201,35706,1774,23080,2545,27407,1206,8153,1048,10409,717,1511,276,2499,8786,184352,20726,213864,60,9158,839,10062,457,23947,1914,26317,226,11737,895,12860,197,7896,723,8809,306,15585,1442,17334,489,21614,1995,24097,881,29551,2717,33153,1352,29275,2759,33382,1308,19569,2068,22945,1249,6407,802,8465,1193,1302,273,2766,7722,176031,16434,200186,197,18746,1702,20650,1425,48633,3891,53945,648,24513,1889,27043,464,16975,1738,19177,736,30526,3985,35251,964,42072,4950,47992,1799,58598,6026,66424,2835,60300,5958,69088,3081,42648,4616,50347,2455,14567,1849,18869,1910,2813,549,5266,16515,360385,37154,414055
