SOS_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS20,351,1415,79,75494,7666,1541,527,9139,906,6188,447,2291,759,5083,24260,58804,658,113,404,1010,159,518,100,152,237,718,1604,5668,106268,20853,4261,160124,17565,112645,4975,30411,6382,51649,27174,542311
SOS21,46,97,9,6705,1921,370,108,2412,219,1173,124,416,135,852,5084,12813,172,15,91,203,37,112,24,20,53,180,295,1203,19463,4564,1079,36924,4001,19639,1469,5466,1402,8530,5679,108217
SOS22,3,10,3,457,191,52,17,247,13,130,18,73,15,95,506,1352,12,0,4,23,4,8,3,4,6,20,25,113,1680,489,117,3266,378,1673,155,569,156,801,570,9854
SOS23,25,65,14,4143,1404,267,91,1729,124,656,86,258,80,392,2479,7575,135,24,66,150,29,73,13,15,31,67,116,713,10688,2380,660,17102,1581,7654,681,2221,635,3167,2812,49588
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
