SOS_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SOS20,20906,63768,17734,13958,2820,156978,29440,15712,85040,37828,38722,7027,213777,2710,1338,10981,5063,6196,857,27157,3508,1400,10054,9830,27551,1844,54185,5785,1390,16927,9332,17676,8194,59305,186048,74017,516754,238807,370041,52571,1438235
SOS21,4948,14582,4604,5032,725,33836,3884,3923,16542,11245,15571,2089,53260,207,139,963,864,1708,198,4084,267,192,1023,1862,9009,452,12811,260,172,1163,1242,4931,1833,9605,13755,13202,63130,48412,130498,13667,282664
SOS22,472,1208,448,472,71,3012,217,291,1191,994,1395,202,4292,24,20,116,106,199,29,495,16,15,60,121,897,47,1155,21,14,108,129,515,207,998,1031,1159,4889,4291,12870,1534,25779
SOS23,1786,5096,1877,1922,296,12446,1283,1425,5713,4135,4823,857,18240,97,63,455,378,717,111,1821,93,62,390,592,3579,210,4929,139,95,681,697,2510,919,5038,5717,5481,26465,22227,57489,7512,124885
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
SOS29,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
