SOS_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
SOS20,935,829,566,405,437,241,313,12935,335,13294,25331,12813,1796,807,974,914,307,586,747,741,624,349,3017,62629,3,74,63,166,344,882,2097,1337,270,358,328,467,557,445,473,7865,0,0,6,58,319,901,3198,4108,765,783,809,837,880,778,669,14115,5,111,466,3116,3607,3142,2234,1472,228,248,291,272,246,115,666,16231,36,79,500,2106,5285,8445,8144,7775,1638,1980,2236,2535,3123,2388,1372,47651,38,3686,5742,2910,1089,323,204,126,17,18,11,17,16,4,563,14769,20,3836,3667,988,880,414,678,516,130,111,115,141,131,138,439,12201,178,328,989,3482,8008,9830,17346,12504,4185,4660,3816,3084,2892,1736,2716,75747,0,15,24,133,256,897,2711,4268,1370,2221,2279,2142,2092,1202,521,20143,9,17,69,578,3944,10553,7601,9373,1600,1958,2109,1994,2114,1315,1143,44389,185,1543,1712,951,3607,3067,973,467,99,105,106,115,143,60,355,13491,25,33,178,616,1009,1863,3809,2953,552,689,689,773,993,726,371,15283
SOS21,66,69,36,42,17,3,67,1829,69,1528,1953,862,125,50,63,53,18,18,17,10,23,12,346,5148,0,13,10,15,20,32,118,102,23,27,15,13,19,9,41,462,0,0,0,0,21,28,112,114,26,21,31,28,49,53,58,543,0,7,11,66,53,29,46,27,3,0,3,0,3,3,20,274,7,3,61,141,187,170,249,275,67,68,75,130,143,122,124,1823,0,600,720,329,149,53,42,40,16,12,4,8,6,0,86,2060,0,1904,1722,320,299,87,115,80,11,26,13,11,15,7,183,4795,39,103,254,934,1866,1664,2470,1481,414,450,356,274,237,118,578,11238,0,0,10,6,10,22,127,274,48,122,128,48,57,35,8,889,0,3,9,37,416,825,848,1244,275,315,353,293,345,180,215,5365,0,170,87,59,202,139,52,49,4,7,5,14,3,0,42,836,9,0,21,67,48,48,138,114,9,17,24,12,21,13,19,554
SOS22,4,3,0,0,6,0,3,162,3,85,105,41,0,4,5,3,0,0,0,0,0,0,21,273,0,3,7,3,3,0,9,5,0,0,0,0,4,0,3,40,0,0,0,0,0,3,5,7,0,0,3,3,7,4,0,31,0,0,0,3,9,0,3,0,0,0,0,0,0,0,0,12,0,0,10,8,20,10,7,6,3,0,0,8,0,4,3,84,0,45,49,21,5,0,0,0,0,0,0,0,0,0,11,138,3,210,199,47,42,14,21,8,3,0,0,0,0,0,19,563,4,11,42,153,299,196,178,70,22,22,19,8,12,13,45,1090,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,3,31,56,31,69,12,23,24,15,23,14,17,319,0,6,11,3,18,13,3,0,0,0,0,0,0,0,0,62,0,0,0,7,3,5,10,0,0,0,0,0,0,4,6,43
SOS23,18,19,21,8,10,3,29,658,27,717,971,397,67,15,20,15,6,3,5,13,11,3,161,2427,0,7,6,7,10,22,34,24,7,3,0,3,3,4,14,139,0,0,0,0,0,9,24,15,0,0,0,9,0,3,6,69,0,3,6,37,43,12,20,11,0,0,3,0,0,0,27,158,7,3,31,65,66,31,35,31,8,16,15,26,38,29,58,449,0,255,331,159,63,24,6,11,0,0,3,0,0,0,55,899,0,706,711,207,241,72,120,64,5,16,7,3,7,0,69,2231,7,34,120,464,1013,804,1052,621,115,90,118,73,90,38,321,4972,0,3,0,6,3,11,5,15,0,4,4,0,3,0,5,73,0,3,6,16,74,162,150,226,67,79,69,62,110,74,79,1174,0,42,51,35,71,34,18,14,0,0,0,3,3,3,22,303,0,0,12,31,16,19,32,22,8,7,5,3,0,14,7,167
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,3,14,3,27,0,3,12,4,0,0,0,0,0,0,0,4,10,12,12,58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,6,4,0,3,0,0,0,3,9,9,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,9,11,10,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,3,0,0,0,3,0,0,29,0,0,3,8,20,13,39,23,12,6,13,3,5,17,46,219,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,11,0,0,0,0,3,5,3,6,0,3,3,0,0,5,7,41,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,13
