SOS_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS20,371807,64781,29051,1380,772,467782,424875,76346,39095,831,962,542112,134610,81702,116226,1562,1209,335309,12544,10308,14263,102,94,37315,42433,17296,17496,648,484,78351,1960,1891,3008,28,51,6940,4716,1489,1936,1083,136,9361,3598,1350,1255,89,71,6366,199865,114040,154193,3508,2052,473649,5737,4212,2564,66,108,12684,25568,7631,7174,351,694,41411,1027846,267012,232072,6133,4581,1537642
SOS21,125053,7233,2366,1118,401,136170,129634,4034,937,261,346,135208,47838,11985,5257,215,243,65530,8728,3575,1684,3,36,14024,17967,2367,1003,172,172,21677,1294,830,459,3,14,2595,1999,369,223,441,80,3114,1514,300,156,28,25,2026,79330,19426,8778,860,570,108964,1854,647,243,22,50,2814,9695,1566,768,173,254,12453,345566,32896,13088,2442,1617,395606
SOS22,15398,131,73,319,85,16009,13890,68,32,104,79,14177,2313,88,88,27,18,2532,179,77,101,0,3,354,2182,53,45,59,22,2374,50,49,36,3,4,137,280,18,24,126,12,463,209,9,8,4,10,234,5206,294,298,217,68,6085,181,5,15,22,6,225,1085,43,45,50,39,1261,35767,535,465,710,278,37758
SOS23,61161,142,73,892,455,62722,54173,136,51,277,368,55003,4933,80,135,42,59,5248,88,10,25,0,0,121,8171,49,70,115,104,8511,70,0,7,0,6,85,2580,37,21,285,57,2978,1633,9,16,27,28,1713,17476,186,266,471,257,18658,1398,10,0,26,19,1453,3561,15,20,137,124,3861,137775,480,419,1802,1224,141696
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
