SOS_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SOS20,80,627,2545,4972,1139,489,179,42,16,10095,127415,213291,196848,342762,154342,115556,70583,34049,14540,1269380,53,234,459,2619,390,192,62,5,7,4024,3,25,258,1401,788,766,369,261,32,3897,28,142,609,2205,1320,1010,485,163,50,6009,73,265,293,1493,610,359,168,49,27,3338,21,55,75,1108,709,532,603,165,18,3276,663,2943,17730,26968,7971,6404,3121,1742,610,68151,4,26,110,807,1136,1377,1527,1413,228,6629,49,465,342,1283,752,1166,1223,680,241,6208,527,3273,3470,15316,12660,10894,10694,5840,2166,64847,12,134,369,1825,982,695,322,129,37,4501,38,171,325,1568,492,282,292,109,41,3313,47,203,447,1697,1103,994,2746,1576,485,9297,30,303,371,1163,2220,3659,5654,6281,1677,21352,130,467,1616,3986,1145,1562,682,263,42,9891,1592,4791,11084,54688,6851,4351,2608,1052,321,87340,94,313,1910,3549,629,403,346,148,50,7437,85,807,976,5022,999,500,281,88,27,8775,110,766,1149,3718,1842,896,388,150,39,9073
SOS21,4,66,195,364,147,66,16,4,0,858,32055,61107,55530,96242,49985,49144,37770,19878,7408,409112,3,35,9,124,41,11,3,0,0,233,0,0,10,51,26,16,29,13,0,145,0,9,12,37,17,12,4,0,0,93,13,36,27,165,90,84,45,18,10,475,0,3,12,39,30,21,30,6,0,147,19,72,439,545,175,120,66,25,4,1450,0,0,4,31,91,107,157,157,24,567,0,39,23,71,28,61,72,34,12,348,46,365,415,1616,2274,2584,3458,2119,681,13546,5,22,35,158,71,41,14,20,6,368,0,11,21,71,47,34,34,24,7,249,8,20,33,122,148,289,851,349,130,1957,0,6,3,21,77,114,185,157,38,606,5,18,45,111,27,37,15,10,0,279,72,280,267,2748,324,185,168,67,21,4139,3,13,31,86,28,13,18,16,7,227,5,44,45,120,26,17,8,3,0,264,3,27,64,167,105,26,13,0,3,411
SOS22,0,0,0,0,0,0,0,0,0,0,2516,5680,4393,8000,5448,6108,4799,2081,666,39692,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,4,4,0,0,14,0,0,0,3,3,0,0,0,0,9,0,3,0,20,15,4,6,0,0,48,0,0,0,4,0,8,7,3,0,13,0,3,4,20,3,3,3,0,0,37,0,0,0,4,5,8,16,10,0,48,0,0,0,8,3,7,10,0,0,24,3,33,33,146,322,414,579,272,53,1861,0,0,0,0,0,5,0,0,0,10,0,3,4,14,4,7,3,7,0,32,0,3,9,22,19,48,109,54,14,275,0,0,3,3,4,20,25,5,0,59,0,0,0,6,0,7,4,0,0,11,4,3,4,66,16,6,11,7,0,130,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS23,0,5,4,12,0,0,0,0,0,17,9785,25242,21879,34346,26373,27438,19258,6962,1669,172948,0,0,0,14,3,0,0,0,0,23,0,0,0,14,4,11,8,9,0,38,0,6,0,18,4,3,0,0,0,39,3,14,6,42,46,35,30,5,0,186,0,0,3,13,15,13,7,0,0,59,4,29,49,74,40,26,19,11,3,248,0,0,0,20,41,70,86,56,11,283,0,0,0,11,7,23,31,8,0,91,5,141,171,525,1229,1520,1592,640,147,5966,0,3,6,34,18,19,10,0,0,92,0,3,10,23,14,12,32,10,0,110,0,5,20,63,86,178,401,193,31,978,0,5,3,15,41,84,118,76,20,357,0,5,11,28,12,8,3,0,0,68,10,37,55,439,73,75,54,19,3,763,0,3,12,23,9,3,9,7,3,74,0,0,0,16,6,8,4,0,0,38,0,0,4,38,16,4,0,0,0,63
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,5,0,0,0,0,0,5,172,114,346,1066,386,290,161,45,7,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,7,4,0,0,0,0,12,0,0,0,4,0,0,0,0,0,8,0,0,24,17,3,7,0,0,0,50,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,0,0,13,51,22,15,23,11,0,141,0,0,0,0,0,0,0,0,0,3,0,0,4,11,0,0,0,0,0,17,0,0,8,3,0,3,4,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,3,0,0,0,11,5,3,17,58,0,3,3,0,0,84,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,3,0,0,0,12,3,3,4,4,0,0,0,0,0,15
