SOS_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,..,32250,33116,6994,4813,4779,2845,1147,374,86327,..,9305,24465,22121,22881,33844,39356,35022,20419,207407,4413,7335,7819,3817,3130,3729,3530,2710,1261,37744,366510,269224,338901,296297,274138,221246,159375,93549,37548,2056796,..,12103,251778,363677,332107,268677,193039,93554,20922,1535858,..,25876,114190,64471,44973,24187,8858,1965,391,284909,..,3389,16585,37525,52678,30826,13094,10084,6151,170336,743369,..,..,..,..,..,..,..,..,743369,..,238267,..,..,..,..,..,..,..,238267,..,118438,92532,26891,17474,7708,1215,44,4,264306,..,30461,24548,7419,8291,12960,11024,8604,4936,108242,..,19253,20924,5561,3954,2529,957,318,134,53632,..,65581,77123,18237,11886,10166,6045,2320,708,192058,..,18408,50956,48121,51398,60419,59905,47858,27655,364712,9080,13814,16586,8984,7199,6580,5833,4127,1830,74039,752450,545585,665229,580884,529967,424061,299970,168867,62729,4029740
SOS21,..,3998,2936,915,1385,1582,975,375,100,12272,..,1802,4560,3994,7061,13024,14938,13616,7737,66731,1731,2560,1775,896,1075,1558,1552,911,416,12469,91729,56130,60368,60549,64631,63144,51399,30486,12147,490581,..,2287,43311,65038,68927,71584,59941,29349,6464,346909,..,11038,26017,15923,12580,7744,3381,897,158,77744,..,2250,7774,12774,14096,6503,2745,2148,1399,49683,185029,..,..,..,..,..,..,..,..,185029,..,43976,..,..,..,..,..,..,..,43976,..,31083,12878,4887,3381,1720,318,15,0,54280,..,4224,2272,941,1604,2371,2017,1377,780,15594,..,2989,2107,876,778,497,203,83,37,7571,..,8265,7055,2457,3074,3231,2063,770,196,27118,..,3853,10359,10314,15833,23330,23696,18813,10226,116431,3469,4985,4020,2340,2337,2801,2690,1521,587,24756,188497,114955,115806,115548,122612,119781,97063,54977,19841,949077
SOS22,..,135,157,68,177,205,141,38,14,940,..,88,225,246,643,1267,1365,1098,508,5435,113,217,114,84,139,237,184,104,38,1227,7822,4074,4114,5225,6531,7041,5551,2701,919,43987,..,114,3003,5639,7124,8200,7095,2856,514,34543,..,680,1847,1689,1673,1235,523,88,23,7758,..,108,502,922,1057,540,268,194,144,3741,15917,..,..,..,..,..,..,..,..,15917,..,3708,..,..,..,..,..,..,..,3708,..,2590,1076,473,325,160,38,0,0,4659,..,238,128,56,110,227,202,156,97,1210,..,166,125,73,75,68,19,12,0,534,..,261,353,157,356,420,301,99,28,1966,..,226,634,771,1693,2827,2710,1747,776,11385,249,400,306,207,314,430,359,171,59,2497,16166,8486,7970,9992,12714,14107,11520,5321,1642,87917
SOS23,..,297,367,217,499,625,416,117,26,2565,..,274,583,674,1591,3039,2885,1948,897,11888,467,862,503,319,437,730,613,197,91,4225,33656,19451,15750,22134,30255,29706,19937,7401,2266,180542,..,544,12530,27677,40040,42159,30459,10248,1672,165336,..,2163,6458,6490,7339,5114,2001,352,55,29968,..,283,1115,2294,3174,1828,940,703,492,10830,68204,..,..,..,..,..,..,..,..,68204,..,19608,..,..,..,..,..,..,..,19608,..,13408,5749,2057,1412,672,88,3,0,23397,..,1053,482,253,494,863,916,717,496,5274,..,935,605,323,379,291,174,49,20,2781,..,678,905,543,980,1284,912,276,52,5630,..,775,1739,2340,4905,7584,6801,3696,1462,29304,940,1773,1231,856,1040,1423,1236,410,150,9065,69146,41228,30819,42842,59761,61220,43532,16453,4393,369392
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,154,279,344,173,120,132,83,17,3,1302,154,279,344,173,120,132,83,17,3,1302,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,314,539,839,476,367,299,190,47,14,3080,314,539,839,476,367,299,190,47,14,3080
