SOS_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SOS20,605,2983,22033,36398,11781,8312,3378,2199,836,88530,0,18,103,803,1142,1482,1797,1442,352,7146,57,394,316,1204,767,1185,1239,744,360,6270,506,3064,3274,12997,11336,10522,10511,6670,3255,62124,10,132,352,2272,1113,779,408,197,39,5304,31,144,314,1346,417,264,266,153,84,3014,42,167,550,1908,1076,1058,2933,1554,1004,10287,31,335,381,1039,1929,3776,7497,7211,1801,23992,125,403,1553,4358,1574,1905,744,234,65,10969,1654,4337,6063,45666,6109,4500,2746,1283,518,72881,89,311,2032,4976,899,586,397,151,57,9503,90,753,805,4046,733,489,238,104,27,7301,78,676,1146,3861,1437,804,400,204,56,8658,57,325,223,2682,794,709,689,491,256,6221,41,203,366,1585,2087,5224,8835,9528,4159,32032,71,320,561,2971,856,282,215,81,62,5417,63,435,1362,4383,907,338,130,38,12,7679,42,145,402,2401,1963,1571,819,384,121,7856,276,1184,4281,9824,3497,3666,1983,662,192,25561,0,14,60,306,509,1835,2793,1553,517,7590
SOS21,8,70,307,788,290,135,70,31,6,1712,0,3,3,38,108,104,146,101,41,543,0,45,15,58,19,43,55,26,12,283,47,382,316,1549,2326,2935,3746,2383,1038,14718,4,18,44,176,86,66,25,11,0,429,4,10,18,69,50,50,38,17,6,256,0,16,28,210,177,328,909,378,247,2302,0,4,10,26,38,109,171,162,35,561,0,10,44,132,33,49,18,3,4,290,93,254,218,2384,244,236,146,70,42,3691,10,11,23,206,63,36,33,18,6,401,6,42,30,92,16,8,8,3,0,213,7,17,56,198,50,17,10,6,0,361,4,51,31,215,113,150,160,104,49,871,0,0,15,61,165,408,702,725,378,2451,7,27,17,175,54,21,13,9,6,326,3,12,40,165,21,5,3,0,0,258,0,3,4,29,37,26,12,7,3,119,12,57,84,390,157,160,55,19,3,939,0,4,17,65,72,277,363,140,34,982
SOS22,0,3,0,38,11,3,12,0,0,70,0,0,0,0,6,11,3,8,0,28,0,0,0,6,0,0,3,0,0,8,3,26,23,160,294,499,554,246,85,1887,0,0,0,8,4,4,3,0,0,20,0,0,0,10,7,0,7,0,3,36,0,0,0,25,26,50,85,52,16,251,0,0,0,0,3,9,19,11,3,41,0,4,4,8,0,0,0,0,0,20,0,6,3,68,12,12,7,6,4,123,0,3,4,17,3,3,3,0,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,16,17,21,13,17,0,84,0,0,0,0,10,27,30,22,11,101,0,0,3,6,4,0,4,0,0,23,0,0,3,9,0,3,0,0,0,17,0,0,0,0,3,0,0,0,0,5,0,4,0,18,11,13,3,4,0,57,0,0,0,5,7,16,22,7,0,52
SOS23,3,19,41,104,70,45,25,7,0,311,0,0,0,14,30,62,74,49,11,235,0,0,0,8,0,14,18,3,0,39,9,119,163,637,1290,1720,1564,569,168,6242,0,12,3,43,17,17,3,0,0,94,0,6,14,38,16,9,18,4,0,108,0,9,31,111,129,169,320,118,39,932,0,3,3,3,27,60,73,63,16,249,0,3,11,27,18,16,3,0,0,76,10,27,45,350,58,81,34,12,4,614,0,4,0,52,22,17,13,3,3,109,0,0,0,4,3,4,0,0,0,13,0,0,0,20,3,3,0,0,0,34,0,18,10,75,49,56,60,19,3,287,4,3,4,34,71,233,339,241,71,996,0,9,9,48,23,15,7,0,0,104,0,3,3,19,6,4,0,0,0,41,0,0,3,17,14,15,3,3,0,56,0,4,18,74,55,41,22,8,0,235,0,0,0,21,27,130,146,32,5,359
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,4,43,31,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,24,32,16,18,16,3,0,116,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,0,3,3,3,0,6,0,0,19,0,0,0,0,3,0,0,3,0,3,0,0,5,11,0,0,0,0,0,18,3,0,12,30,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,0,0,12,0,0,3,4,0,0,0,0,0,9,0,0,6,7,3,0,8,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,8,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4
