SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED21106,6096,11931,56,279,869,3836,63,259,4297,16383,5283,20757,490,1971,1113,3872,968,3024,2573,8872,7857,29624,13,46,152,503,15,56,643,1559,830,2167,93,276,359,796,660,1365,1115,2439,1943,4608,242,501,16141,46667
SED21203,4135,8423,311,1863,1107,5764,336,1679,4360,18208,6116,27517,596,2736,606,2193,1842,6314,3048,11239,9161,38760,96,481,266,1075,146,554,1064,3193,1570,5302,207,731,297,723,1676,3858,2181,5314,3750,10614,387,849,17439,58646
SED21303,7527,14859,50,271,456,2049,60,289,3963,14539,4534,17141,294,1228,545,1877,1011,3275,1847,6371,6377,23519,19,76,99,341,15,58,618,1485,748,1964,65,194,269,589,932,2013,1272,2796,2023,4761,563,1184,16488,44318
SED21401,6588,13160,57,302,744,3336,100,432,3775,14383,4681,18455,625,2608,1076,3778,2000,6349,3700,12736,8377,31190,18,83,147,479,30,100,584,1489,783,2148,123,380,347,803,1028,2243,1501,3425,2279,5569,283,610,17529,50533
SED21503,5515,11049,89,497,715,3243,145,653,3975,15203,4918,19603,494,2051,691,2469,1590,5118,2779,9642,7702,29243,19,96,138,466,57,197,682,1798,895,2552,124,390,280,672,1068,2325,1468,3382,2366,5935,334,710,15917,46942
SED21608,6006,11896,97,573,648,3053,189,850,3492,13931,4425,18411,355,1487,510,1698,1188,3724,2055,6915,6479,25321,42,173,164,597,103,386,1037,2810,1346,3971,91,283,262,564,821,1735,1176,2581,2516,6555,218,437,15217,44210
SED21706,5275,10496,65,344,901,3996,75,321,4589,17656,5620,22315,475,1984,1129,3986,1276,3958,2879,9935,8503,32249,28,123,169,552,41,130,624,1523,859,2333,145,455,420,978,908,1923,1476,3356,2333,5694,365,780,16470,49225
SED21805,6236,12405,112,626,658,3053,215,959,4713,17794,5691,22436,401,1647,581,1937,1535,4932,2514,8516,8203,30949,40,176,216,748,106,375,1195,3047,1556,4346,186,583,376,843,1243,2676,1803,4101,3362,8440,282,589,18084,52393
SED21906,6681,13243,83,546,712,3445,49,222,4340,16825,5188,21035,373,1521,832,2897,926,2877,2129,7298,7315,28335,15,59,100,314,13,46,562,1367,687,1788,96,277,314,717,615,1260,1023,2250,1708,4034,342,709,16052,46313
SED22005,6244,12722,93,525,685,3135,132,611,4958,18731,5867,23010,543,2312,817,2882,1938,6278,3299,11471,9169,34476,25,120,183,662,79,280,812,2142,1105,3212,168,549,377,862,1395,3137,1941,4555,3043,7760,510,1122,18969,56089
SED22105,7023,14278,268,1575,1277,6183,365,1709,9309,36113,11213,45580,609,2623,805,2805,1791,5899,3205,11325,14423,56899,78,381,310,1219,157,604,1625,4502,2165,6708,204,678,335,766,1289,2891,1828,4334,3997,11042,356,761,25796,82984
SED22201,5625,11204,110,599,676,3167,132,616,3980,15432,4894,19820,461,1947,644,2298,1426,4586,2532,8830,7429,28648,24,129,181,622,64,204,867,2213,1141,3166,168,525,331,750,1035,2211,1533,3481,2667,6650,227,478,15953,46981
SED22305,5526,11205,183,1144,876,4444,214,1021,4834,18789,6105,25394,480,2096,620,2200,1645,5350,2739,9650,8846,35046,71,356,244,944,134,471,1121,3097,1561,4863,174,591,324,760,1472,3296,1963,4642,3525,9506,492,1063,18386,56820
SED22404,6550,12956,103,570,619,2890,191,891,3190,12582,4099,16930,340,1400,508,1651,1374,4258,2221,7303,6324,24230,34,140,164,571,72,245,839,2254,1113,3205,102,323,220,472,803,1710,1129,2507,2239,5709,128,267,15239,43162
SED22501,5512,10929,98,527,812,3686,135,610,4330,16831,5375,21656,710,2985,899,3247,1889,6080,3501,12313,8878,33964,17,92,145,474,38,145,619,1581,827,2295,146,455,277,627,841,1782,1268,2866,2091,5158,166,337,16649,50383
SED22607,6083,12041,57,329,803,3653,83,378,4298,16326,5239,20686,461,1925,839,3016,1239,3960,2537,8897,7779,29585,20,98,133,484,33,126,741,1921,928,2621,92,300,324,719,906,1957,1321,2977,2245,5603,517,1086,16629,48311
SED22704,7682,15139,101,569,656,3072,194,863,3162,12587,4114,17091,291,1214,523,1727,1352,4216,2167,7158,6282,24247,32,150,187,675,93,327,1038,2842,1353,3992,101,320,272,574,977,2042,1349,2931,2698,6923,206,430,16867,46737
SED22802,5558,11067,140,784,750,3521,203,893,3821,14999,4905,20197,580,2440,601,2110,1669,5424,2844,9976,7754,30170,25,128,177,601,78,283,732,1972,1015,2987,151,486,297,677,924,2002,1368,3170,2384,6152,191,397,15886,47786
SED22901,5568,11160,102,549,696,3135,135,592,3603,13869,4535,18149,589,2510,867,3085,1833,5933,3289,11528,7827,29679,18,97,154,539,68,226,691,1846,928,2713,152,499,292,676,1009,2234,1456,3417,2379,6129,199,417,15973,47385
SED23007,7060,14250,117,715,673,3192,154,767,4887,18249,5831,22917,407,1773,661,2332,1514,4986,2581,9100,8414,32015,59,321,245,947,90,327,1138,3093,1532,4677,192,650,405,985,1426,3217,2027,4852,3557,9531,724,1571,19755,57364
SED23101,5578,11147,67,361,853,3849,95,403,4160,15880,5174,20487,524,2152,1048,3719,1584,4963,3156,10835,8325,31324,25,120,161,532,41,146,524,1391,754,2178,135,424,352,840,977,2086,1460,3353,2214,5533,247,535,16358,48541
SED23205,5720,11335,85,451,540,2444,173,786,3339,12820,4140,16511,322,1342,505,1707,1279,4064,2118,7112,6249,23621,41,196,237,844,114,383,1276,3374,1670,4790,186,572,361,811,1409,3001,1956,4388,3623,9179,306,633,15902,44766
SED23308,6303,12441,64,339,535,2414,92,413,3684,14155,4375,17327,335,1362,588,1981,967,2985,1891,6327,6267,23650,34,147,204,690,80,260,1006,2552,1325,3650,131,425,385,806,1064,2234,1579,3463,2907,7113,295,604,15776,43811
SED23402,6226,12443,158,876,949,4431,202,921,4966,19534,6278,25773,639,2749,841,2937,1634,5221,3112,10909,9393,36676,37,188,230,811,86,319,1058,2872,1416,4190,140,453,276,655,890,1925,1310,3034,2732,7227,185,377,18535,56730
SED23502,7837,15422,89,479,536,2492,137,618,2899,11531,3662,15121,235,963,406,1294,1061,3241,1702,5492,5363,20618,24,116,192,675,60,220,928,2527,1204,3530,82,246,205,443,744,1549,1031,2239,2233,5773,175,361,15608,42172
SED23602,6792,13368,81,448,632,2929,150,662,3051,12188,3920,16233,232,953,483,1520,962,2966,1678,5445,5595,21680,26,101,156,553,64,228,799,2196,1048,3075,62,186,248,541,680,1425,988,2149,2038,5227,158,323,14588,40600
SED23702,6505,12938,166,915,734,3393,292,1324,4183,16389,5382,22021,584,2435,615,2085,1947,6316,3139,10837,8522,32858,41,191,211,735,109,377,1177,3150,1548,4459,176,545,312,700,1177,2547,1664,3792,3208,8250,227,483,18468,54524
SED23806,6546,12887,51,283,847,3840,51,212,4184,16046,5133,20382,432,1772,1123,4004,954,2921,2515,8697,7642,29074,8,52,120,387,17,46,473,1176,618,1658,97,294,329,741,589,1215,1014,2245,1633,3903,443,922,16272,46791
SED23901,5816,11538,71,415,720,3315,85,365,4507,17306,5379,21402,475,1955,953,3372,1371,4304,2797,9627,8176,31031,21,97,165,542,59,212,727,1837,966,2688,128,393,359,780,1072,2300,1557,3476,2525,6169,366,769,16883,49501
SED24006,5138,10177,74,404,1139,5105,70,295,3950,15292,5233,21095,705,2942,1472,5204,1377,4276,3550,12427,8788,33525,12,40,237,803,26,82,618,1582,895,2503,130,391,453,1060,757,1621,1341,3076,2234,5579,328,695,16484,49976
SED24105,5424,11058,160,927,983,4650,205,964,4803,18723,6157,25258,639,2744,953,3394,1968,6533,3561,12671,9713,37933,58,291,239,918,83,312,1028,2912,1407,4431,174,599,384,931,1231,2797,1789,4330,3201,8762,365,811,18701,58561
SED24207,5302,10796,244,1465,1224,5879,323,1498,6607,26047,8396,34887,683,3017,873,3125,2058,6821,3608,12962,12007,47855,77,376,391,1539,121,465,1440,4219,2035,6599,215,763,373,906,1293,3000,1884,4667,3918,11268,353,779,21579,70698
SED24308,5754,11471,116,683,646,3060,174,840,3470,13456,4415,18033,394,1659,538,1830,1537,4895,2469,8383,6881,26418,54,267,276,1061,145,530,1492,4059,1965,5915,160,544,323,723,1316,2895,1797,4157,3767,10071,285,603,16685,48561
SED24408,6968,13712,96,540,591,2724,139,579,3033,12145,3863,15987,261,1037,481,1483,977,2971,1713,5483,5576,21469,19,96,157,557,60,217,820,2242,1057,3109,57,164,200,426,711,1464,964,2055,2018,5167,176,352,14739,40699
SED24504,6326,12488,126,668,729,3292,165,747,3882,15380,4903,20083,359,1483,641,2134,1287,4029,2282,7650,7191,27729,28,150,162,550,56,192,612,1636,856,2533,98,297,230,490,701,1457,1026,2248,1880,4776,123,250,15520,45250
SED24606,5963,11708,48,254,795,3572,47,211,3626,13916,4523,17950,442,1781,974,3469,909,2795,2331,8043,6845,25995,11,36,120,393,12,50,483,1195,623,1678,83,273,288,677,636,1339,1015,2281,1637,3957,367,773,14809,42429
SED24703,11357,22288,22,113,312,1506,35,156,3470,12069,3842,13848,147,592,470,1528,510,1540,1122,3657,4963,17502,11,66,129,468,30,113,744,1845,924,2492,83,260,466,1021,682,1449,1227,2731,2151,5225,1721,3597,20189,48609
SED24808,6470,12998,210,1256,857,4218,306,1466,5393,21343,6764,28281,464,1957,581,1981,1793,5855,2839,9795,9604,38079,84,431,307,1191,168,643,1824,5339,2389,7614,199,671,316,734,1438,3177,1956,4582,4344,12200,290,600,20708,63873
SED24904,6750,13393,128,732,744,3479,198,896,3296,13209,4369,18314,297,1214,543,1726,1103,3423,1942,6360,6310,24678,50,233,207,753,87,300,1203,3387,1547,4676,97,304,240,520,881,1880,1210,2698,2762,7372,223,473,16048,45914
SED25003,5011,10125,170,946,995,4610,267,1187,5201,20168,6637,26908,789,3348,855,3103,2233,7420,3874,13872,10512,40777,46,196,179,632,101,383,963,2646,1288,3854,200,635,272,632,1105,2533,1582,3800,2867,7652,255,550,18645,59103
SED25102,5604,11109,122,633,782,3642,161,718,3859,15190,4915,20183,533,2253,700,2419,1692,5391,2922,10064,7841,30242,37,166,144,493,62,219,691,1811,931,2679,115,366,266,595,881,1884,1262,2842,2190,5522,168,351,15805,47220
SED25205,5682,11301,88,468,783,3460,127,549,4798,18384,5792,22850,506,2099,799,2795,1382,4417,2686,9311,8474,32164,10,55,164,536,39,131,745,1863,966,2582,143,453,334,749,1027,2178,1504,3380,2468,5965,239,503,16872,49929
SED25302,6687,13166,109,555,859,3896,158,692,4130,16364,5255,21504,471,1861,774,2614,1282,4058,2520,8536,7780,30042,25,97,164,546,63,202,779,1973,1026,2821,95,295,272,601,784,1650,1149,2540,2178,5362,123,257,16765,48831
SED25402,6755,13346,100,550,608,2809,149,674,3446,13593,4311,17625,318,1283,559,1838,1325,4103,2207,7222,6515,24847,43,190,233,873,128,459,1398,3795,1802,5317,121,384,297,642,948,1961,1369,2988,3173,8299,208,436,16650,46933
SED25501,5503,10966,74,377,1024,4501,87,390,4242,16087,5426,21361,614,2538,1388,4879,1533,4820,3537,12235,8965,33595,12,68,207,698,39,134,575,1502,839,2399,130,405,491,1150,817,1757,1432,3304,2271,5705,321,700,17056,50957
SED25605,5879,11866,95,544,743,3396,130,603,3982,15215,4944,19752,542,2307,906,3142,1866,6050,3317,11498,8260,31254,24,117,178,627,63,224,726,1959,999,2928,154,494,316,751,1149,2525,1614,3778,2609,6710,356,776,17112,50607
SED25704,7255,14360,128,701,762,3611,177,805,3181,12902,4250,18022,282,1139,535,1719,1209,3732,2020,6592,6272,24610,30,111,183,701,74,259,949,2604,1228,3672,88,265,203,434,759,1615,1046,2312,2279,5985,195,410,16006,45364
SED25802,7421,14729,147,871,773,3680,207,907,3644,14731,4773,20186,399,1686,609,2035,1428,4527,2435,8250,7205,28429,55,249,187,656,92,309,1114,3032,1439,4254,131,421,279,611,928,1945,1332,2979,2776,7232,195,394,17590,50786
SED25905,5277,10638,222,1349,987,4757,244,1141,4339,17090,5793,24333,724,3131,946,3376,2111,6975,3786,13479,9573,37817,64,319,197,735,85,314,832,2280,1172,3656,186,627,296,681,1141,2524,1627,3833,2800,7487,239,516,17893,56457
SED26005,4852,9750,333,2017,1590,7795,367,1735,6890,27523,9176,39068,855,3720,1133,4029,1978,6568,3967,14320,13148,53386,67,343,317,1162,134,498,1095,3090,1609,5091,206,684,351,857,1070,2472,1629,4014,3237,9105,249,551,21483,72790
SED26102,7853,15544,61,333,511,2355,123,556,2834,11013,3536,14261,253,1007,440,1472,1160,3560,1854,6037,5391,20299,22,94,169,549,71,231,905,2371,1159,3245,97,293,248,539,952,1963,1295,2795,2457,6040,164,341,15868,42217
SED26207,5718,11412,98,551,751,3377,127,581,3851,14873,4830,19389,553,2375,830,2983,1828,5898,3211,11254,8040,30644,18,63,163,536,41,142,641,1668,859,2414,151,475,290,679,1219,2684,1661,3835,2517,6246,291,611,16576,48911
SED26303,6107,12052,48,249,621,2763,68,284,4380,16389,5110,19683,328,1367,642,2287,959,3044,1921,6697,7035,26381,12,52,107,332,23,83,662,1593,806,2065,85,257,277,630,877,1894,1240,2784,2040,4846,395,813,15571,44099
SED26406,6393,12757,60,299,611,2735,78,338,4848,17839,5599,21211,389,1647,791,2787,1142,3594,2322,8025,7922,29234,10,49,107,355,43,148,576,1430,733,1984,94,310,298,682,974,2118,1365,3113,2100,5100,518,1103,16935,48190
SED26504,6963,13757,100,558,562,2586,155,705,2979,11867,3796,15704,239,978,438,1370,996,3052,1672,5405,5471,21111,30,144,156,565,75,268,966,2589,1232,3563,75,230,179,385,714,1495,965,2112,2196,5676,178,366,14809,40908
SED26603,6835,13677,120,714,700,3294,154,677,5338,20000,6316,24689,479,2023,642,2259,1467,4776,2581,9062,8902,33752,22,104,171,606,64,229,827,2118,1087,3059,145,481,290,685,1338,2909,1782,4069,2863,7131,494,1052,19093,55614
SED26708,6747,13300,124,676,724,3421,159,722,3496,14204,4500,19024,312,1276,503,1637,1134,3518,1954,6430,6455,25453,35,145,139,517,66,227,784,2182,1018,3061,78,249,199,419,811,1669,1090,2340,2114,5403,201,423,15514,44579
SED26806,9796,19091,20,84,257,1153,36,164,2638,9172,2951,10571,135,541,421,1362,471,1424,1020,3323,3970,13898,3,13,80,270,22,68,546,1267,649,1620,68,201,317,678,636,1302,1020,2175,1668,3794,644,1323,16077,38105
SED26903,5996,12047,82,448,564,2627,138,624,4445,16678,5219,20379,327,1375,503,1798,1271,4172,2105,7349,7325,27723,32,154,139,478,85,290,935,2424,1184,3346,136,453,326,723,1383,3052,1841,4229,3028,7576,529,1128,16884,48472
SED27003,8863,17333,12,70,317,1416,52,211,3173,11497,3551,13199,159,639,424,1413,606,1912,1189,3961,4739,17159,19,90,141,513,28,110,789,2069,978,2783,86,268,344,766,836,1778,1270,2804,2251,5588,579,1210,16431,41285
SED27101,6014,11962,80,473,710,3275,89,396,4823,18301,5706,22448,415,1704,682,2398,1166,3702,2262,7807,7974,30253,23,98,154,528,43,145,712,1792,931,2566,130,420,357,812,1053,2251,1542,3492,2471,6059,319,676,16777,48951
SED27208,7557,14951,114,665,627,2934,170,758,3056,12215,3968,16571,252,1015,456,1463,1143,3525,1847,6013,5816,22577,27,114,147,522,80,298,949,2631,1200,3565,79,245,235,524,885,1864,1199,2630,2394,6200,197,401,15969,44130
SED27305,4503,9029,149,795,985,4500,173,778,3863,14972,5168,21039,762,3222,1038,3671,1947,6376,3752,13268,8920,34309,23,102,146,479,54,193,512,1353,738,2127,168,519,253,600,743,1668,1158,2784,1892,4913,183,386,15502,48643
SED27406,5858,11522,72,345,811,3661,77,321,4149,15921,5108,20255,485,1994,981,3424,1159,3607,2626,9027,7731,29283,5,22,134,416,39,117,577,1383,748,1934,88,261,317,727,821,1695,1230,2686,1975,4618,206,431,15775,45857
SED27504,6872,13620,175,1002,865,4212,192,919,3869,15446,5107,21569,353,1473,572,1878,1297,4089,2218,7438,7322,29011,52,240,273,991,103,359,1293,3601,1713,5193,116,384,302,653,966,2089,1387,3117,3100,8313,223,461,17519,51409
SED27608,6973,13769,110,592,926,4218,142,625,5133,20161,6313,25590,465,1921,848,2867,1256,3853,2570,8632,8878,34224,20,100,171,599,50,163,797,2136,1042,2996,121,367,294,657,737,1532,1142,2552,2186,5552,205,427,18246,53973
SED27708,6841,13559,127,695,671,3051,162,725,3500,14002,4453,18467,358,1466,531,1703,1164,3625,2049,6788,6499,25263,35,155,184,657,83,285,1013,2709,1316,3807,96,302,274,578,819,1760,1188,2641,2501,6444,211,435,16053,45698
SED27807,5791,11843,154,886,731,3582,207,975,4109,15920,5195,21360,567,2518,659,2366,2033,6751,3263,11640,8461,33002,79,400,340,1324,146,565,1381,3889,1939,6178,247,866,392,941,1767,4077,2407,5881,4348,12060,577,1287,19175,58192
SED27907,5572,11130,132,753,681,3164,194,879,3837,14872,4847,19673,539,2314,633,2215,1789,5778,2961,10309,7805,29985,30,126,193,683,89,311,979,2607,1294,3723,165,525,292,647,1206,2658,1662,3831,2954,7554,244,505,16572,49174
SED28007,4889,9907,227,1285,1347,6224,316,1469,6078,23917,7968,32886,899,3887,1092,3970,2284,7638,4278,15492,12242,48380,45,210,237,894,95,349,900,2475,1285,3923,224,732,317,759,1001,2290,1538,3776,2817,7703,263,583,20213,66570
SED28107,6615,13488,248,1558,1280,6406,275,1290,9668,37170,11472,46427,668,2887,923,3194,1785,5876,3377,11954,14847,58380,77,436,283,1187,115,459,1445,4167,1925,6256,189,647,327,755,1096,2518,1615,3926,3541,10181,315,690,25308,82731
SED28203,5890,11932,174,1026,754,3742,221,1064,4988,19307,6139,25144,490,2164,547,1996,2125,7017,3169,11183,9306,36323,41,190,206,782,130,471,1004,2808,1375,4249,169,579,252,606,1476,3318,1898,4503,3276,8755,374,804,18840,57816
SED28301,5428,10781,98,536,1049,4767,120,510,4069,15880,5339,21690,785,3284,1230,4390,1869,6015,3874,13689,9213,35376,17,80,129,440,30,106,525,1352,696,1976,120,365,315,765,829,1788,1259,2916,1961,4896,203,428,16798,51476
SED28408,5564,10996,82,474,641,2943,108,507,3208,12537,4043,16455,303,1258,523,1684,881,2783,1706,5730,5753,22188,32,151,214,771,97,344,1138,3064,1485,4341,136,434,294,651,891,1871,1322,2947,2801,7289,216,451,14335,40921
SED28507,5643,11319,163,944,807,3905,244,1167,5161,19919,6376,25938,464,2007,605,2118,1643,5373,2717,9495,9093,35433,78,391,288,1082,127,470,1404,3960,1900,5906,154,508,321,746,1257,2820,1739,4073,3640,9977,267,560,18641,57291
SED28607,6704,13294,95,549,714,3260,105,475,5663,21329,6576,25612,424,1798,789,2739,1214,3874,2427,8408,9003,34018,13,70,175,554,53,189,824,2112,1064,2922,133,414,329,746,1143,2498,1600,3655,2667,6582,403,860,18772,54749
SED28704,6211,12375,179,962,1146,5358,305,1389,7026,27445,8656,35162,686,2902,825,2920,1866,6031,3370,11859,12032,47018,54,245,242,852,121,424,1362,3781,1777,5308,164,511,323,744,1007,2231,1496,3490,3276,8798,194,409,21713,68591
SED28803,5422,11022,364,2167,1462,7309,370,1803,7626,30375,9820,41652,962,4313,1013,3639,2296,7839,4272,15785,14089,57438,79,364,303,1165,149,572,1232,3545,1759,5647,251,837,307,726,1176,2750,1736,4324,3492,9965,282,622,23294,79050
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
