SA3_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
20101,38,1374,592,250,1499,0.8,1171,2.4
20102,47,1387,561,230,1405,0.8,1120,2.4
20103,49,1083,464,190,1097,0.8,838,2.3
20201,38,1387,609,250,1451,0.8,1176,2.4
20202,46,1439,590,260,1479,0.8,1185,2.4
20203,49,1000,487,140,1231,0.8,937,2.3
20301,40,1650,646,260,1671,0.8,1480,2.8
20302,39,1517,595,280,1573,0.8,1234,2.4
20303,44,1733,662,330,1702,0.7,1377,2.5
20401,46,1300,570,230,1386,0.8,1095,2.3
20402,46,1300,578,200,1347,0.7,1045,2.3
20403,42,1387,636,240,1483,0.8,1205,2.4
20501,42,1465,585,250,1463,0.8,1198,2.5
20502,50,1291,505,220,1190,0.7,934,2.2
20503,48,1300,519,231,1243,0.7,970,2.3
20504,41,1200,544,200,1414,0.8,1077,2.3
20505,43,1300,563,210,1412,0.7,1103,2.3
20601,34,2000,763,380,2100,1,1655,2.4
20602,36,2058,834,365,2284,1,1726,2.4
20603,35,2167,818,341,2281,0.9,1701,2.4
20604,28,2000,642,450,2062,1.1,1354,2
20605,36,2167,1087,400,2559,1,1842,2
20606,34,2167,1111,401,2637,1,1913,2
20607,33,2167,1037,421,2508,1,1958,2.1
20701,38,2500,869,406,2652,0.9,2083,2.6
20702,43,2000,604,417,1781,0.8,1542,2.7
20703,37,2000,595,381,1929,0.9,1471,2.6
20801,44,2500,897,450,2765,0.8,2145,2.6
20802,37,2117,776,390,2238,0.9,1738,2.5
20803,40,2000,749,356,2048,0.8,1581,2.5
20804,36,2500,909,381,2750,0.9,2011,2.5
20901,39,1950,728,350,2033,0.8,1655,2.6
20902,36,1800,556,326,1542,0.9,1287,2.5
20903,41,2000,776,360,2268,0.8,2051,2.9
20904,34,1778,601,330,1586,0.9,1457,3
21001,42,2000,655,360,1870,0.8,1541,2.7
21002,41,1842,728,321,2029,0.8,1776,2.8
21003,35,1800,584,340,1584,0.9,1345,2.6
21004,37,1600,695,315,1833,0.8,1567,2.7
21005,32,1681,491,320,1399,1,1331,3.2
21101,39,1733,664,351,1820,0.8,1561,2.7
21102,43,2167,735,391,2363,0.8,2083,3
21103,38,1800,696,340,1895,0.8,1543,2.6
21104,40,2000,658,366,1900,0.8,1571,2.6
21105,40,1733,667,325,1768,0.8,1501,2.7
21201,34,1733,679,320,1701,0.8,1497,2.8
21202,36,1712,611,331,1668,0.9,1516,3
21203,32,1749,661,341,1647,0.9,1581,3.2
21204,35,1625,486,305,1314,1,1206,2.9
21205,37,2000,564,391,1798,0.9,1503,2.8
21301,35,1560,482,300,1341,0.9,1252,3
21302,39,1950,721,333,1974,0.9,1597,2.6
21303,33,2000,703,330,1913,1,1551,2.5
21304,33,1700,656,300,1686,0.9,1527,3
21305,32,1733,680,320,1702,0.9,1608,3.1
21401,38,1621,660,306,1649,0.8,1331,2.5
21402,46,1733,630,310,1621,0.8,1276,2.4
21501,46,1000,556,175,1301,0.7,993,2.2
21502,40,1200,555,210,1340,0.8,1064,2.4
21503,45,1029,531,167,1265,0.8,983,2.3
21601,45,1300,562,200,1350,0.8,1083,2.4
21602,47,1235,524,200,1283,0.8,1014,2.4
21603,39,1300,588,220,1416,0.8,1162,2.5
21701,47,1083,556,180,1367,0.7,1043,2.3
21703,45,1200,562,200,1339,0.8,1051,2.3
21704,41,1400,618,240,1493,0.8,1194,2.4
29797,49,0,3000,0,0,0,0,0
29999,34,0,398,0,0,0,0,0
