RA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
RA20,13,143,397,1995,934,1042,696,370,190,5792,33,361,939,2389,589,372,171,103,50,5010,25,167,872,2638,117,83,22,11,3,3937,17,151,145,703,475,1055,1986,1307,708,6549,700,4049,5534,15998,6077,4350,1948,715,294,39662,5,34,66,453,388,442,513,302,116,2312,306,1023,914,4255,477,306,139,34,13,7463,5,30,70,486,333,150,38,21,3,1144,223,1399,2681,11625,5262,3974,1742,441,179,27536,0,42,108,1782,872,1752,1356,977,1102,8000,39,247,354,1813,1627,2065,2213,1492,612,10453,145,866,1788,2967,1108,924,496,135,46,8463,91,618,1458,4389,2444,1609,1122,502,194,12423,0,0,28,415,713,927,785,649,227,3747,222,1488,2103,11009,4295,3304,2166,1003,478,26069,51,112,581,3145,460,511,194,26,11,5097,142,771,1338,5370,1104,482,160,31,10,9414,7,47,180,1698,1737,2183,1795,911,211,8779,33,108,282,2120,2299,1226,813,369,95,7339,264,1072,1180,3398,1241,845,535,114,60,8715
RA21,0,8,7,62,51,40,26,6,3,199,0,13,45,146,43,21,13,12,3,300,3,16,34,96,6,0,0,0,0,154,0,24,25,146,174,578,1098,539,237,2817,42,316,449,1676,1226,1150,647,213,68,5794,0,3,8,43,82,98,134,75,30,467,10,45,45,116,13,12,9,0,3,248,0,8,14,118,71,39,19,3,0,274,25,175,185,1161,523,471,229,44,5,2809,0,6,3,86,33,82,74,50,81,416,0,30,36,193,325,559,751,359,138,2400,3,17,34,100,57,44,13,8,3,275,4,77,132,406,226,170,120,41,16,1200,0,0,0,7,43,49,82,52,28,261,9,42,37,273,93,61,67,18,14,612,0,8,86,412,11,10,3,0,0,536,30,126,141,390,155,54,12,4,0,923,0,0,0,19,28,32,38,21,5,139,0,0,10,62,47,30,22,4,3,180,27,103,91,340,201,232,182,29,12,1213
RA22,0,6,0,15,6,4,8,3,0,39,0,5,10,34,7,9,0,0,0,65,0,0,6,21,0,0,0,0,0,28,0,0,3,22,18,110,173,86,26,442,16,64,93,341,252,221,138,61,8,1191,0,0,0,6,8,18,15,11,4,58,3,18,5,20,3,0,4,0,0,43,0,3,0,12,20,15,8,4,0,66,12,65,46,306,130,127,47,18,3,745,0,0,0,6,3,10,16,7,4,57,3,0,6,26,51,89,118,78,28,401,0,8,3,13,5,9,0,0,0,37,0,13,43,87,47,35,21,9,4,249,0,0,0,4,8,14,25,12,6,72,3,8,6,45,14,14,11,4,3,99,0,0,36,140,5,0,0,0,0,187,6,17,17,75,32,26,6,3,0,185,0,0,0,0,0,3,0,0,0,12,0,3,12,42,48,29,14,8,0,155,0,12,9,63,43,49,48,14,0,232
RA23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,0,0,0,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,4,5,0,0,12,3,5,9,46,13,14,4,0,0,99,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,3,17,0,3,3,0,0,24,0,0,0,6,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,15,0,0,8,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,6,0,0,12,23,4,0,0,0,0,40,0,0,3,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,0,0,19
