SOSR_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SOSR201,2174,51,53799,3348,23691,1731,110,25532,10,28883,72,3040,3486,20,6548,3,6622,23,140,22,81,241,0,264,3442,26871,5236,210,32318,13,35768,52,24,3,0,24,59,133,55068,29022,5274,225,34519,121,89703,28209,1051,18,8,1076,19,29308,1796,16480,1264,49,17795,16,19608,34,2314,2784,12,5106,3,5142,19,75,17,43,130,3,152,1844,18865,4062,105,23041,20,24901,26,10,0,0,12,25,68,30084,19934,4084,117,24132,68,54280,14453,529,5,3,543,18,15012,969,8556,683,28,9270,5,10242,24,1248,1643,0,2895,0,2915,11,42,8,31,91,0,101,998,9847,2336,65,12253,9,13255,19,10,0,0,6,9,39,15472,10382,2345,74,12801,32,28315,412871,21494,299,250,22042,508,435423,33102,229498,12824,1127,243442,180,276724,587,25827,22377,205,48410,30,49022,280,1226,161,644,2030,14,2318,33965,256549,35360,1972,293877,218,328067,517,290,29,25,345,732,1587,447348,278336,35690,2242,316269,1463,765078
SOSR203,47,8,2480,83,266,17,0,284,0,366,4,32,69,0,103,0,110,0,0,0,5,5,0,6,92,297,85,5,386,0,481,3,0,0,0,0,0,3,2528,342,85,5,433,8,2964,1085,21,0,0,21,3,1106,45,162,6,0,171,0,214,0,11,39,0,50,0,55,0,0,0,0,3,0,3,46,176,44,0,223,0,270,3,0,0,0,0,0,3,1131,193,44,0,245,3,1378,478,9,0,0,9,0,491,21,73,7,0,76,0,95,0,13,25,0,33,0,33,0,0,0,0,0,0,0,19,78,30,0,113,0,132,0,0,0,0,0,0,0,501,89,30,0,121,0,621,19939,478,3,3,487,21,20443,669,2530,104,4,2641,6,3319,16,288,395,7,693,0,709,5,12,0,11,23,0,25,692,2828,503,29,3360,12,4054,26,0,0,3,4,37,67,20656,3308,505,30,3847,63,24566
SOSR211,84,3,4670,128,375,41,0,415,0,543,4,41,63,0,107,0,112,0,4,0,3,10,0,10,133,419,104,8,528,0,655,3,0,0,0,0,4,9,4718,497,101,6,610,12,5333,1502,14,0,0,16,3,1522,39,170,17,0,180,0,225,4,17,47,0,68,0,71,0,0,0,0,0,0,0,41,186,62,3,248,0,292,3,0,0,0,0,3,4,1551,201,64,5,268,6,1821,513,8,0,0,8,0,518,12,64,9,0,68,0,85,0,11,8,0,21,0,21,0,0,0,0,0,0,0,12,76,15,0,93,0,101,0,0,0,0,0,0,0,526,81,15,0,98,0,624,37148,744,10,6,757,52,37957,1099,4142,214,21,4381,4,5485,35,421,501,0,922,0,962,5,30,3,24,58,0,64,1138,4593,725,46,5366,4,6512,52,7,4,0,15,66,139,38339,5348,732,60,6135,126,44602
SOSR212,92,6,3203,78,272,31,4,311,0,385,0,73,95,0,166,0,163,0,0,0,0,0,0,0,76,346,124,4,476,0,551,3,0,0,0,0,4,6,3188,437,126,4,568,4,3766,991,28,0,0,28,0,1017,27,86,10,0,100,0,123,0,26,44,0,72,0,74,0,0,0,0,0,0,0,25,113,57,0,170,0,195,4,0,0,0,0,0,3,1019,144,55,0,197,0,1219,312,10,0,0,10,0,317,8,29,9,0,42,0,49,0,13,18,0,33,0,33,0,0,0,0,0,0,0,8,42,26,0,68,0,80,0,0,0,0,0,0,0,316,54,26,0,76,0,397,22315,541,3,0,542,41,22896,697,2634,270,24,2934,3,3629,21,498,532,3,1036,0,1056,4,8,3,5,24,0,21,716,3145,809,37,3991,4,4708,17,0,10,0,11,56,81,23048,3685,819,35,4546,104,27693
SOSR213,89,7,4761,93,168,8,0,179,0,275,7,19,18,0,38,0,40,0,0,0,0,0,0,0,97,186,27,4,213,0,310,13,0,0,0,0,6,23,4775,275,27,5,304,15,5089,1493,23,0,0,23,0,1519,31,61,3,0,65,0,101,0,6,4,0,9,0,9,0,0,0,0,0,0,0,31,70,9,0,77,0,116,0,0,0,0,0,0,0,1530,90,9,0,104,0,1631,464,4,0,0,4,0,467,15,30,0,0,28,0,50,0,0,3,0,7,0,3,0,0,0,0,0,0,0,17,28,4,0,32,0,58,0,0,0,0,0,0,0,483,35,4,0,36,0,518,36425,615,4,5,629,79,37133,894,1663,56,3,1726,0,2624,15,122,102,0,223,0,240,0,13,0,11,16,0,19,919,1803,159,12,1971,3,2887,85,0,0,0,0,72,156,37427,2415,159,17,2599,149,40178
SOSR214,32,0,2415,35,94,0,0,92,0,133,5,10,7,0,11,0,16,0,0,0,0,0,0,0,43,101,4,0,105,0,152,11,0,0,0,0,9,19,2434,129,4,3,135,7,2579,685,10,0,0,10,0,697,9,28,0,0,30,0,38,0,8,5,0,6,0,8,0,0,0,0,0,0,0,9,34,6,0,40,0,51,0,0,0,0,0,0,0,699,42,6,0,46,3,749,196,8,0,0,8,0,205,0,9,0,0,9,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,9,0,0,8,0,18,0,0,0,0,0,0,0,196,20,0,0,18,3,216,17906,229,3,10,236,48,18194,397,891,48,3,941,11,1354,7,65,50,0,112,0,119,12,0,0,0,4,0,17,419,961,96,5,1059,11,1482,42,0,0,0,0,41,83,18365,1187,95,11,1291,100,19757
SOSR215,55,10,3999,61,117,5,3,132,0,196,8,10,9,0,19,0,21,0,0,0,0,0,0,3,70,128,14,3,146,0,219,8,0,0,0,0,5,19,4018,181,14,3,200,15,4238,1086,14,0,0,14,4,1099,30,37,3,0,39,0,67,3,3,0,0,3,0,5,0,0,0,0,0,0,0,33,41,5,0,47,0,72,4,0,0,0,0,0,3,1122,51,5,0,55,4,1184,358,0,0,0,0,0,361,8,8,0,0,9,0,20,0,3,0,0,3,0,4,0,0,0,0,0,0,0,13,13,3,0,16,0,23,0,0,0,0,0,0,0,370,18,3,0,18,0,385,30607,452,10,9,471,75,31156,678,1174,55,13,1237,0,1915,26,83,84,3,173,0,199,13,7,0,0,11,0,20,717,1268,136,15,1420,0,2138,105,6,0,0,6,45,156,31423,1728,146,24,1896,128,33447
SOSR221,10,0,1161,18,19,0,0,19,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,19,0,37,0,0,0,0,0,0,0,1166,33,0,0,33,0,1197,303,4,0,0,4,0,307,4,10,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,10,0,8,3,0,0,0,0,0,3,310,12,0,0,12,0,320,83,0,0,0,0,0,88,3,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,7,0,11,0,0,0,0,0,0,0,89,7,0,0,9,0,94,8626,143,0,4,147,27,8795,161,167,8,0,172,0,331,3,17,0,0,17,0,19,4,0,0,0,0,0,4,165,186,8,0,187,0,355,39,0,0,0,0,17,53,8824,324,5,4,336,40,9205
SOSR222,10,0,765,12,14,0,0,14,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,17,0,29,3,0,0,0,0,0,3,769,22,0,0,26,0,798,211,0,0,0,0,0,211,3,6,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,8,0,13,0,0,0,0,0,0,0,216,6,0,0,8,0,228,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,49,5427,64,0,0,64,9,5506,107,116,0,0,117,0,222,6,13,7,0,20,0,21,0,3,0,0,3,0,3,113,132,8,0,135,0,254,20,0,0,0,0,22,41,5565,195,8,0,206,31,5796
SOSR231,159,26,11022,175,317,5,0,326,4,504,0,10,12,0,22,0,28,4,0,0,0,4,0,3,180,330,15,3,347,4,531,33,3,0,0,3,16,52,11051,489,17,5,511,45,11605,3189,53,0,0,53,5,3254,72,139,3,0,141,0,205,0,8,5,0,19,0,19,0,0,0,0,0,0,4,70,144,12,0,153,0,225,10,0,0,0,0,3,20,3277,199,12,0,208,11,3497,1019,14,0,0,14,0,1035,21,67,0,0,67,0,83,0,0,3,0,8,0,8,0,0,0,0,0,0,0,21,68,3,0,67,0,91,3,0,0,0,0,0,3,1042,80,3,0,81,0,1130,68221,939,16,17,966,199,69387,1404,2550,42,17,2604,17,4030,36,113,85,0,195,0,232,21,16,0,11,23,0,50,1463,2676,125,33,2830,17,4309,197,18,0,0,18,120,333,69887,3629,139,42,3810,335,74032
