SOSR_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
SOSR201,108051,522,85,15,5,5,28,14396,123105,132837,5897,1996,409,72,14,45,15243,156508,124121,21382,10201,2864,732,179,115,15666,175269,78841,40502,32770,9097,2505,748,435,13007,177914,39543,29269,51193,17894,4727,1376,973,9446,154414,28215,23336,56076,24055,6595,1924,1431,8549,150176,24675,21441,56594,25722,7344,2070,1513,8336,147698,20446,18543,49828,25167,7553,1981,1411,7600,132531,17162,15950,44690,24970,8269,2219,1484,7284,122033,13334,13334,38768,22572,7874,2222,1404,6510,106021,9688,9818,35927,21993,7976,2356,1505,6428,95687,6125,6010,25609,17776,7365,2401,1741,5217,72246,4260,4336,17463,14236,7320,2751,2455,4800,57611,3115,3373,11997,10478,5964,2577,2757,4585,44837,4223,4999,13053,10815,6275,3053,3485,7683,53590,614637,218706,446254,228055,80577,25878,20781,134751,1769632
SOSR203,4386,40,10,0,0,0,0,532,4969,4862,371,144,29,10,0,0,524,5934,3667,852,461,167,44,15,0,450,5664,2023,1180,1219,420,147,46,23,321,5377,1057,873,1619,764,226,53,48,250,4892,799,740,1873,995,315,99,70,299,5191,757,673,1872,993,364,101,68,318,5140,724,604,1817,1155,436,118,77,333,5263,640,543,1786,1212,440,97,63,315,5097,476,431,1706,1138,458,115,55,300,4676,386,329,1611,1086,420,140,72,305,4350,257,238,1050,926,417,140,99,241,3371,185,154,723,663,438,186,158,269,2774,133,128,546,525,330,158,171,257,2248,220,247,638,586,399,208,219,476,2996,20564,7396,17080,10665,4445,1471,1118,5184,67932
SOSR211,7458,112,18,3,4,0,0,1068,8670,7693,941,435,99,11,9,9,931,10117,5375,1822,1404,534,147,35,18,767,10107,2761,2028,2679,1069,334,116,70,694,9748,1579,1375,2863,1619,570,181,143,569,8888,1203,1153,3024,1834,724,222,166,530,8854,1154,1080,3043,1872,730,245,201,563,8889,1042,935,2972,1992,808,242,159,561,8705,974,822,2954,2199,889,278,154,555,8831,766,686,2847,2142,862,237,140,605,8275,607,531,2534,1976,918,287,160,568,7594,445,330,1511,1457,777,295,243,457,5509,326,226,915,1019,741,316,306,467,4317,218,164,570,640,552,289,338,415,3182,302,263,732,777,522,312,384,609,3895,31905,12468,28518,19221,8580,3046,2482,9369,115597
SOSR212,4638,76,8,0,0,0,0,718,5441,4121,501,232,46,13,0,4,543,5468,3175,1038,735,274,78,23,10,519,5840,1614,1150,1528,640,216,64,37,403,5659,859,826,1823,929,344,102,90,337,5310,728,670,1879,1195,414,124,123,378,5514,680,634,2060,1298,469,149,101,373,5769,656,550,2000,1424,510,153,96,395,5786,598,499,1907,1400,608,132,101,420,5659,459,413,1720,1283,568,149,76,412,5080,321,301,1589,1287,598,161,96,437,4784,234,204,965,918,535,214,135,394,3595,179,144,574,738,484,218,223,361,2918,103,122,412,507,441,228,250,344,2403,165,154,489,513,382,222,241,575,2739,18522,7286,17924,12449,5656,1932,1595,6608,71969
SOSR213,6263,102,19,0,0,0,7,867,7258,5015,708,305,68,15,3,4,652,6773,4034,1327,1067,352,108,17,9,532,7443,2183,1619,2206,939,292,66,42,475,7817,1238,1074,2570,1475,463,134,94,462,7507,1090,956,2982,1802,582,205,112,488,8220,997,912,3090,1875,715,200,136,524,8454,1024,782,2923,1985,732,223,135,544,8348,936,729,2883,2232,878,268,130,586,8640,794,594,2863,2202,873,228,124,587,8265,630,535,2688,2162,886,275,143,604,7928,455,362,1871,1710,890,283,197,579,6331,327,216,1114,1341,884,391,334,500,5107,232,205,692,928,686,358,347,496,3939,297,294,929,968,775,362,450,777,4849,25518,10420,28206,20031,8782,3020,2246,8673,106887
SOSR214,3236,48,10,3,0,0,0,491,3795,2296,374,179,34,8,4,0,262,3164,1619,636,556,172,64,7,9,256,3311,955,703,980,491,158,39,25,269,3616,573,549,1212,722,224,75,48,245,3636,572,530,1424,927,332,113,67,291,4254,606,542,1533,993,385,94,76,297,4521,630,470,1597,1095,414,120,72,349,4739,630,440,1535,1158,490,118,72,328,4783,558,443,1678,1251,532,170,73,400,5106,516,392,1793,1316,609,192,107,468,5394,318,289,1270,1152,523,251,164,422,4386,208,164,732,868,581,239,188,389,3373,167,135,476,601,457,226,209,385,2652,235,207,655,645,465,237,269,548,3261,13135,5930,15631,11411,5243,1871,1369,5400,59991
SOSR215,4802,52,8,0,0,0,0,803,5665,3733,468,239,49,11,0,0,426,4929,2794,1047,883,321,65,17,5,401,5535,1610,1138,1734,797,258,67,32,400,6033,965,875,1991,1175,384,122,68,393,5979,913,817,2317,1506,487,160,95,475,6774,968,768,2434,1510,591,174,127,471,7053,968,767,2533,1709,651,202,124,532,7491,954,779,2490,1842,768,231,131,608,7799,878,677,2602,1937,836,242,101,623,7899,736,580,2551,1988,902,269,142,635,7816,503,361,1723,1660,856,309,189,540,6143,362,239,1036,1163,818,365,300,502,4776,217,189,684,842,672,311,354,461,3729,337,325,908,946,757,384,402,766,4820,20740,9094,24136,17440,8075,2861,2076,8047,92460
SOSR221,1308,9,0,0,0,0,0,222,1546,871,130,45,17,5,0,0,93,1161,653,240,218,64,19,3,3,114,1304,335,298,423,208,63,17,6,109,1463,263,218,543,333,141,24,22,112,1650,269,196,615,419,134,36,36,144,1848,301,229,701,478,191,56,29,149,2144,309,243,704,504,189,46,42,159,2193,317,235,755,553,234,60,38,198,2385,278,213,811,584,239,49,39,225,2437,221,166,788,610,248,80,48,227,2389,144,114,484,427,264,82,60,180,1753,114,67,257,325,189,91,76,139,1255,55,36,136,177,171,83,93,98,852,53,63,171,182,136,63,84,211,972,5498,2461,6662,4876,2222,696,583,2369,25366
SOSR222,832,11,0,3,0,0,0,164,1012,554,67,35,8,0,0,0,84,751,406,145,144,47,10,0,0,96,847,260,166,269,125,40,11,6,77,948,167,130,344,197,80,24,11,106,1063,182,141,406,218,92,34,14,89,1172,190,131,413,293,118,30,14,121,1319,217,130,489,338,143,51,24,112,1507,194,140,534,395,156,68,28,131,1648,163,115,523,363,156,58,31,104,1514,118,97,432,344,158,61,26,136,1372,75,66,285,230,134,49,40,90,971,44,31,138,149,126,53,41,74,659,28,13,69,91,69,38,33,51,396,36,38,104,91,70,46,43,70,502,3479,1423,4190,2902,1353,519,314,1500,15679
SOSR231,10927,45,10,4,5,0,0,1864,12860,7091,549,213,61,11,0,4,887,8809,4370,1325,1041,378,94,21,10,679,7927,2481,1709,2577,1340,377,85,51,783,9407,1599,1283,3531,2217,808,185,95,794,10508,1744,1352,4657,3211,1196,315,161,969,13589,1935,1527,5506,3898,1433,368,223,1226,16115,2114,1460,5585,4136,1669,474,270,1334,17036,2043,1368,5481,4458,1860,517,271,1385,17379,1626,1245,5082,4179,1803,520,283,1264,16001,1196,939,4393,3646,1686,530,281,1191,13857,653,517,2569,2377,1332,479,296,866,9088,325,266,1092,1394,911,440,372,574,5374,179,153,622,688,578,291,251,327,3092,163,169,544,580,490,226,295,310,2766,38442,13902,42892,32578,14236,4442,2863,14454,163808
