GCCSA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
2RVIC,86,92,67,45,42,8,89,2260,87,2158,2779,1125,180,57,66,75,14,29,24,23,29,21,478,7145,0,19,19,22,28,44,153,134,30,30,18,24,34,20,63,635,0,0,0,0,14,34,135,151,33,30,52,44,60,65,68,686,0,7,17,48,45,29,41,24,5,3,3,0,0,5,47,281,12,3,86,193,225,212,279,339,75,103,105,187,184,163,187,2360,9,602,553,221,65,27,12,20,0,3,3,0,0,0,93,1606,3,2860,2471,507,432,147,216,124,18,37,20,13,18,11,276,7171,45,134,366,1371,2695,2230,3030,1693,405,412,365,259,247,125,767,14131,0,3,10,7,14,14,88,278,65,152,194,66,106,45,29,1076,0,3,9,54,482,984,907,1246,311,396,416,307,440,264,285,6085,3,245,187,96,226,162,50,35,8,11,7,8,7,3,75,1116,9,3,27,95,68,76,140,134,10,14,23,22,22,21,43,698
2GMEL,938,830,559,406,427,241,319,13329,346,13469,25583,12996,1817,821,990,912,312,573,753,744,625,340,3064,63332,3,74,67,170,346,890,2102,1339,269,361,325,464,556,446,475,7872,0,0,6,58,321,907,3205,4093,760,776,791,834,877,773,664,14074,5,112,467,3167,3660,3161,2259,1482,227,245,291,272,254,111,665,16394,42,79,509,2130,5327,8442,8154,7752,1641,1961,2228,2513,3112,2382,1369,47642,37,3989,6285,3201,1238,372,238,160,35,27,11,20,23,4,619,16266,20,3794,3827,1054,1028,446,716,542,132,117,117,143,130,133,425,12619,180,344,1039,3663,8489,10271,18021,12979,4331,4817,3940,3170,2976,1784,2902,78906,0,16,25,137,256,908,2759,4284,1360,2197,2215,2124,2049,1195,503,20033,11,22,77,590,3979,10615,7725,9671,1642,1979,2151,2055,2157,1316,1170,45157,184,1517,1676,959,3670,3098,998,496,97,109,112,127,143,63,346,13581,28,31,180,624,1018,1862,3839,2957,548,692,694,770,996,735,371,15349
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,0,0,3,14,3,27,0,3,12,4,0,0,0,0,0,0,0,4,10,12,12,58,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,6,4,0,3,0,0,0,3,9,9,37,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,9,11,10,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,6,0,3,0,0,0,3,0,0,0,3,0,0,29,0,0,3,8,20,13,39,23,12,6,13,3,5,17,46,219,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,11,0,0,0,0,3,5,3,6,0,3,3,0,0,5,7,41,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,13
