GCCSA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
2RVIC,4,31,74,436,139,100,24,11,3,819,0,12,12,58,99,98,138,60,30,516,0,18,26,128,69,36,26,9,3,332,71,418,555,2011,988,1018,1039,771,400,7274,2381,4789,5517,12676,8669,9355,8401,5639,3198,60611,40662,86052,80651,165542,99158,102238,83397,47547,24446,729694,13,185,503,759,256,92,29,3,0,1852,77546,159658,144879,259310,153209,155697,117967,61424,27344,1157016,7,56,22,244,60,20,6,3,0,416,0,0,33,141,120,134,78,81,10,588,6,28,40,142,48,42,14,3,0,325,32,103,84,507,265,225,134,48,22,1423,0,0,6,77,52,54,55,21,3,265,46,246,1031,1942,585,366,201,77,18,4519,0,3,23,158,340,425,632,567,122,2285,3,64,35,155,46,94,133,52,14,591,120,994,961,4029,6125,8062,9943,5598,2038,37880,5,40,72,295,131,110,41,25,3,730,5,31,76,234,118,99,101,56,20,746,8,60,112,493,449,899,2449,1092,501,6066
2GMEL,192,754,4153,17668,9084,7589,2675,1241,532,43889,5,51,82,403,326,319,258,178,89,1710,5,107,298,1076,293,216,81,26,8,2104,994,4364,8227,32155,13173,10597,8500,5746,2894,86655,7253,11694,16143,43544,18324,16205,13626,9615,6161,142559,139793,259469,297277,695154,301538,247299,181172,107963,55950,2285616,140,1105,3992,7885,1850,821,337,94,31,16261,256825,435952,402435,718665,333204,252873,160911,80990,42223,2684080,107,457,801,4846,719,349,99,12,6,7402,6,44,484,2843,1704,1499,745,492,79,7897,60,283,1243,5287,2726,2120,1017,366,139,13259,154,498,729,3591,1229,777,353,123,75,7519,42,103,182,2340,1530,1248,1250,359,81,7137,1259,5883,39561,62987,19757,14690,6485,3937,1442,155998,12,39,202,1563,2229,2790,3171,2666,531,13193,114,883,674,2497,1543,2411,2509,1448,611,12683,1030,6412,6894,28930,25599,23017,22743,13124,5553,133300,24,279,740,4213,2155,1518,751,332,83,10089,62,321,636,2898,928,559,583,271,124,6377,89,364,1008,3659,2324,2212,5899,3185,1471,20211
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,0,0,15,19,3,7,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,10,48,76,14,11,11,3,3,178,23,26,82,201,49,57,30,9,5,476,163,197,631,1271,347,352,204,49,28,3238,0,0,3,8,0,0,0,0,0,6,295,255,654,1734,591,504,271,66,26,4389,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,8,0,0,7,16,3,0,4,0,0,31,0,0,0,11,3,0,0,0,0,16,0,4,71,51,3,11,0,0,0,140,0,0,0,0,4,0,4,0,0,3,0,0,0,7,3,0,0,0,0,16,3,0,35,83,39,39,46,17,0,259,0,0,0,0,3,0,0,0,0,7,0,0,6,16,0,0,0,0,0,20,0,0,7,5,3,3,7,3,0,33
