UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL201001,354213,63296,28750,1273,739,448271,407073,75181,38830,773,930,522783,127120,78780,115154,1514,1158,323735,11023,9498,14122,102,94,34833,39824,16723,17320,625,465,74963,1666,1645,2950,27,48,6342,4493,1428,1901,965,130,8916,3423,1294,1231,78,68,6096,187547,109366,152687,3309,1967,454883,5392,4116,2539,51,103,12199,24259,7362,7077,337,676,39711,978483,259326,229883,5735,4412,1477840
UCL203001,17589,1480,298,106,31,19512,17804,1167,266,65,35,19334,7489,2917,1072,47,46,11581,1520,812,141,0,0,2476,2610,576,172,22,12,3395,294,243,61,4,0,598,229,65,37,115,5,452,177,53,26,15,8,275,12316,4674,1505,202,79,18771,351,95,21,15,4,483,1306,271,99,9,13,1705,49368,7684,2189,399,170,59805
UCL211001,3177,220,31,13,3,3446,4146,128,24,3,4,4309,2143,677,165,9,4,2993,568,234,58,0,0,863,515,117,27,3,3,666,31,7,7,0,0,46,271,18,4,7,0,309,36,9,3,0,0,49,3563,1066,259,16,12,4920,57,3,0,0,0,64,250,61,17,3,3,331,11197,1478,329,44,24,13075
UCL211002,9878,1168,170,13,30,11258,10572,828,74,18,35,11522,5088,2156,601,15,26,7879,923,455,102,0,8,1492,1392,312,95,3,14,1809,137,101,63,0,8,311,108,47,18,0,12,184,117,37,11,0,0,168,7768,3114,885,17,63,11841,176,78,10,0,8,265,722,178,49,5,21,984,29115,5361,1187,59,154,35872
UCL211003,10335,531,50,54,23,10997,11441,284,58,16,28,11826,5099,1393,208,12,34,6750,871,429,64,0,6,1372,1761,245,37,12,9,2068,183,83,27,0,0,288,121,25,40,32,0,212,134,26,6,3,3,169,8172,2197,384,58,53,10866,171,18,4,0,3,198,782,161,40,16,9,1005,30907,3196,529,138,124,34897
UCL211004,3933,385,4,3,4,4331,7342,653,11,0,12,8022,2672,810,29,8,12,3527,170,135,13,0,3,320,776,164,3,6,3,951,51,38,0,0,0,88,66,34,0,3,0,105,57,20,0,0,0,72,3793,1199,43,14,13,5063,75,12,0,0,0,90,494,96,3,0,5,594,15639,2342,70,19,38,18101
UCL212001,3107,393,100,28,24,3650,3495,156,47,4,4,3704,1768,605,427,8,8,2820,361,171,160,0,0,699,636,123,69,3,4,834,42,13,52,0,0,113,78,12,23,15,0,137,45,10,10,0,3,67,2929,942,748,25,16,4660,59,88,8,3,4,159,301,97,73,5,8,489,9891,1678,979,66,53,12667
UCL212002,4687,332,7,43,0,5065,5096,157,0,9,7,5270,2146,858,34,7,6,3051,575,212,43,0,0,834,843,162,9,5,3,1023,105,38,21,0,0,163,146,26,3,28,3,207,77,26,0,0,0,105,3888,1327,112,44,16,5386,140,49,0,0,0,185,464,128,22,6,3,626,14275,1993,142,96,29,16531
UCL212003,3242,179,192,0,0,3616,5357,77,141,0,3,5582,1288,153,340,3,6,1791,63,24,44,0,0,135,375,31,61,0,0,464,15,9,10,0,0,27,10,0,0,0,0,13,13,0,5,0,0,18,1769,215,460,3,9,2449,33,7,0,0,0,46,197,23,23,0,4,243,10598,504,814,5,18,11937
UCL212004,2817,140,84,43,9,3091,3428,65,58,3,3,3558,1181,174,348,0,3,1708,193,24,105,0,0,322,376,37,35,0,3,460,14,17,5,0,0,40,34,10,0,9,3,59,21,4,8,0,0,32,1820,265,507,15,15,2625,27,28,6,0,0,60,198,26,31,3,13,273,8295,528,677,61,46,9605
