SOS_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SOS20,..,3182,108306,178777,165525,137329,102174,54661,14387,764344,..,10333,56145,33027,23292,13297,5196,1256,269,142804,..,349,1411,4674,9642,7299,3014,1917,1288,29603,381268,..,..,..,..,..,..,..,..,381268,..,118040,..,..,..,..,..,..,..,118040,..,68980,54290,17744,11256,4381,587,19,0,157256,..,16535,14337,4252,3818,4031,2984,1874,1039,48869,..,10050,12577,3693,2628,1657,589,166,55,31422,..,33327,44010,11239,7072,5384,3194,1170,332,105729,..,9101,26492,25999,28520,26573,20550,12834,7239,157304,4664,6471,8767,5168,4065,2857,2305,1417,573,36298,385937,276360,326334,284584,255828,202810,140597,75318,25181,1972940,..,8919,143471,184898,166578,131353,90871,38892,6527,771512,..,15545,58054,31442,21681,10892,3661,711,120,142106,..,3042,15177,32850,43038,23526,10079,8160,4865,140736,362097,..,..,..,..,..,..,..,..,362097,..,120231,..,..,..,..,..,..,..,120231,..,49460,38236,9148,6219,3327,633,26,4,107048,..,13929,10212,3163,4471,8932,8039,6727,3902,59377,..,9205,8347,1864,1321,875,364,154,78,22215
SOS21,..,749,18830,31278,33493,35527,31161,16904,4333,172280,..,4432,12880,7965,6311,4098,1905,545,104,38239,..,168,601,1757,2920,1658,679,418,280,8484,95026,..,..,..,..,..,..,..,..,95026,..,21908,..,..,..,..,..,..,..,21908,..,18946,8173,3437,2219,954,155,9,0,33897,..,2336,1430,612,752,876,626,354,216,7207,..,1535,1361,644,564,332,141,53,15,4637,..,4267,4121,1545,1680,1646,1092,398,94,14840,..,2059,5798,6317,8768,10307,8756,5194,2489,49695,1743,2422,2246,1443,1267,1247,1141,612,171,12287,96772,58824,55439,55001,57982,56637,45660,24494,7696,458496,..,1537,24480,33757,35433,36056,28786,12443,2130,174622,..,6607,13143,7961,6267,3648,1473,353,55,39503,..,2081,7175,11010,11178,4844,2067,1727,1119,41206,90004,..,..,..,..,..,..,..,..,90004,..,22065,..,..,..,..,..,..,..,22065,..,12131,4703,1450,1161,766,161,8,0,20381,..,1889,845,325,847,1501,1390,1020,565,8387,..,1453,752,229,216,170,62,29,17,2931
SOS22,..,32,1271,2640,3396,4026,3779,1682,350,17188,..,255,906,811,831,641,315,50,12,3823,..,12,44,145,239,183,71,50,20,765,8198,..,..,..,..,..,..,..,..,8198,..,1824,..,..,..,..,..,..,..,1824,..,1608,671,336,219,98,16,0,0,2941,..,146,88,44,56,97,84,45,30,600,..,87,80,49,47,47,12,6,0,334,..,126,194,89,177,221,157,55,10,1027,..,138,408,533,1049,1562,1353,652,266,5951,136,178,192,127,172,194,181,64,21,1267,8341,4411,3849,4768,6184,7069,5967,2614,724,43925,..,80,1732,2997,3726,4174,3322,1174,161,17356,..,422,943,876,845,594,208,40,12,3929,..,97,457,782,819,363,197,142,122,2981,7715,..,..,..,..,..,..,..,..,7715,..,1886,..,..,..,..,..,..,..,1886,..,979,405,140,109,59,17,0,0,1716,..,86,43,17,50,129,112,108,66,612,..,82,46,23,26,16,8,0,0,196
SOS23,..,174,5226,12767,19005,21149,16516,6216,1167,82214,..,838,3097,3105,3615,2725,1186,241,30,14841,..,39,99,460,921,686,309,182,127,2821,35019,..,..,..,..,..,..,..,..,35019,..,9564,..,..,..,..,..,..,..,9564,..,8353,3586,1446,994,444,46,0,0,14871,..,597,295,181,299,413,378,263,147,2578,..,420,350,222,267,197,123,34,10,1619,..,380,532,325,483,664,497,166,20,3062,..,500,1157,1671,3315,4547,3917,1745,565,17418,476,907,727,541,599,695,627,211,62,4843,35494,21775,15067,20712,29508,31520,23596,9058,2129,188852,..,376,7306,14916,21035,21014,13939,4028,500,83124,..,1329,3364,3376,3726,2390,810,114,21,15130,..,248,1019,1840,2249,1136,633,515,371,8009,33184,..,..,..,..,..,..,..,..,33184,..,10038,..,..,..,..,..,..,..,10038,..,5054,2162,613,417,236,46,0,0,8522,..,452,188,74,189,446,538,454,344,2693,..,515,258,106,114,92,54,16,12,1161
SOS27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,157,257,492,309,249,168,109,24,11,1774,157,257,492,309,249,168,109,24,11,1774,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
