SOS_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SOS20,17,42,209,696,706,879,1365,1088,316,315,361,385,485,306,221,7387,45,260,878,685,2514,16441,28470,35360,7273,8723,10340,13893,16064,8739,6994,156677,18,250,2513,6525,602,1414,1658,147,43,37,49,42,46,10,433,13771,16,821,1976,2287,669,1886,1543,1259,276,308,427,239,270,130,363,12479,14,36,84,288,932,2971,2395,1521,234,262,276,221,222,115,242,9804,178,5409,3871,1907,1473,1086,1844,1332,290,270,284,339,391,236,667,19582,91,3349,18832,15198,1835,1028,588,303,312,696,559,396,289,116,1764,45346,31,56,273,865,2604,6127,4150,2187,451,635,718,839,874,451,574,20861,47,374,375,4873,3015,8670,25513,56287,6145,7303,9269,12527,12285,8970,4563,160216,20,143,173,343,791,1662,5065,2813,592,724,840,983,1347,1073,383,16936,3,18,16,163,605,1367,1676,2768,1478,2003,3285,897,938,461,400,16074,0,3,12,98,347,2187,5154,3751,1002,656,1600,901,776,804,435,17730,33,346,898,1768,983,1685,1359,2139
SOS21,9,15,50,153,110,115,224,134,30,28,29,35,33,30,30,1023,7,17,36,22,35,198,528,827,140,146,187,220,287,243,266,3162,10,42,289,538,47,69,55,12,0,0,0,5,4,0,37,1111,4,66,118,90,20,47,105,83,11,8,20,13,8,6,20,629,7,8,18,30,71,168,170,156,23,30,26,22,11,26,29,795,14,1818,976,419,277,151,183,142,18,32,21,15,18,19,155,4261,12,170,457,332,56,25,15,6,3,11,4,0,5,0,62,1165,3,5,24,39,62,71,80,73,11,16,15,44,42,23,59,572,7,79,68,294,104,182,897,3566,318,359,411,485,463,306,289,7832,4,40,35,22,34,54,151,120,24,29,21,28,22,16,23,629,0,0,3,10,13,29,50,101,46,50,94,39,15,20,9,474,0,0,0,0,6,76,338,156,38,32,35,30,28,13,28,773,11,117,228,388,160,255,199,174
SOS22,0,0,9,23,11,9,22,6,3,0,6,0,0,0,6,94,0,3,6,0,0,12,14,18,0,5,0,8,3,20,15,112,0,4,20,37,4,0,0,0,0,0,0,0,0,0,3,75,0,8,11,3,3,3,0,3,0,0,0,3,0,0,0,38,0,3,3,3,8,8,0,0,0,4,0,0,0,0,0,26,0,185,143,71,36,26,19,13,4,0,6,4,6,0,17,528,0,28,36,30,9,4,0,0,3,0,0,0,0,0,3,108,0,0,0,4,5,3,0,0,0,0,0,0,3,5,0,32,0,7,13,21,3,10,15,83,3,15,20,15,10,3,18,250,0,5,3,4,3,3,8,3,0,0,6,0,0,3,0,44,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,10,19,47,16,28,10,10
SOS23,3,5,26,70,63,56,93,51,14,9,5,5,8,3,22,435,3,11,32,4,17,47,81,114,19,23,17,24,35,57,61,568,6,13,123,275,30,12,14,0,0,0,3,0,0,0,42,524,0,24,31,24,9,3,6,10,0,0,0,0,0,0,4,125,0,0,4,14,21,40,26,22,7,7,10,5,0,0,20,183,7,585,484,238,187,85,117,67,16,12,13,11,12,10,69,1907,3,113,243,154,16,6,6,5,0,3,0,0,3,0,43,613,0,0,0,14,21,15,11,19,6,0,4,4,10,4,32,144,4,29,23,88,48,80,199,522,42,47,59,58,44,42,103,1372,4,22,14,11,7,12,30,41,3,6,4,6,3,3,16,188,0,0,0,5,6,11,4,7,0,3,0,0,0,0,5,50,0,0,0,3,3,16,39,8,0,3,0,0,0,0,24,99,0,28,84,144,65,100,64,67
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,4,0,0,3,9,0,0,0,0,3,3,4,31,0,0,0,0,0,5,4,23,3,3,25,11,13,31,19,140,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,3,0,3,0,0,0,3,0,6,3,8,33,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,3,3,0,0,0,5,3,12,0,36,0,0,0,0,0,7,7,21,3,3,7,7,8,57,15,130,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,0,4,7,3,17,0,0,0,0,0,0,0,5,3,0,0,0,0,20,9,27,0,0,0,0,0,0,0,0
