"SECTOR","SHELF","REEF_NAME","REEF_ID","SITE_NO","LATITUDE","LONGITUDE","P_CODE","VISIT_NO","YEAR_CODE","SAMPLE_DATE","GROUP_CODE","COVER"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","1","199293","1993-06-12","Algae","30.64"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","1","199293","1993-06-12","Hard Coral","24.77"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","1","199293","1993-06-12","Other","26.78"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","1","199293","1993-06-12","Soft Coral","17.82"
"CA","I","LOW ISLANDS REEF","16028S","2","-16.386483","145.5726","RM","1","199293","1993-06-12","Algae","35.83"
"CA","I","LOW ISLANDS REEF","16028S","2","-16.386483","145.5726","RM","1","199293","1993-06-12","Hard Coral","29.91"
"CA","I","LOW ISLANDS REEF","16028S","2","-16.386483","145.5726","RM","1","199293","1993-06-12","Other","21.17"
"CA","I","LOW ISLANDS REEF","16028S","2","-16.386483","145.5726","RM","1","199293","1993-06-12","Soft Coral","13.09"
"CA","I","LOW ISLANDS REEF","16028S","3","-16.390217","145.57345","RM","1","199293","1993-06-12","Algae","37.57"
"CA","I","LOW ISLANDS REEF","16028S","3","-16.390217","145.57345","RM","1","199293","1993-06-12","Hard Coral","35.81"
"CA","I","LOW ISLANDS REEF","16028S","3","-16.390217","145.57345","RM","1","199293","1993-06-12","Other","15.42"
"CA","I","LOW ISLANDS REEF","16028S","3","-16.390217","145.57345","RM","1","199293","1993-06-12","Soft Coral","11.2"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","3","199495","1995-04-15","Algae","32.36"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","3","199495","1995-04-15","Hard Coral","25.85"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","3","199495","1995-04-15","Other","19.91"
"CA","I","LOW ISLANDS REEF","16028S","1","-16.383517","145.57095","RM","3","199495","1995-04-15","Soft Coral","21.89"
"CA","I","LOW ISLANDS REEF","16028S","2","-16.386483","145.5726","RM","3","199495","1995-04-16","Algae","31.35"
