GCCSA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
2RVIC,5,15,86,251,344,242,801,690,145,93,53,95,75,41,52,2992,3,36,64,134,86,147,223,470,73,172,102,65,84,56,63,1776,0,0,3,18,52,146,279,674,111,120,146,149,145,77,134,2059,0,14,190,417,80,80,38,8,4,3,0,3,7,0,29,883,0,0,14,265,111,154,148,65,18,3,4,11,12,7,52,861,305,5556,10877,12472,4450,2937,3156,2636,527,402,401,354,313,139,1974,46501,3,41,68,498,301,303,585,396,113,91,109,108,130,58,90,2889,0,0,0,28,243,243,222,270,52,54,72,59,68,50,290,1656,0,4,21,17,55,52,168,198,23,26,25,16,12,11,13,652,83,1470,2219,3146,1552,1655,2960,3771,704,808,1009,876,1059,646,1339,23286,661,16446,23518,24265,13053,11715,16973,19756,3653,4069,4421,3985,4532,2942,7990,157988
2GMEL,23,55,371,999,3418,3705,6870,4548,691,696,580,652,692,434,429,24168,17,185,844,3558,2771,9894,9821,12601,1917,3187,2317,2002,2210,1548,1155,54030,0,4,19,135,840,1541,2540,3283,579,664,771,911,1157,732,728,13909,15,230,1011,7467,1961,2673,1552,627,109,97,156,115,120,42,565,16747,3,42,110,4470,2426,3105,2149,986,224,161,207,155,192,133,509,14861,834,10605,24906,36208,17967,14586,18160,16153,3851,3744,3258,3038,3118,1719,4813,162962,16,133,324,1319,1331,1911,3383,2698,791,789,810,974,1069,640,575,16765,4,16,47,388,21450,23326,9710,8822,1615,1950,2516,2438,2428,1499,2849,79054,0,7,47,70,331,261,1012,1335,151,165,132,161,182,123,60,4032,398,6412,9872,25147,25537,42380,49374,40812,8242,10040,11701,11858,12823,8364,8555,271525,2693,52466,107623,144553,126535,192884,236867,249780,48840,58009,64454,67434,71972,45937,50214,1520253
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
29499,0,0,0,3,6,0,7,0,0,0,0,0,0,3,0,25,0,0,0,4,0,0,0,5,0,0,0,0,0,3,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,5,3,0,0,0,0,0,0,3,26,0,11,27,47,32,15,11,8,5,7,3,8,46,49,39,306,0,0,0,3,0,3,3,3,0,0,0,0,3,17,5,47,0,0,0,0,11,16,9,8,7,4,0,8,7,0,5,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,13,24,32,52,60,11,24,16,41,63,80,89,519,3,35,61,104,113,130,178,195,49,54,81,109,221,375,305,2011
