CED_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
CED201,256,74,817,336,317,282,93,193,26,2398,3,4,7,3,0,7,4,16,3,42,96,113,82,62,96,47,29,37,14,572,98,89,168,83,108,104,85,94,164,994,6016,13185,7718,4856,6243,3153,1599,2150,627,45544
CED202,271,60,890,390,293,270,120,263,20,2584,5,4,4,9,8,8,5,11,0,61,96,160,76,93,103,32,52,48,17,680,120,117,235,136,126,136,121,199,156,1338,5634,12726,7963,5717,4967,2569,1868,2735,658,44838
CED203,254,87,999,373,260,232,85,209,25,2530,9,5,10,13,7,3,8,22,0,75,192,415,102,131,198,79,48,61,39,1263,116,171,182,112,120,120,74,150,202,1256,7914,22876,6445,5613,6704,3507,1482,2761,852,58150
CED204,225,67,918,357,237,265,88,296,17,2474,3,11,5,5,6,4,3,16,3,56,102,178,67,81,73,43,43,46,18,647,175,137,215,170,133,130,103,219,130,1424,5650,12978,7460,5631,4413,2386,1657,2953,564,43687
CED205,209,45,878,326,195,191,175,279,31,2332,7,3,8,8,4,8,11,29,9,97,95,116,78,75,86,48,55,71,26,648,92,103,170,110,120,83,135,139,212,1163,5377,13634,6006,4546,5790,2962,2269,3116,816,44517
CED206,212,47,781,360,275,276,193,252,25,2425,5,5,9,7,7,8,13,12,0,71,65,102,79,74,98,61,74,59,29,629,103,99,257,182,147,148,175,183,191,1490,4256,8619,7010,5094,5358,2774,2791,2864,723,39493
CED207,284,74,886,401,348,307,100,221,21,2650,4,10,6,3,3,3,6,13,0,48,97,116,78,95,96,37,38,40,21,610,141,100,269,141,119,104,113,165,171,1315,6029,10534,10200,5757,5402,2679,1788,2751,663,45806
CED208,265,68,789,297,206,192,64,192,13,2086,18,3,16,12,5,8,0,12,3,79,134,214,59,93,157,66,18,45,32,819,82,135,129,78,86,79,49,93,179,909,7989,21211,5585,4703,6864,3622,1167,2376,806,54326
CED209,285,80,959,388,261,295,93,274,33,2669,3,11,3,8,4,10,0,7,3,54,112,170,77,114,103,56,41,44,22,732,180,124,231,137,96,97,72,179,165,1275,6971,14845,8442,6057,5008,2901,1582,2929,698,49428
CED210,237,72,987,429,249,251,136,290,25,2679,3,9,5,4,0,3,8,10,0,50,67,128,76,83,71,36,56,49,20,585,99,90,220,141,110,145,175,233,180,1395,4631,11022,7538,6020,4525,2523,1971,2912,671,41807
CED211,274,73,773,314,252,234,74,171,16,2185,6,3,8,3,9,8,8,13,0,53,133,214,76,88,134,66,27,47,31,820,92,128,140,88,100,97,53,94,155,947,7181,18349,6664,5066,6545,3058,1202,2037,652,50746
CED212,279,83,902,426,325,297,105,235,17,2670,5,0,5,8,6,7,0,14,3,51,105,129,63,99,80,39,39,34,19,618,111,119,198,135,116,124,109,169,177,1257,5972,11620,8562,5659,5146,2971,1596,2462,637,44631
CED213,341,68,1053,438,295,286,101,277,22,2884,0,8,13,6,7,5,5,6,4,48,88,106,75,74,74,39,38,32,22,553,168,121,305,167,133,166,103,188,157,1506,6080,9647,9672,5467,4415,2860,1579,2868,613,43198
CED214,271,100,921,435,293,260,125,260,28,2699,9,5,8,9,6,4,7,30,4,85,182,298,84,113,202,71,60,59,29,1093,118,130,187,142,123,96,131,172,215,1318,8312,19045,6826,5336,6695,3247,2130,3104,882,55569
