CED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
CED201,9858,17954,4549,423,32782,5952,835,39570,1020,617,415,35,2088,1885,110,4087,457,536,223,33,1251,458,76,1786,1470,1153,641,71,3340,2342,189,5869,209,67,45,9,334,413,24,770,42,17,33,0,100,126,12,234,34,14,19,0,66,74,3,149,0,0,0,0,0,3,0,6,292,100,104,13,497,618,35,1159,4,0,0,0,10,14,0,26,16,0,8,0,25,80,0,102,0,0,0,0,0,0,0,0,26,48,22,3,103,25,5,132,54,52,28,3,134,122,4,261,19,17,10,0,45,37,0,85,11689,19275,5334,504,36805,9074,1068,46946
CED202,13681,15583,5813,428,35503,11721,1733,48951,1014,692,602,62,2376,2927,322,5628,135,74,98,13,322,208,66,594,1148,771,706,76,2701,3137,388,6218,171,60,117,8,353,876,73,1298,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,181,67,119,12,375,912,79,1370,8,3,4,0,17,46,3,66,18,0,0,0,28,44,0,73,4,3,3,0,9,5,0,14,131,99,43,4,281,124,9,417,169,106,47,6,336,221,15,574,71,62,26,8,161,141,19,322,15252,16582,6712,526,39070,16141,2226,57439
CED203,8042,13051,3874,617,25584,7120,2296,34998,2156,1967,850,160,5140,3536,804,9471,1839,1594,584,145,4164,1737,797,6697,3996,3567,1437,302,9298,5272,1596,16172,1173,446,275,82,1977,2639,527,5141,421,112,96,27,665,806,218,1689,587,152,90,43,874,808,213,1901,0,0,0,0,0,3,0,5,2190,718,461,156,3516,4255,962,8733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,67,50,28,8,151,103,60,313,67,50,27,8,149,108,58,318,51,47,17,4,116,76,21,212,14342,17422,5822,1087,38674,16820,4934,60427
CED204,14806,15311,5993,521,36643,12819,1778,51243,489,162,341,46,1032,2060,200,3295,104,33,57,13,204,161,43,405,589,198,392,57,1236,2225,244,3701,86,43,62,3,195,395,32,619,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,16,0,0,0,0,3,0,0,3,96,50,69,3,215,450,34,699,8,3,4,0,21,92,3,121,22,3,3,0,30,76,0,103,3,3,0,0,7,9,0,14,35,20,13,0,74,42,3,118,78,32,22,0,132,220,10,353,89,56,20,0,168,110,14,289,15658,15646,6501,585,38387,15818,2080,56291
CED205,9613,16322,4689,663,31294,6309,1379,38983,1129,1494,612,98,3335,1778,270,5381,562,964,303,60,1887,366,200,2451,1691,2460,915,158,5222,2140,470,7833,854,1037,466,95,2447,1371,294,4115,197,106,55,12,369,290,49,714,159,63,29,28,288,218,92,594,4,0,0,0,9,5,0,14,1216,1201,556,136,3115,1885,435,5434,0,3,0,0,3,24,3,28,13,5,0,0,19,52,0,74,0,0,0,0,3,4,0,7,35,59,27,9,127,47,5,177,52,64,31,9,153,122,11,283,22,22,9,7,62,60,14,129,12596,20072,6195,973,39841,10512,2302,52659
CED206,8632,20495,5967,562,35657,5698,770,42128,752,1210,638,64,2670,1430,150,4250,445,780,343,41,1606,414,90,2117,1196,1995,982,106,4278,1847,246,6369,168,336,144,19,670,299,60,1028,11,9,6,0,24,26,3,51,7,22,20,0,51,49,0,101,0,0,3,0,4,3,0,4,190,363,176,26,751,368,67,1185,0,0,0,0,3,13,0,15,17,3,6,0,29,144,4,174,0,0,0,0,0,0,0,0,23,57,53,0,129,44,6,182,41,65,61,0,161,197,16,371,13,35,12,3,65,52,11,128,10075,22943,7201,695,40910,8165,1107,50179
CED207,12526,17872,5474,422,36298,8654,963,45916,556,198,266,21,1037,1399,49,2486,186,135,150,3,480,205,30,720,744,335,412,24,1518,1606,84,3208,25,21,20,3,68,83,3,153,37,0,0,0,37,14,0,49,0,0,0,0,3,0,0,3,3,0,3,0,3,3,0,8,59,25,22,3,113,103,3,213,15,3,6,0,27,84,0,115,24,0,3,0,24,69,0,95,3,9,0,0,8,4,0,12,6,12,5,0,23,14,0,33,46,24,14,0,86,165,4,259,36,42,25,3,112,67,3,184,13422,18303,5948,453,38120,10594,1056,49773
CED208,8369,14536,3716,603,27218,6378,2280,35877,1782,1669,705,106,4255,2755,513,7518,1137,1492,553,123,3303,769,901,4981,2914,3155,1258,227,7557,3525,1412,12501,1359,1387,573,111,3430,2143,502,6068,391,148,95,42,680,715,241,1629,280,70,82,37,468,726,151,1348,0,0,0,0,5,4,0,9,2031,1607,757,189,4582,3582,894,9055,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,3,0,37,8,4,52,12,18,3,0,39,11,4,56,41,52,18,0,106,87,32,225,13375,19369,5748,1019,39508,13579,4633,57713
CED209,14528,17415,4725,415,37081,10421,1465,48963,772,300,273,33,1382,2136,188,3707,270,170,81,8,525,326,70,919,1040,473,357,45,1906,2461,262,4631,77,34,32,0,137,277,19,439,9,6,0,0,13,24,0,36,0,0,0,0,0,4,0,10,3,0,0,0,3,0,0,3,92,44,32,0,160,303,19,486,14,13,3,0,28,58,0,83,30,6,8,0,46,126,9,183,3,6,0,0,15,7,0,20,27,74,14,0,118,36,17,175,76,101,27,0,204,225,27,460,60,48,15,0,125,73,12,207,15797,18069,5147,462,39476,13492,1779,54750
CED210,13142,14631,6401,521,34701,11948,1545,48196,887,402,508,47,1842,2875,215,4931,332,179,133,24,671,402,102,1175,1220,576,641,72,2509,3284,312,6102,332,147,153,13,648,1153,104,1906,15,3,6,0,25,71,14,107,41,12,8,0,58,110,16,186,0,0,0,0,0,7,0,3,396,165,161,15,732,1342,131,2207,0,3,4,0,10,17,0,25,17,0,3,0,20,78,0,100,0,0,0,0,0,0,0,0,27,38,5,3,67,48,10,129,38,47,11,3,98,143,13,255,40,42,22,0,104,71,14,185,14835,15460,7237,617,38147,16788,2015,56949
CED211,10833,16886,4572,501,32792,9265,1217,43272,1439,1154,636,64,3292,2840,301,6428,560,675,248,33,1522,502,120,2148,2001,1829,880,98,4815,3344,420,8576,137,132,86,15,365,293,42,705,157,61,52,10,282,244,48,567,166,38,29,7,234,273,38,545,3,0,0,0,3,7,0,8,455,232,161,26,883,816,124,1829,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,7,11,5,0,20,10,3,32,5,10,5,0,26,15,3,41,27,34,12,0,64,52,11,129,13322,18996,5629,638,38583,13484,1780,53847
CED212,11532,15583,5834,461,33412,8763,1184,43361,1144,465,661,64,2330,3403,183,5912,489,268,292,23,1068,568,84,1726,1638,729,950,81,3398,3966,264,7634,701,208,316,33,1261,1921,131,3320,34,11,12,0,54,112,9,182,16,0,3,0,21,48,9,73,0,0,0,0,0,8,0,9,747,219,336,40,1344,2090,144,3580,4,3,4,0,11,11,0,22,38,9,9,3,53,235,0,296,0,0,0,0,0,0,0,0,12,13,5,0,29,9,3,41,48,25,22,3,97,260,7,361,17,16,11,0,41,40,4,85,13984,16577,7150,583,38293,15122,1600,55020
