UCL_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
UCL201001,110010,7334,77,85,7496,144,117655,11146,73454,3386,362,77209,59,88412,181,7609,4609,81,12304,10,12495,94,373,37,190,604,0,702,11424,81438,8037,635,90108,70,101604,156,107,6,5,125,258,546,121591,88883,8130,729,97734,469,219800,109714,5871,84,82,6036,152,115905,8925,60326,2968,333,63626,55,72610,147,6359,4672,53,11083,6,11233,85,343,44,140,529,3,622,9157,67025,7687,534,75244,63,84464,134,85,3,5,94,214,440,119002,72980,7775,617,81374,429,200808,60912,2874,49,33,2952,80,63942,4370,29636,1664,155,31458,27,35857,78,3197,3033,26,6260,3,6348,37,151,22,81,250,0,287,4483,32986,4720,262,37973,32,42492,69,39,8,7,49,116,234,65464,35902,4777,301,40975,229,106667,38000,1717,25,15,1758,54,39810,2546,17346,1124,86,18556,19,21117,47,2063,2142,10,4216,0,4271,15,99,11,66,180,0,195,2611,19507,3276,163,22950,18,25582,56,14,4,3,20,43,121,40670,21242,3309,179,24729,113,65513,51570,2120,37,14
UCL203001,5864,181,0,0,179,9,6051,200,885,27,3,913,7,1117,4,91,77,4,169,0,178,0,5,0,0,4,0,11,204,973,106,11,1094,5,1305,10,0,0,0,0,12,23,6078,1155,106,14,1275,26,7380,5341,127,0,3,134,0,5473,166,633,27,0,664,0,829,6,71,88,0,164,0,172,0,6,0,3,7,0,7,170,713,122,8,840,0,1011,6,0,0,0,0,8,16,5519,838,122,11,970,11,6497,2906,62,0,0,62,4,2970,80,308,12,0,314,0,397,0,37,61,0,92,0,92,0,0,0,0,3,0,3,80,337,74,3,413,0,496,9,0,0,0,0,7,10,2994,400,70,3,477,12,3483,1826,33,3,0,35,3,1866,76,210,4,0,222,0,292,0,34,34,0,67,0,73,0,0,0,0,0,0,0,73,246,46,3,292,0,368,0,0,0,0,3,5,8,1904,280,48,3,326,6,2235,2435,47,0,0
UCL211001,1588,26,0,0,26,3,1608,31,149,0,0,153,3,184,0,5,6,0,13,0,13,0,0,0,0,0,0,0,31,157,7,0,164,3,196,0,0,0,0,0,0,3,1618,179,7,0,189,6,1809,1377,14,0,0,14,3,1397,36,108,0,0,108,0,138,0,10,5,0,15,0,15,0,0,0,0,0,0,3,37,115,5,0,121,0,160,0,0,0,0,0,3,3,1417,131,5,0,141,6,1561,756,6,0,0,6,4,765,15,58,0,0,58,0,76,0,3,0,0,3,0,3,0,0,0,0,0,0,0,15,58,0,0,58,0,77,0,0,0,0,0,3,3,769,69,0,0,66,3,843,464,7,0,0,7,3,472,4,15,0,0,17,0,20,0,0,7,0,6,0,6,0,0,0,0,0,0,0,4,13,3,0,24,0,28,0,0,0,0,0,3,4,477,17,3,0,24,3,501,674,8,0,0
UCL211002,3871,56,0,0,56,3,3934,99,338,12,0,359,0,453,4,27,3,0,26,0,36,0,0,0,0,0,0,0,103,362,22,0,382,0,488,5,3,0,0,3,4,16,3983,423,22,0,443,13,4438,3621,50,0,0,50,5,3673,87,229,5,3,240,0,325,7,26,9,0,32,0,38,0,0,0,0,0,0,0,89,256,16,3,273,0,363,0,0,0,0,0,5,7,3713,301,16,3,318,5,4041,1960,28,0,0,28,0,1988,56,99,9,0,104,0,160,0,13,7,0,21,0,19,0,0,0,0,0,0,0,54,113,9,0,121,0,175,0,0,0,0,0,8,6,2021,139,9,0,149,5,2172,1164,16,0,0,16,0,1178,22,67,3,0,69,0,92,0,6,0,0,5,0,5,0,0,0,0,0,0,0,22,72,5,0,78,0,99,5,0,0,0,0,4,7,1188,89,5,0,92,9,1285,1571,21,0,0
UCL211003,3854,53,4,0,59,7,3914,66,280,15,6,297,0,358,0,24,66,0,95,0,99,0,0,0,0,3,0,3,70,305,83,4,388,0,462,15,0,0,0,0,6,17,3932,358,80,4,447,11,4390,3652,42,0,0,42,5,3701,65,189,5,3,203,0,264,0,9,64,0,76,0,79,0,0,0,0,0,0,0,66,201,72,3,279,0,340,6,0,0,0,0,4,17,3723,246,72,3,320,16,4053,1938,20,0,0,20,0,1959,24,82,4,0,94,0,117,0,10,47,0,57,0,57,0,0,0,0,0,0,0,24,97,53,4,153,0,176,0,0,0,0,0,3,6,1960,117,50,4,172,3,2138,1299,4,0,0,4,0,1304,30,38,3,0,39,0,70,0,8,25,0,36,0,37,0,0,0,0,0,0,0,31,42,29,0,79,0,104,0,0,0,0,0,3,6,1331,47,34,0,85,6,1416,1657,13,0,0
UCL211004,1928,147,3,3,148,6,2086,180,741,30,0,777,0,960,9,71,58,0,130,0,137,0,11,4,5,17,0,16,185,822,99,8,926,0,1115,0,3,0,3,4,4,9,2117,968,101,12,1081,6,3207,1696,101,0,0,101,3,1796,123,645,24,3,676,0,803,3,77,48,0,125,0,135,4,8,0,3,11,0,17,131,734,75,8,815,0,947,0,3,0,0,3,3,9,1826,835,75,8,922,7,2753,853,49,0,0,51,0,903,60,310,22,0,336,0,397,3,36,27,0,61,0,62,0,3,0,4,4,0,7,67,345,46,3,398,0,461,0,0,0,0,0,4,6,917,395,47,7,449,4,1373,534,26,0,3,30,0,568,22,177,10,4,195,0,217,0,25,13,0,39,0,39,0,5,0,0,9,0,5,26,204,23,4,237,0,263,3,0,0,0,0,3,4,565,234,27,9,271,4,838,676,40,0,0
UCL212001,1143,45,0,0,46,6,1195,40,145,15,0,159,0,203,0,25,24,0,52,0,53,0,0,0,0,0,0,0,44,171,40,0,214,0,257,0,0,3,0,3,10,14,1189,209,45,0,258,17,1457,984,23,0,0,23,0,1004,26,136,12,0,154,0,178,0,22,32,0,51,0,59,0,0,0,0,0,0,0,32,158,43,0,203,0,235,0,0,0,0,0,5,11,1016,186,47,0,232,5,1250,567,10,0,0,10,3,581,16,69,18,0,80,0,97,0,13,23,0,39,0,39,0,0,0,0,0,0,0,16,78,43,0,120,0,136,0,0,0,0,3,6,6,585,88,42,0,133,3,724,376,7,0,0,7,0,382,7,31,6,0,35,0,40,0,12,12,0,22,0,24,0,0,0,0,0,0,0,4,37,16,0,53,0,60,0,0,0,0,0,0,0,384,43,16,0,62,0,442,505,15,0,0
UCL212002,1379,50,0,0,50,9,1437,39,460,71,7,532,0,571,3,94,89,0,186,0,188,0,3,0,3,8,0,6,39,562,165,6,726,0,770,0,0,0,0,0,8,11,1422,613,165,9,785,12,2218,1424,46,0,0,46,9,1475,47,397,40,6,438,0,484,0,111,85,0,198,0,196,0,0,0,0,4,0,5,50,505,125,6,637,0,689,0,0,0,0,0,4,5,1474,546,125,6,682,13,2163,767,20,0,0,20,3,791,27,185,20,3,208,0,231,0,56,53,0,112,0,112,0,0,0,0,0,0,0,27,242,70,3,313,0,345,0,0,0,0,0,3,3,792,259,70,3,335,4,1137,493,10,0,0,10,0,503,26,118,14,0,128,0,157,0,26,32,0,60,0,60,0,0,0,0,0,0,0,26,144,44,0,192,0,215,0,0,0,0,0,3,3,515,150,44,0,201,4,723,776,30,0,0
UCL212003,1528,47,0,0,52,3,1585,81,115,6,0,119,0,204,0,3,0,0,5,0,5,0,0,0,0,0,0,0,81,113,6,3,124,0,208,0,0,0,0,0,0,0,1613,165,8,3,178,3,1791,1513,33,0,0,33,3,1553,67,104,4,3,111,0,175,3,4,3,0,8,0,12,0,0,0,0,0,0,0,68,110,7,3,121,0,185,0,0,0,0,0,0,0,1582,144,7,3,158,3,1736,833,15,0,0,15,0,846,31,64,3,0,69,0,97,0,0,0,0,3,0,3,0,0,0,0,0,0,0,34,66,3,0,70,0,99,0,0,0,0,0,0,0,866,81,3,0,86,0,952,548,14,0,0,14,0,560,19,42,3,0,47,0,67,3,3,0,0,5,0,8,0,0,0,0,0,0,0,22,47,7,0,49,0,70,0,0,0,0,0,0,0,569,62,7,0,68,0,634,762,25,0,0
UCL212004,1027,9,0,0,9,0,1036,36,92,3,0,93,0,134,0,6,3,0,8,0,8,0,0,0,0,0,0,0,36,97,3,0,105,0,143,0,0,0,0,0,0,0,1068,109,3,0,115,0,1177,1013,18,0,0,18,0,1027,30,86,4,0,84,0,115,0,4,6,0,4,0,6,0,0,0,0,0,0,0,33,85,5,0,91,0,126,0,0,0,0,0,0,3,1044,99,5,0,109,0,1152,570,12,0,0,12,3,580,9,50,0,0,45,0,60,0,3,3,0,4,0,4,0,0,0,0,0,0,0,9,52,4,0,54,0,62,0,0,0,0,0,0,0,575,60,4,0,60,3,644,347,7,0,0,7,0,352,4,24,0,0,24,3,31,0,0,3,0,3,0,3,0,0,0,0,0,0,0,4,29,3,0,27,3,36,0,0,0,0,0,0,0,349,38,3,0,40,3,390,442,15,0,0
