UCL_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
UCL212005,4,36,40,4,6,19,115,10,28,8,4,0,0,54,62,259,43,17,16,3,394,202,100,88,47,6,0,445,256,60,107,9,4,3,436,507,64,131,12,12,4,727,733,8,158,4,14,4,917,377,4,63,3,7,0,457,51,0,8,0,0,0,60,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,26,32,17,8,8,4,103,2230,594,674,107,78,44,3729
UCL213001,3,9,20,3,4,15,56,0,10,0,5,0,0,17,3,89,19,11,4,0,117,38,40,16,26,0,0,116,68,14,41,21,7,0,149,170,27,77,6,7,0,292,444,3,91,3,0,0,549,139,3,18,0,0,0,160,3,0,3,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,25,11,8,0,0,0,50,897,209,286,70,30,22,1515
UCL213002,3,11,21,0,3,14,55,0,13,0,11,0,0,29,11,104,27,20,3,0,160,64,74,31,12,8,0,185,103,34,50,12,4,0,203,280,30,71,7,3,3,397,283,8,44,0,3,5,340,106,0,12,0,3,0,124,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,14,7,9,3,0,44,857,287,277,79,34,23,1555
UCL213003,3,8,18,4,3,10,47,3,5,3,9,0,0,17,13,102,28,3,3,3,150,68,55,52,21,10,3,213,99,24,67,4,3,0,200,173,3,62,0,4,0,245,161,3,41,0,0,0,208,36,0,9,0,0,0,38,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,14,12,10,3,4,57,570,218,284,46,40,24,1183
UCL213004,0,8,13,0,8,10,34,0,0,0,0,3,0,6,7,37,5,0,10,0,59,45,12,27,3,14,3,109,45,3,25,0,4,0,78,210,6,33,0,8,0,259,351,0,50,0,0,0,403,105,0,11,0,0,0,113,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,4,0,28,783,74,183,3,44,16,1106
UCL213005,3,0,7,0,3,6,16,0,4,0,0,0,0,3,0,3,9,0,0,0,15,10,0,17,0,0,0,24,14,0,24,8,0,0,48,102,0,38,0,3,0,148,305,0,57,0,3,0,366,181,0,24,0,0,0,208,7,0,8,0,0,0,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,3,16,632,10,193,8,16,13,867
UCL213006,0,21,14,3,0,13,57,0,11,3,0,0,0,15,20,159,17,3,3,6,201,50,50,34,3,4,4,144,93,38,55,0,3,0,191,237,38,55,0,5,3,345,277,3,63,0,3,3,344,119,3,16,0,0,0,146,20,0,11,0,0,0,28,5,0,0,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,16,13,7,0,0,0,45,835,344,278,19,21,30,1527
UCL213007,3,17,29,0,4,9,64,4,59,4,0,0,0,70,45,94,24,16,3,0,187,311,42,73,13,3,5,449,142,29,38,3,3,4,220,236,9,58,0,3,0,300,211,3,34,7,7,4,262,99,3,18,3,4,3,132,8,0,3,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,25,14,7,7,9,84,1086,275,304,42,40,36,1787
UCL213008,0,0,9,0,0,5,21,3,0,0,0,0,0,3,3,3,5,8,12,0,37,16,3,15,6,11,0,51,12,5,16,6,5,0,45,106,0,37,8,0,3,147,362,4,64,0,3,0,433,262,0,33,0,3,0,298,15,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,12,0,3,4,45,797,22,200,34,40,13,1109
UCL213009,3,0,8,0,0,9,11,0,3,0,0,0,0,3,0,3,5,0,0,0,9,0,6,12,0,0,0,18,8,3,12,3,0,0,25,47,3,33,0,0,0,82,199,4,67,0,4,0,272,263,0,36,0,5,0,302,8,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,12,0,0,0,29,544,28,187,4,10,7,779
UCL213010,4,50,25,5,5,10,100,11,119,4,5,0,0,134,213,148,62,5,7,7,440,276,102,99,23,13,6,526,128,11,57,4,3,0,198,250,4,63,0,3,4,318,105,3,11,0,3,0,127,15,4,8,3,9,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,25,15,3,3,5,68,1017,464,341,59,49,34,1967
UCL213011,3,37,25,8,6,11,88,10,70,10,5,0,0,95,125,119,40,3,3,3,293,466,81,91,36,10,3,683,196,14,48,6,5,3,278,192,8,51,3,3,3,257,77,4,6,0,0,0,93,8,0,4,0,0,0,15,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,14,10,12,0,3,0,43,1099,343,302,64,28,25,1866
UCL213012,3,0,27,0,6,35,75,0,0,6,0,0,0,6,0,28,12,0,0,0,43,16,6,21,3,0,0,47,31,3,19,6,3,0,61,64,3,43,9,3,0,125,250,0,58,0,3,0,321,419,3,77,0,3,0,505,95,0,19,0,0,0,111,16,0,3,0,0,0,20,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,12,0,4,0,29,920,48,308,25,31,45,1373
UCL213013,0,12,22,0,4,13,55,0,10,3,0,0,0,14,40,97,25,0,3,0,168,151,58,85,3,6,0,300,121,13,41,0,7,0,186,194,13,49,0,5,0,261,116,3,22,0,0,0,147,19,3,8,0,0,0,27,3,0,4,0,0,0,7,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,3,6,3,35,653,218,266,9,29,20,1200
UCL213014,3,26,15,7,4,16,69,7,10,4,0,0,0,20,31,101,16,5,6,3,168,132,72,37,10,6,5,257,137,14,37,5,0,0,186,247,4,32,3,57,3,346,286,3,19,3,49,3,361,174,0,12,0,6,0,195,30,0,4,0,3,0,35,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,12,15,6,4,0,61,1081,244,195,42,133,29,1729
UCL213015,0,11,31,8,9,7,71,3,11,4,6,0,0,27,84,86,22,15,6,3,216,129,60,61,4,12,6,275,115,20,63,3,3,3,204,208,9,52,0,4,0,278,94,3,26,0,5,3,126,45,0,15,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,16,13,0,4,4,50,700,215,293,40,44,26,1319
UCL213016,4,0,23,0,0,26,52,3,0,3,0,0,0,4,5,0,9,0,0,0,23,8,0,21,0,0,0,29,11,0,10,0,0,0,22,34,0,18,0,0,0,53,127,0,50,0,3,0,185,402,0,77,0,3,0,483,283,0,49,0,3,0,342,72,0,4,0,0,0,80,16,0,3,0,0,0,18,3,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,4,8,0,15,3,4,3,33,988,3,290,5,14,29,1329
UCL213017,3,15,23,6,5,18,68,0,19,0,8,0,3,33,30,178,37,13,8,0,278,223,86,92,10,9,4,422,142,30,88,3,3,0,272,329,36,82,3,9,7,461,302,5,56,0,0,0,359,104,0,16,0,0,0,125,6,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,25,4,0,7,80,1159,402,423,54,36,35,2105
UCL213018,0,12,20,0,0,14,47,0,13,3,0,0,0,13,3,82,16,6,3,3,109,40,40,29,7,4,0,118,68,19,36,3,3,0,127,272,23,75,0,3,0,370,259,3,49,0,0,0,314,111,0,15,0,0,0,131,15,0,0,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,3,0,41,785,191,263,19,21,23,1291
UCL214001,0,10,8,0,3,14,41,3,10,3,0,0,0,15,36,53,27,3,8,0,126,110,17,51,0,12,0,188,62,17,39,3,3,0,124,127,5,21,0,0,0,160,59,0,16,0,0,0,74,17,0,3,0,3,0,17,7,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,10,12,3,10,5,44,429,116,183,15,42,27,808
UCL214002,3,12,10,0,0,8,36,3,11,3,0,0,0,20,33,104,25,9,3,0,169,179,42,45,3,3,6,276,121,30,33,0,3,0,184,188,17,45,0,4,0,250,115,4,21,0,0,0,138,26,0,9,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,6,3,4,3,46,670,243,200,14,23,14,1174
UCL214003,0,11,18,0,4,9,44,0,4,0,0,0,0,6,7,66,18,3,0,0,91,19,16,38,10,3,0,85,26,9,33,4,0,0,76,90,3,41,3,6,0,143,225,3,57,0,4,0,293,75,0,21,0,0,0,96,8,0,3,0,0,0,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,3,0,0,25,470,122,238,20,15,15,888
UCL214004,0,10,13,0,0,9,34,0,5,0,0,0,0,4,22,59,13,4,3,4,99,69,28,24,3,3,0,131,48,8,19,0,3,0,89,89,3,27,0,3,0,126,78,3,16,0,0,0,98,21,3,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,0,0,22,335,127,133,11,19,15,636
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,16,0,4,3,0,0,23,0,0,11,0,0,0,9,11,0,3,0,0,0,20,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,9,25,3,0,0,73
UCL214006,0,3,6,12,0,4,30,0,4,0,3,0,0,9,0,7,5,0,0,0,15,0,6,3,0,0,0,18,10,0,10,0,3,0,23,21,0,8,3,0,0,33,93,3,34,0,0,0,132,156,0,21,0,0,0,179,70,0,10,0,0,0,81,19,0,0,0,0,0,17,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,3,0,0,0,12,379,27,113,17,3,9,555
UCL214007,0,11,19,0,3,21,61,0,7,7,0,0,0,18,49,71,34,21,3,0,173,99,30,50,7,5,0,192,85,10,54,0,3,0,157,140,16,48,3,4,0,217,70,5,22,5,3,0,100,15,0,5,0,0,0,19,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,4,0,19,470,152,247,35,25,23,955
UCL214008,0,7,6,3,0,7,20,3,0,5,0,0,0,13,13,42,6,11,0,0,73,4,15,13,5,8,0,36,6,9,16,0,3,0,29,26,4,23,0,0,0,58,138,11,36,3,3,0,195,127,0,25,0,0,0,151,4,0,4,0,0,0,8,4,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,10,0,3,0,30,337,95,149,21,16,11,627
UCL214009,0,0,9,0,0,12,26,0,0,4,0,0,0,4,4,19,12,0,0,0,33,12,10,9,5,0,0,37,26,4,15,0,0,0,45,84,0,16,6,0,0,104,119,0,12,0,0,3,140,90,0,4,0,3,0,103,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,13,344,37,88,7,11,20,508
UCL214010,0,0,3,0,0,4,11,0,3,0,0,0,0,9,0,16,3,0,3,0,24,5,3,5,0,0,0,18,10,3,8,0,0,0,25,110,4,36,0,15,0,163,178,0,25,0,4,4,203,64,0,8,0,0,0,77,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,13,381,40,98,3,19,7,550
UCL214011,0,4,6,0,0,5,22,0,12,0,3,0,0,15,24,37,24,7,8,0,108,84,23,48,5,6,4,177,68,3,29,0,3,3,105,106,0,27,0,4,0,133,29,0,12,0,0,0,47,9,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,3,0,0,20,335,82,160,24,24,11,639
UCL214012,0,3,11,0,4,15,34,3,5,0,0,0,0,10,3,45,18,3,8,5,87,49,28,26,7,8,0,110,46,16,24,0,11,0,97,113,5,32,0,8,0,155,100,0,17,0,0,0,119,23,0,4,0,0,0,27,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,3,3,21,340,111,133,7,43,23,664
