SA3_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
20101,126,3039,312,3475,181,3343,297,3821,441,5602,461,6508,647,4977,428,6057,816,5012,462,6289,865,4517,424,5803,578,3514,505,4598,267,1738,363,2372,70,577,153,801,3986,32316,3410,39714,156,2886,307,3343,273,3309,288,3866,749,5570,471,6794,1050,5187,400,6643,1481,5038,478,6995,1576,4502,481,6561,866,3818,543,5226,330,2229,549,3107,57,1277,262,1603,6536,33817,3781,44132,277,5923,618,6819,456,6649,584,7686,1192,11171,937,13301,1698,10168,831,12700,2293,10046,945,13287,2437,9020,904,12360,1443,7335,1044,9822,600,3963,909,5476,131,1853,417,2398,10519,66134,7197,83848
20102,29,622,127,775,32,484,69,586,72,887,97,1054,191,1288,132,1612,271,1682,218,2164,350,1759,246,2353,211,1490,233,1930,72,563,139,778,13,162,59,233,1238,8935,1319,11485,45,573,105,726,48,413,56,515,132,917,101,1148,297,1332,152,1785,438,1659,215,2306,522,1654,240,2418,293,1298,249,1837,74,553,154,775,12,301,100,420,1866,8700,1374,11939,79,1198,229,1505,81,895,125,1106,201,1802,198,2203,491,2617,284,3394,705,3344,427,4478,872,3418,485,4777,505,2779,482,3772,145,1118,294,1557,24,459,159,648,3109,17630,2692,23428
20103,32,565,99,691,42,482,50,568,79,765,135,979,171,1027,178,1374,240,1271,252,1765,325,1571,260,2156,203,1511,307,2021,78,683,187,950,14,180,68,263,1182,8057,1533,10772,44,518,83,636,52,423,35,513,147,810,79,1042,244,941,99,1281,381,1244,138,1764,472,1380,184,2042,287,1332,246,1866,68,649,185,900,12,326,102,439,1702,7625,1146,10474,74,1077,176,1330,89,908,85,1079,225,1578,214,2016,415,1960,281,2657,618,2514,393,3532,798,2952,447,4195,488,2843,552,3882,148,1331,367,1854,24,508,171,700,2880,15682,2686,21245
20201,117,2570,329,3016,179,2963,258,3395,421,5134,447,6001,563,4393,401,5358,736,4333,444,5513,859,4062,467,5384,496,3236,461,4192,266,1692,390,2352,90,589,207,886,3738,28962,3401,36093,193,2494,311,3002,227,3110,240,3572,782,5187,446,6419,995,4481,410,5884,1269,4335,436,6039,1425,4134,457,6022,710,3467,517,4688,298,2053,543,2891,74,1149,405,1632,5971,30409,3771,40147,313,5065,644,6023,411,6065,493,6970,1201,10322,894,12416,1561,8874,812,11241,2005,8665,881,11552,2286,8191,923,11405,1203,6700,973,8880,560,3744,935,5240,167,1739,611,2515,9710,59366,7168,76243
20202,48,1134,205,1394,56,810,140,1010,138,1430,407,1971,255,2135,383,2774,392,2668,426,3484,536,2803,393,3727,323,2373,368,3068,137,992,255,1386,40,302,90,433,1927,14645,2666,19239,57,1059,164,1279,64,734,69,866,220,1503,179,1898,458,2277,270,2998,734,2702,304,3739,878,2575,341,3797,480,2230,376,3088,156,1037,274,1464,32,467,202,698,3079,14575,2176,19830,106,2190,371,2668,119,1551,211,1878,357,2932,585,3871,716,4406,650,5768,1130,5366,724,7219,1410,5376,736,7525,805,4598,741,6155,288,2030,531,2852,73,768,292,1128,5006,29220,4848,39071
20203,15,268,52,340,6,164,23,195,36,310,44,390,56,477,76,609,118,616,106,835,163,806,110,1078,87,662,122,876,33,266,81,383,13,89,37,141,530,3669,645,4841,26,253,66,343,15,159,12,193,58,317,43,426,89,442,62,593,194,580,91,867,248,615,79,942,111,476,103,695,39,275,91,404,11,124,40,173,791,3252,586,4624,45,521,116,686,20,325,36,384,95,633,89,818,141,924,135,1194,310,1199,192,1701,414,1414,188,2013,203,1142,227,1568,67,540,171,786,22,219,76,311,1323,6916,1228,9469
20301,22,565,82,667,18,421,38,474,46,768,63,883,120,1093,99,1314,181,1127,98,1403,181,1029,100,1312,117,735,79,931,35,262,50,349,7,67,20,97,726,6073,628,7428,25,462,83,573,30,324,30,385,98,827,54,981,211,1075,94,1377,293,1056,82,1430,306,836,104,1250,137,603,88,829,33,260,42,337,3,140,17,162,1144,5582,605,7330,51,1029,163,1242,44,750,68,863,146,1597,121,1864,328,2167,197,2696,472,2183,178,2833,491,1864,203,2563,252,1337,165,1761,77,516,97,687,14,211,35,258,1872,11655,1236,14759
20302,243,5287,549,6078,330,6043,576,6948,769,10573,1242,12591,1110,9432,1042,11585,1537,9147,1022,11712,1685,8060,817,10562,1013,6335,869,8215,514,3308,688,4511,163,1334,359,1845,7371,59520,7159,74047,310,5192,477,5979,431,5844,462,6737,1330,10658,809,12794,2030,9373,733,12140,2665,9106,830,12603,2753,8078,848,11679,1570,6801,934,9304,589,4284,977,5845,137,2529,685,3343,11816,61864,6747,80427,558,10471,1023,12055,762,11888,1039,13688,2101,21232,2051,25386,3142,18811,1769,23722,4210,18256,1845,24312,4440,16139,1667,22243,2583,13138,1804,17524,1098,7595,1667,10355,292,3857,1037,5191,19186,121381,13905,154470
20303,66,1762,176,2004,53,1385,118,1554,190,2764,217,3171,374,3732,300,4403,533,3560,291,4376,733,3816,356,4913,522,3512,410,4443,243,1601,259,2098,57,535,131,723,2778,22652,2245,27678,74,1575,165,1809,95,1174,83,1353,352,3084,232,3670,641,3824,257,4718,1007,3662,277,4948,1242,3788,365,5392,794,3560,457,4800,222,1786,345,2362,46,929,181,1154,4483,23379,2357,30213,144,3337,337,3814,155,2557,200,2906,545,5848,446,6841,1016,7554,554,9119,1541,7223,562,9326,1976,7604,720,10308,1312,7068,864,9245,467,3389,605,4456,103,1457,310,1869,7259,46038,4599,57894
20401,58,1411,246,1713,72,1182,137,1388,198,2057,257,2515,250,2256,299,2802,422,2820,370,3615,551,3205,461,4214,367,2903,490,3762,169,1209,314,1694,53,375,140,565,2148,17410,2713,22269,74,1220,222,1508,79,980,112,1170,286,2026,233,2551,441,2339,279,3059,655,2745,358,3757,888,2883,391,4161,513,2577,463,3549,190,1250,385,1826,34,589,198,820,3158,16619,2635,22410,134,2622,467,3227,154,2155,247,2554,487,4088,495,5066,697,4598,570,5864,1080,5563,731,7372,1439,6083,855,8373,875,5483,950,7314,362,2461,700,3521,85,962,335,1384,5304,34022,5348,44677
20402,49,1114,207,1368,47,950,89,1088,169,1670,162,1997,252,1948,207,2403,403,2344,245,2990,467,2567,309,3340,339,2245,338,2920,131,1146,252,1535,44,382,172,605,1913,14357,1975,18241,77,1027,188,1294,92,822,107,1018,293,1733,148,2175,464,2018,189,2673,651,2386,274,3308,868,2437,319,3623,468,2185,384,3036,188,1259,313,1758,42,688,308,1031,3139,14556,2221,19918,125,2140,397,2660,142,1773,188,2107,464,3406,312,4177,718,3958,401,5076,1055,4723,515,6300,1336,5004,619,6968,807,4428,720,5953,318,2404,562,3290,82,1069,482,1631,5056,28911,4199,38158
20403,113,1913,267,2294,99,1806,204,2111,271,3140,380,3794,401,3204,401,4008,586,3707,430,4719,675,3768,425,4871,398,2955,397,3752,194,1289,284,1761,43,423,123,587,2775,22214,2909,27900,113,1744,246,2108,120,1457,150,1731,468,3297,318,4077,739,3281,319,4328,946,3669,355,4970,1108,3572,392,5067,594,2794,402,3794,224,1420,349,1991,42,780,173,990,4345,22013,2697,29058,226,3659,516,4403,219,3266,356,3840,735,6435,703,7875,1135,6484,718,8340,1531,7385,777,9695,1783,7343,815,9941,998,5745,801,7542,411,2710,628,3754,87,1206,289,1576,7122,44227,5604,56959
20501,65,1316,173,1554,61,1117,107,1283,177,2177,185,2537,264,2103,197,2565,367,2484,260,3108,446,2482,292,3226,318,2196,289,2801,141,1069,224,1430,26,267,107,405,1856,15204,1838,18904,69,1248,142,1464,99,1048,96,1249,316,2270,164,2748,492,2167,229,2879,704,2447,247,3401,778,2422,317,3520,462,2132,338,2941,154,1080,272,1504,38,502,164,707,3109,15329,1978,20417,138,2565,319,3018,160,2170,209,2537,491,4447,350,5283,750,4267,428,5443,1070,4932,504,6509,1224,4910,610,6744,779,4333,634,5739,291,2148,496,2933,66,778,269,1111,4970,30532,3817,39320
20502,73,930,196,1203,59,759,110,929,159,1500,183,1842,235,1587,217,2037,340,2088,292,2726,504,2645,328,3470,381,3037,496,3917,172,1409,295,1879,45,360,160,560,1967,14315,2276,18560,57,891,153,1103,75,719,94,893,269,1522,189,1979,398,1654,197,2245,605,2189,271,3067,762,2646,356,3764,499,2681,432,3617,191,1318,426,1934,27,560,249,839,2889,14177,2371,19432,127,1821,353,2302,141,1485,202,1823,425,3022,377,3826,628,3242,410,4288,950,4279,566,5789,1268,5288,679,7234,883,5714,935,7532,365,2729,718,3811,66,921,407,1395,4860,28495,4641,37995
20503,75,1376,249,1702,70,967,102,1142,176,2188,244,2608,289,2478,232,3004,523,3112,406,4039,659,3543,445,4650,523,3533,521,4577,208,1608,402,2221,63,532,160,752,2586,19342,2761,24686,67,1253,174,1490,80,948,108,1140,340,2241,231,2815,559,2522,271,3362,825,3008,349,4183,1104,3554,453,5109,698,3535,544,4778,230,1700,478,2401,50,889,261,1204,3954,19656,2872,26481,144,2625,426,3199,149,1915,213,2278,524,4434,472,5426,853,5001,507,6360,1344,6120,754,8215,1757,7100,900,9763,1226,7069,1067,9358,431,3307,878,4624,113,1420,422,1954,6540,38995,5638,51170
