SA3_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
20101,..,120,24,144,5,145,..,69,10,75,0,75,..,208,17,222,0,222,..,216,24,239,3,246,..,78,9,86,3,86,..,79,17,96,0,96,..,103,6,114,0,114,..,749,82,831,3,835,..,201,16,221,4,221,..,125,22,144,0,144,..,40,3,45,0,45,..,17,0,16,0,16,..,50,4,53,0,57,..,60,11,70,0,70,..,42,3,50,0,50,..,62,5,71,0,71,..,5,0,5,0,5,..,35,0,35,7,42,..,132,7,137,0,137,..,36,0,41,0,41,..,161,6,167,0,167,..,34,3,39,0,40,..,363,16,377,0,384,..,99,5,103,0,107,..,72,7,77,0,77,..,73,18,93,0,90,..,21,3,26,0,26,..,79,22,103,0,107,..,936,168,1102,36,1137,..,4774,700,5477,73,5548,..,294,19,316,5965,6280,91983,5073,721,5794,6037,103815
20102,..,54,6,59,0,61,..,3,0,3,0,3,..,9,0,9,0,9,..,11,3,17,0,17,..,6,0,5,0,5,..,0,0,0,0,0,..,17,0,17,0,17,..,44,6,48,0,48,..,107,4,106,3,109,..,19,0,16,0,16,..,0,0,0,0,0,..,13,8,28,0,28,..,67,0,67,0,70,..,3,0,3,0,3,..,24,4,24,0,30,..,14,0,15,0,15,..,0,0,0,0,0,..,49,5,56,0,56,..,6,0,6,0,6,..,4,0,4,0,4,..,25,4,31,0,31,..,9,0,9,0,9,..,45,4,45,0,45,..,39,4,47,0,47,..,6,0,6,0,6,..,22,0,21,0,21,..,3,0,3,0,3,..,15,0,14,0,14,..,165,28,195,3,197,..,1040,97,1136,9,1148,..,64,0,60,2262,2326,24833,1098,100,1202,2273,28307
20103,..,32,3,38,0,38,..,0,0,0,0,0,..,9,0,9,0,9,..,19,4,18,0,18,..,3,0,3,0,3,..,3,0,8,0,8,..,6,0,9,0,9,..,45,4,47,0,47,..,24,3,25,0,29,..,9,0,9,0,9,..,0,0,0,0,0,..,4,0,4,8,8,..,17,3,21,0,21,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,12,0,12,..,0,0,0,0,0,..,4,0,4,0,4,..,30,0,29,0,29,..,3,0,3,0,3,..,22,3,23,0,22,..,7,0,10,0,10,..,62,7,68,0,72,..,22,6,24,0,24,..,0,0,0,0,0,..,6,5,13,0,13,..,3,0,3,0,3,..,10,3,13,0,13,..,95,12,112,3,114,..,508,66,575,16,589,..,91,10,95,2081,2179,22598,601,76,675,2092,25365
20201,..,105,18,123,0,124,..,54,7,59,0,58,..,165,11,179,0,179,..,173,23,195,0,192,..,94,8,107,0,107,..,66,4,68,0,72,..,112,14,125,0,125,..,666,60,724,4,733,..,150,8,159,4,161,..,43,0,39,3,43,..,45,15,59,0,59,..,11,0,11,0,11,..,15,0,15,0,15,..,26,3,31,0,31,..,19,0,19,0,19,..,40,3,43,0,43,..,10,0,7,0,7,..,7,4,9,0,9,..,122,0,124,5,127,..,80,0,80,0,80,..,124,0,121,0,121,..,25,0,25,0,23,..,342,4,344,4,352,..,58,8,69,0,69,..,62,3,69,0,69,..,46,8,54,4,56,..,16,3,21,0,21,..,67,25,90,3,95,..,1082,650,1734,37,1772,..,3676,1005,4681,68,4749,..,245,17,259,6114,6374,83258,3922,1021,4944,6181,94378
20202,..,91,6,96,0,96,..,5,0,5,0,5,..,25,3,25,0,31,..,30,11,38,0,38,..,7,0,7,0,6,..,3,3,5,0,5,..,9,0,9,0,9,..,80,12,88,3,90,..,143,14,160,0,158,..,33,0,30,0,30,..,3,0,3,0,3,..,6,0,6,0,6,..,37,0,32,0,33,..,3,0,3,0,3,..,29,0,28,0,31,..,4,3,14,0,14,..,15,0,15,0,15,..,13,5,18,0,22,..,37,0,37,0,38,..,17,0,17,0,17,..,42,0,45,3,49,..,9,0,12,0,12,..,112,3,113,3,113,..,72,3,74,0,74,..,8,0,11,0,13,..,20,0,20,0,20,..,13,7,17,0,17,..,11,4,17,0,16,..,194,32,227,18,249,..,1409,233,1645,38,1684,..,100,10,111,4231,4348,41261,1509,245,1757,4276,47291
20203,..,15,3,14,0,14,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,19,0,19,0,19,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,8,4,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,39,3,41,0,41,..,5,0,5,0,5,..,23,0,19,0,19,..,8,0,8,0,8,..,69,3,72,0,72,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,48,10,56,0,56,..,246,26,272,5,278,..,26,0,28,1016,1044,10092,272,30,301,1026,11421
20301,..,20,0,25,0,23,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,5,0,5,..,7,0,7,0,7,..,0,0,3,0,3,..,3,0,3,0,3,..,20,4,23,0,23,..,70,0,72,3,72,..,11,0,14,0,14,..,3,0,3,0,3,..,5,0,5,0,5,..,21,0,21,0,18,..,6,0,6,0,6,..,10,0,10,0,10,..,8,3,11,0,11,..,0,0,0,0,0,..,19,0,22,0,22,..,12,0,12,0,12,..,14,0,14,0,14,..,4,0,4,0,8,..,0,0,0,0,0,..,31,0,31,0,30,..,26,0,26,4,28,..,0,0,0,0,0,..,15,0,15,0,15,..,10,0,10,0,10,..,3,3,8,0,8,..,93,16,114,0,115,..,531,44,572,11,584,..,28,0,30,1027,1054,17386,557,42,599,1035,19018
20302,..,623,102,727,14,739,..,112,10,126,0,126,..,505,20,521,3,526,..,680,66,752,6,755,..,215,17,233,0,238,..,218,21,237,0,237,..,313,14,332,7,338,..,2044,152,2196,18,2220,..,1793,296,2088,41,2128,..,208,12,223,0,223,..,110,32,144,0,144,..,817,190,1013,16,1023,..,128,4,131,0,131,..,341,78,412,3,417,..,382,68,451,4,458,..,200,43,243,0,245,..,32,0,31,0,31,..,608,143,754,16,767,..,403,13,415,0,415,..,205,4,213,0,214,..,482,10,495,3,500,..,144,3,147,3,152,..,1241,30,1269,11,1280,..,420,85,503,4,511,..,185,8,193,0,193,..,190,50,244,3,246,..,243,54,301,3,305,..,486,197,681,9,688,..,3500,1150,4652,106,4759,..,18943,3653,22592,314,22908,..,498,50,553,11363,11915,153362,19443,3703,23142,11679,188180
20303,..,231,42,266,0,272,..,4,0,4,0,4,..,35,0,36,0,36,..,32,0,35,0,35,..,22,0,22,0,22,..,0,0,0,0,0,..,26,3,30,0,31,..,124,7,126,0,126,..,374,29,402,6,411,..,66,10,74,0,72,..,15,5,13,0,13,..,35,10,42,0,42,..,99,11,108,5,109,..,13,0,17,0,17,..,48,0,48,0,48,..,22,7,30,0,30,..,3,0,3,0,3,..,17,4,23,0,23,..,24,0,24,0,24,..,48,0,48,0,48,..,30,0,33,0,33,..,5,0,5,0,5,..,111,0,110,0,110,..,112,11,119,0,122,..,11,0,11,0,11,..,32,7,48,0,48,..,19,3,25,0,25,..,40,5,42,0,42,..,416,68,488,3,496,..,2701,295,2996,40,3042,..,165,6,176,3865,4042,64645,2873,304,3170,3906,71729
20401,..,95,3,99,0,100,..,12,0,13,0,13,..,46,5,47,0,47,..,73,8,78,0,76,..,15,0,15,0,15,..,8,5,11,0,13,..,9,0,9,0,9,..,152,22,172,3,173,..,236,11,244,9,249,..,52,9,64,0,64,..,23,4,25,3,33,..,21,4,23,0,23,..,45,4,49,0,49,..,6,0,6,0,6,..,34,3,39,0,39,..,11,0,14,0,14,..,3,0,3,0,3,..,7,0,7,0,7,..,50,3,57,0,55,..,12,0,14,0,13,..,78,4,87,0,87,..,25,0,25,0,25,..,168,9,174,3,180,..,56,4,60,4,63,..,0,0,0,0,0,..,54,13,67,0,67,..,19,6,24,0,24,..,18,7,18,3,22,..,297,48,345,0,351,..,1924,302,2228,26,2262,..,137,9,143,4296,4442,47142,2062,313,2376,4325,53840
20402,..,39,12,44,0,51,..,8,0,5,0,5,..,25,0,31,0,31,..,51,4,53,0,53,..,26,3,27,0,27,..,18,0,18,0,18,..,40,0,42,0,38,..,159,8,172,0,172,..,495,94,588,6,598,..,23,4,25,0,25,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,5,..,9,0,11,0,11,..,12,0,10,0,10,..,16,0,17,0,17,..,13,0,16,0,16,..,18,3,18,0,18,..,40,0,40,0,40,..,16,0,13,0,15,..,43,3,45,0,45,..,18,0,15,0,15,..,106,7,117,0,113,..,34,8,35,0,38,..,22,0,26,0,26,..,23,7,30,3,38,..,8,4,16,0,16,..,11,0,15,0,15,..,168,46,210,5,214,..,1504,236,1731,31,1763,..,105,8,109,3337,3445,40892,1606,238,1842,3368,46100
