SA3_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
20101,3,3,3,0,0,0,5,139,0,61,71,25,4,4,5,9,0,0,0,0,0,0,10,181,0,4,0,4,6,7,25,19,0,3,0,0,0,0,3,81,0,0,0,0,3,0,16,14,0,0,0,0,3,0,3,42,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,12,3,0,10,14,19,22,32,42,10,3,3,5,9,3,3,178,0,16,25,20,4,0,0,0,0,0,0,0,0,0,5,69,0,251,195,38,14,4,10,0,0,0,0,0,5,0,21,536,0,10,29,86,139,128,151,83,21,38,20,17,11,9,29,786,0,0,0,0,0,0,16,28,0,3,8,3,3,3,0,65,0,0,0,4,26,53,49,82,31,51,40,21,29,9,22,414,0,18,7,0,8,9,0,0,0,3,0,0,0,0,4,52,0,0,3,6,3,7,8,16,0,0,0,0,3,11,0,58
20102,0,0,5,3,0,0,4,73,0,18,24,10,8,0,0,4,0,0,0,0,0,3,0,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,5,0,0,0,0,0,3,0,0,5,34,0,29,40,15,6,7,0,5,0,0,3,0,0,0,5,107,0,68,62,16,9,7,11,8,0,0,0,0,0,0,3,178,0,0,13,35,94,73,58,19,11,5,3,0,0,3,20,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,9,3,4,5,3,9,3,0,3,58,0,3,6,0,12,3,3,0,0,0,0,0,0,0,3,26,0,0,5,0,0,5,3,0,0,0,0,0,0,0,0,16
20103,0,0,0,0,0,0,3,31,0,17,6,5,0,0,0,0,0,0,0,0,0,0,5,36,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,15,0,11,14,4,0,0,0,5,0,0,0,0,0,0,6,45,0,45,65,16,9,0,0,0,0,0,0,0,0,0,8,148,0,0,10,35,70,44,25,11,0,0,0,3,0,3,8,215,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,9,11,9,13,0,8,6,8,4,12,4,82,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6
20201,0,6,0,3,0,0,7,118,3,27,43,24,0,4,0,6,0,0,0,0,0,0,8,121,0,0,0,0,0,0,5,7,3,0,3,0,0,0,4,30,0,0,0,0,0,3,13,10,8,3,6,0,3,4,0,51,0,0,0,0,3,5,4,3,0,0,0,0,0,0,0,17,0,0,4,14,29,22,26,24,3,7,0,4,7,8,14,150,0,6,6,6,3,0,0,0,0,0,0,0,0,0,3,26,0,78,59,12,13,3,3,3,0,3,5,0,0,0,11,183,3,3,15,60,128,105,128,83,17,14,15,0,12,0,27,610,0,0,0,0,0,0,15,27,0,3,8,0,3,0,0,61,0,0,0,3,22,58,51,72,20,9,24,17,29,17,20,354,0,11,5,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,6,3,3,10,4,0,0,4,0,0,3,5,50
20202,0,0,0,0,0,0,0,84,0,44,42,18,0,3,0,0,0,0,0,0,0,0,11,124,0,0,0,0,3,0,7,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,20,0,0,7,7,5,6,4,0,0,0,0,0,0,0,9,46,0,27,25,11,0,3,0,0,0,0,0,0,0,0,7,74,0,61,72,19,20,4,13,17,0,4,3,0,0,0,11,239,0,7,19,63,132,99,105,46,9,9,5,3,3,3,51,545,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,9,24,19,18,4,17,29,6,16,0,3,139,0,6,8,0,4,9,3,0,0,0,0,0,0,0,3,33,0,0,4,4,3,3,4,3,0,0,0,0,0,0,0,23
20203,4,0,5,0,0,0,0,10,0,3,11,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,9,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,20,0,12,17,0,0,4,0,0,0,0,0,0,0,0,3,34,0,3,3,10,34,11,8,12,0,3,0,0,0,4,6,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,30,3,5,13,0,0,3,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20301,4,0,0,3,0,0,0,37,0,15,15,5,0,0,0,7,0,0,0,0,0,0,3,49,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,7,0,4,4,4,0,0,3,0,0,0,0,0,0,0,3,20,0,41,38,12,7,3,0,0,0,0,3,0,0,0,9,114,0,0,6,21,26,35,39,11,4,7,3,4,10,3,4,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,7,13,0,0,0,0,3,4,0,31,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,8
20302,16,30,16,8,15,0,15,429,6,373,594,253,47,20,25,10,0,8,10,5,10,12,80,1447,0,3,0,5,3,4,38,22,7,8,4,6,9,4,9,113,0,0,0,0,0,14,32,44,9,6,15,4,5,8,8,142,0,0,3,19,21,13,11,11,4,3,0,0,0,3,13,93,3,0,13,30,44,63,63,65,20,30,18,31,21,19,25,441,0,68,59,36,10,6,0,0,0,0,0,0,0,0,7,186,0,547,347,68,40,18,29,8,6,0,0,0,0,3,55,1123,3,14,27,152,289,319,432,226,58,52,35,33,21,25,97,1783,0,0,3,0,5,8,19,83,21,52,80,28,56,11,25,387,0,0,5,16,100,201,277,291,40,41,43,43,69,34,41,1199,0,73,83,29,84,55,13,10,0,3,3,0,0,0,30,391,0,3,4,22,23,32,53,55,0,3,0,9,9,4,9,222
20303,5,4,10,9,0,0,11,210,0,88,107,49,9,0,3,9,0,3,3,0,0,0,11,286,0,0,3,5,7,5,7,18,0,3,0,0,0,0,3,50,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,16,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,8,0,0,3,16,13,13,16,23,0,0,0,0,0,0,3,89,0,79,69,28,6,3,0,3,0,0,4,0,0,0,6,200,0,160,103,27,15,8,10,23,0,3,0,0,4,0,13,363,3,14,34,94,137,112,157,114,39,30,22,23,14,0,32,819,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,0,0,0,3,9,21,21,22,3,4,8,10,0,0,6,113,0,19,3,5,8,9,4,0,0,0,0,0,0,0,0,55,0,0,0,10,8,7,9,6,3,0,0,3,0,0,0,47
20401,9,3,3,0,0,0,3,98,0,61,70,37,4,0,0,0,0,0,4,0,0,0,12,194,0,0,0,0,0,6,3,12,3,0,0,3,9,0,3,42,0,0,0,0,0,0,8,3,0,4,4,0,3,0,4,36,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,11,4,0,9,6,9,9,4,3,0,0,0,7,9,4,4,81,0,30,34,12,10,0,0,0,0,0,0,0,0,0,3,90,0,93,77,20,15,14,10,5,0,0,0,0,0,0,11,242,0,6,24,64,126,94,100,50,18,15,8,0,8,5,37,561,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,12,0,0,0,4,12,27,26,19,29,22,23,3,8,14,16,201,0,7,12,3,3,8,0,4,0,0,0,0,0,0,0,42,0,0,0,9,3,0,4,3,0,3,0,0,3,0,3,28
20402,3,0,0,0,0,0,0,41,12,129,146,63,3,0,3,0,0,3,0,0,0,0,17,382,0,0,0,0,0,0,7,3,0,0,0,0,3,0,3,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,15,11,0,0,0,3,3,0,0,55,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,18,0,82,68,18,16,3,11,5,0,0,0,0,0,0,7,211,3,15,11,46,65,38,62,23,11,5,0,0,3,0,13,309,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,12,0,0,0,0,18,27,9,39,6,5,6,0,9,8,3,136,0,13,3,3,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,13
20403,0,3,0,0,0,0,0,77,6,132,146,51,8,3,7,3,0,0,0,0,3,0,26,391,0,0,0,0,3,3,4,0,0,3,3,0,0,0,0,20,0,0,0,0,0,4,3,3,0,4,3,0,0,4,0,27,0,0,5,3,0,0,3,0,0,0,0,0,0,0,4,23,0,0,6,6,8,12,7,7,0,0,0,10,4,0,6,65,0,6,15,3,0,0,0,0,0,0,0,0,0,0,3,27,0,117,110,26,18,8,10,0,0,0,0,3,0,0,12,293,0,5,17,75,146,110,115,69,13,4,6,13,10,3,32,622,0,0,0,0,0,0,0,10,3,8,0,0,5,5,0,29,0,0,0,0,26,35,35,64,11,41,31,12,20,17,20,311,0,16,11,4,11,3,3,4,0,0,0,0,0,0,0,52,0,0,0,8,3,6,7,3,0,0,0,0,0,0,5,24
